strassenschluessel;bezeichnung
057620000004A9275;K 18
057620000004A9276;An der B 64
057620000004A9277;Aa
057620000004A9278;Aliser Bett
057620000004A9279;Am Aawasser
057620000004A9280;Am Düsenberge
057620000004A9281;Am Escherberge
057620000004A9282;Am Garthausen
057620000004A9283;Am Hilgenwasser
057620000004A9284;Am Katzohlbach
057620000004A9285;Am Klusenberg
057620000004A9286;Am Knüll
057620000004A9287;Am Krähenborn
057620000004A9288;Am Krähenhügel
057620000004A9289;Am Kurpark
057620000004A9290;Am Nordfelde
057620000004A9291;Am Quickstert
057620000004A9292;Am Reelser Berge
057620000004A9293;Am Sandhügel
057620000004A9294;Am Schweinsberge
057620000004A9295;Am Steinbrink
057620000004A9296;Am Steinbruche
057620000004A9297;Am Stellberge
057620000004A9298;Am Trappisten
057620000004A9299;Am weißen Born
057620000004A9300;Am Ziegenknüll
057620000004A9301;An der Aschenhütte
057620000004A9302;An der Eisenbahn
057620000004A9303;An der Uhlenmühle
057620000004A9304;An der Uhlmühle
057620000004A9305;Auf dem Klusenberg
057620000004A9306;Auf den Knochen
057620000004A9307;Bei der Josefsmühle
057620000004A9308;Beim Morgenstern
057620000004A9309;Bollewinbach
057620000004A9310;Bürgerheide
057620000004A9311;Der Escherberg
057620000004A9312;Der Gerkenberg
057620000004A9313;Der Kreuzberg
057620000004A9314;Der Lilienberg
057620000004A9315;Der Sollberg
057620000004A9316;Diekbrede
057620000004A9317;Die Eichholz Wiesen
057620000004A9318;Dörensiek
057620000004A9319;Eggeweg
057620000004A9320;Eichmilde
057620000004A9321;Franzosengrab
057620000004A9322;Garthausen
057620000004A9323;Hau
057620000004A9324;Hausheide
057620000004A9325;Hilgenbach
057620000004A9326;Hilgenbreite
057620000004A9327;Hinten am Aawasser
057620000004A9328;Hinter dem Sollberg
057620000004A9329;Hinterm Rosenberge
057620000004A9330;Hinterm Spökkamp
057620000004A9331;Hinterm Kreuzberg
057620000004A9332;Hoppenberg
057620000004A9333;Iburg
057620000004A9334;Im Barrenkamp
057620000004A9335;Im Bollewin
057620000004A9336;Im Bredenfelde
057620000004A9337;Im Donhauser Felde
057620000004A9338;Im Eichholz
057620000004A9339;Im Gatzen
057620000004A9340;Im Haan
057620000004A9341;Im Höllen
057620000004A9342;Im Kälberkamp
057620000004A9343;Im Nordfelde
057620000004A9344;Im Oberfelde
057620000004A9345;Im tiefen Siek
057620000004A9346;In den Wieden
057620000004A9347;In der Lehmkuhle
057620000004A9348;In der Schwalle
057620000004A9351;Katzohlbach
057620000004A9352;Knochenholz
057620000004A9353;Kohlberg
057620000004A9355;Kumbrügge
057620000004A9356;Kurpark
057620000004A9357;Mühlengraben
057620000004A9359;B 64
057620000004A9360;Rosenberg
057620000004A9361;Rothe Feld
057620000004A9362;Saal
057620000004A9363;Schürbreiten
057620000004A9364;Schweinsberg
057620000004A9365;Stellberg
057620000004A9366;Sülburg
057620000004A9367;Uhlenmühle
057620000004A9368;Unten in der Schwalle
057620000004A9369;Unter dem Rosenberge
057620000004A9370;Unterm Hoppenberge
057620000004A9371;Altenbeken-Kreiensen
057620000004A9372;Von Siebenstern z.Josefsmühle
057620000004A9373;Vor'm weißen Felde
057620000004A9374;Vor dem Escherberge
057620000004A9375;Vor dem Klusenberg
057620000004A9376;Vor dem Kreuzberg
057620000004A9377;Vor der Sülburg
057620000004A9378;Waldhausen
057620000004A9379;Winterhalbe
057620000004A9380;Ziegelkämpe
057620000004A9381;Kochs Kämpe
057620000004A9383;L 954
057620000004A9386;Auf der Grabenwiese
057620000004A9387;Auf der Schlippe
057620000004A9388;Am niederen Berge
057620000004A9389;Auf der Bülte
057620000004A9390;Wipperberg
057620000004A9391;Winterkämpe
057620000004A9392;Vorm Pöppelholze
057620000004A9393;Vor der Finstätte
057620000004A9394;Unterm Wipperberge
057620000004A9395;Unterm Maiforst
057620000004A9396;Unter der Kapelle
057620000004A9397;Unter dem Berge
057620000004A9398;Toßbusch
057620000004A9399;Steinkuhle
057620000004A9400;Steinbreite
057620000004A9401;Springwiese
057620000004A9402;Schönenberg-Pömbsen
057620000004A9403;L 952
057620000004A9404;Schlippenberg
057620000004A9405;Saure Wiese
057620000004A9406;Ruthekamp
057620000004A9407;Röthe
057620000004A9408;Reesen
057620000004A9409;Rammersnacken
057620000004A9410;Pömbsen
057620000004A9411;Pferdekamp
057620000004A9412;Mulmerich
057620000004A9413;Münkeberg
057620000004A9414;Meeberg
057620000004A9415;Kuhkamp
057620000004A9416;Knuttenmühle
057620000004A9417;Kerikeberg
057620000004A9418;In der Wiepke
057620000004A9419;In der Richtbreite
057620000004A9420;In den Stuben
057620000004A9421;Im Würgetal
057620000004A9422;Im Woerth
057620000004A9423;Im Tale
057620000004A9424;Im Ruthefeld
057620000004A9425;Im Reesen
057620000004A9426;Im Kuhkampe
057620000004A9427;Im Kuhkamp
057620000004A9428;Im Kuhkampe und Auf der Laube
057620000004A9429;Im Deeskamp
057620000004A9430;Im Elven
057620000004A9431;Hubensen
057620000004A9432;Hinterm Tiebusche
057620000004A9433;Hinterm Pansenberge
057620000004A9434;Hinterm Elven
057620000004A9435;Hinterm Alterbusch
057620000004A9436;Hinter der Wiepke
057620000004A9437;Hinter der Bülte
057620000004A9438;Hinten auf den Winterkämpen
057620000004A9439;Hahnenkämpe
057620000004A9440;Forsthaus Reesen
057620000004A9441;Feldemmerke
057620000004A9442;Ermissengrund
057620000004A9443;Ermissen
057620000004A9444;Die Pömbser Kämpe
057620000004A9445;Die Laake
057620000004A9446;Die kleine Feldemmerke
057620000004A9447;Die großen Kämpe
057620000004A9448;Die große Feldemmerke
057620000004A9449;Die Finstätte
057620000004A9450;Die Emmerkewiesen
057620000004A9451;Der Sockkamp
057620000004A9452;Der Mittelberg
057620000004A9453;Der Meeberg
057620000004A9454;Der lange Berg
057620000004A9455;Der Emmerkeberg
057620000004A9456;Das Westerfeld
