05974000000808501;Akazienstraße
05974000000808502;Alleestraße
05974000000808503;Am Bahnhof
05974000000808504;Am Einbäumchen
05974000000808505;An der Rosenau
05974000000808506;Auf der Breite
05974000000808507;Auf dem Kampe
05974000000808508;Bachweg
05974000000808509;Badestraße
05974000000808510;Bahnhofstraße
05974000000808511;Berliner Straße
05974000000808512;Birkenweg
05974000000808513;Bismarckstraße
05974000000808514;Blumenstraße
05974000000808515;Bundesstraße
05974000000808516;Eichendorffstraße
05974000000808517;Fliederweg
05974000000808518;Freiherr-Vom-Stein-Straße
05974000000808519;Freiligrathstraße
05974000000808520;Friedhofstraße
05974000000808521;Friedrichstraße
05974000000808522;Gabrechter Weg
05974000000808523;Gartenstraße
05974000000808524;Goethestraße
05974000000808525;Händelweg
05974000000808526;Hermann-Löns-Weg
05974000000808527;Im Bruch
05974000000808528;Im Grünen Winkel
05974000000808530;Im Malerwinkel
05974000000808531;Jacob-Grimm-Weg
05974000000808532;Jahnplatz
05974000000808533;Kaiserstraße
05974000000808534;Kirchplatz
05974000000808535;Kirchweg
05974000000808536;Kopernikusstraße
05974000000808537;Körnerweg
05974000000808538;Kurzer Weg
05974000000808539;Landwehr
05974000000808540;Lerchensteg
05974000000808541;Lessingstraße
05974000000808542;Lindenstraße
05974000000808543;Lohweg
05974000000808544;Lütgenweg
05974000000808545;Luisenstraße
05974000000808546;Mittelweg
05974000000808547;Mörikestraße
05974000000808548;Mozartweg
05974000000808549;Opmünder Weg
05974000000808550;Ostpreußenweg
05974000000808551;Oststraße
05974000000808552;Reiterweg
05974000000808553;Rennweg
05974000000808554;Rosenstraße
05974000000808555;Salzstraße
05974000000808556;Soester Straße
05974000000808557;Spindelpfad
05974000000808558;Spreitweg
05974000000808559;Schillerstraße
05974000000808560;Schubertweg
05974000000808561;Schützenstraße
05974000000808562;Steinmickerweg
05974000000808563;Uhlandweg
05974000000808564;Ulmenstraße
05974000000808565;Viktoriastraße
05974000000808566;Wasserstraße
05974000000808567;Weslarner Straße
05974000000808568;Weststraße
05974000000808569;Wiesenstraße
05974000000808570;Wilhelm-Busch-Weg
05974000000808571;Wilhelmstraße
05974000000808572;Zur Hepper Höhe
05974000000808573;Zur Wasserfuhr
05974000000808574;Sälzerplatz
05974000000808575;Im Schulzenhof
05974000000808578;Loerbrocksweg
05974000000808581;Ahornstraße
05974000000808582;Von-Hardenberg-Straße
05974000000808584;Am Sportzentrum
05974000000808585;An der Alten Schmiede
05974000000808586;Beethovenweg
05974000000808587;Am Haullenbach
05974000000808588;Alte Ladestraße
05974000000808589;Erlenweg
05974000000808590;Zur Alten Feldsaline
05974000000808591;Buchenstraße
05974000000808602;Stemecke
05974000000808603;Zur Sälzerschule
05974000000808605;Zum Leinweber
05974000000808606;An der Alten Schule
05974000000808607;Am Schmielenpfad
05974000000808608;Von-Hardenberg-Straße 
05974000000808610;Am Lohof
05974000000808611;Am Tiggemann
05974000000808631;Am Haselbach
05974000000808632;Antoniusweg
05974000000808633;Auf der Borg
05974000000808634;Brückenstraße
05974000000808635;Kapellenweg
05974000000808636;Kolpingweg
05974000000808637;Lange Straße
05974000000808638;Ostermannstraße
05974000000808639;Roggenkamp
05974000000808640;Schustergasse
05974000000808641;Überm Mersch
05974000000808642;Woesteweg
05974000000808643;Zum Südfeld
05974000000808644;Zur Dornheide
05974000000808662;Alter Elfser Weg
05974000000808663;Am Kirchhof
05974000000808664;Am Sieblinghof
05974000000808665;Beusingser Kirchweg
05974000000808666;Beusingser Mühle
05974000000808667;Hackeloh
05974000000808668;Langer Weg
05974000000808669;Rüthener Weg
05974000000808670;Sattlerweg
05974000000808671;Schmiedeweg
05974000000808672;Schulweg
05974000000808693;Alter Elfser Bahnhof
05974000000808694;Am Buksot
05974000000808695;Bördenstraße
05974000000808696;Elfser Bruch
05974000000808697;Elfser Markt
05974000000808698;Elfser Straße
05974000000808699;Steinweg
05974000000808722;Breiteweg
05974000000808723;Eskenholz
05974000000808724;Goren
05974000000808725;Kleiweg
05974000000808726;Lindenhof
05974000000808727;Neuengeseker Straße
05974000000808752;Alter Soestweg
05974000000808753;Gabrechter Weg
05974000000808755;Hepper Straße
05974000000808756;Im Oberdorf
05974000000808757;Kampsweg
05974000000808758;Lindenweg
05974000000808759;Schneiderstraße
05974000000808761;Weslarner Weg
05974000000808762;Am Sassendorfer Wege
05974000000808763;Zur Sälzerschule
05974000000808783;Esken Weg
05974000000808784;Herringser Höfe
05974000000808785;Im Grunde
05974000000808786;Ostheide
05974000000808787;Sicksgraben
05974000000808788;Zum Hahnekamp
05974000000808811;Bundesstraße
05974000000808812;Gabrechten
05974000000808813;Hellweg
05974000000808814;In der Lander
05974000000808815;Kittelhakenstraße
05974000000808816;Kützelbachstraße
05974000000808817;Loerbrocksweg
05974000000808818;Neuer Weg
05974000000808819;Oberm Teich
05974000000808820;Rennweg
05974000000808821;Sauerstraße
05974000000808822;Schallerweg
05974000000808823;Schleppsgraben
05974000000808824;Steinacker
05974000000808825;Teichstraße
05974000000808826;Unter den Bäumen
05974000000808827;Wegener Straße
