05766000001201901;Am Krähenholz
05766000001201902;Hintere Lohbreite
05766000001201903;Pivitsweg
05766000001201904;Dieselstraße
05766000001201905;Ladestraße
05766000001201906;Badeanstaltsweg
05766000001201907;Klus
05766000001202001;Alverdisser Straße
05766000001202002;Amselweg
05766000001202003;Am Bahnhof
05766000001202004;Am Hopfenberg
05766000001202005;Am Steinweg
05766000001202006;Am Stromberg
05766000001202007;Am Wasserturm
05766000001202008;Bahnhofstraße
05766000001202009;Bellenbruchstraße
05766000001202010;Bergstraße
05766000001202011;Braustraße
05766000001202012;Breslauer Ring
05766000001202013;Bolterstraße
05766000001202014;Burgstraße
05766000001202015;Finkenweg
05766000001202016;Fischteiche
05766000001202017;Försterweg
05766000001202018;Freiligrathstraße
05766000001202019;Frettholz
05766000001202020;Gartenstraße
05766000001202021;Grabbestraße
05766000001202022;Große Twete
05766000001202023;Hagenstraße
05766000001202024;Hamelner Straße
05766000001202025;Heinrich-Sölter-Straße
05766000001202026;Hennak-Hanke-Straße
05766000001202027;Im Busewinkel
05766000001202028;Im Kälbertal
05766000001202029;Im Flüth
05766000001202030;Im Wied
05766000001202031;Kellerstraße
05766000001202032;Kleinbahnstraße
05766000001202033;Küsterberg
05766000001202034;Krumme Straße
05766000001202035;Lemgoer Straße
05766000001202036;Masch
05766000001202037;Meierhofstraße
05766000001202038;Mittelstraße
05766000001202039;Mönchshof
05766000001202040;Nordstraße
05766000001202041;Obere Straße
05766000001202042;Oststraße
05766000001202043;Pestalozzistraße
05766000001202044;Schratweg
05766000001202045;Am Markt
05766000001202046;Selbecker Straße
05766000001202047;Sophienstraße
05766000001202048;Struchtrup
05766000001202049;Tannenweg
05766000001202050;Triftstraße
05766000001202051;Untere Straße
05766000001202052;Vogelsang
05766000001202053;Von Haxthausenstraße
05766000001202054;Waldenburger Straße
05766000001202055;Wienkestraße
05766000001202056;Wierborn
05766000001202057;Wilhelmstraße
05766000001202058;Wolfsiek
05766000001202059;Wolfstraße
05766000001202060;Emil-Zeiß-Straße
05766000001202061;Korl-Biegemann-Straße
05766000001202062;Oesterhausweg
05766000001202063;Schemmelweg
05766000001202064;Südstraße
05766000001202065;Fohlenweide
05766000001202066;Holstenkamp
05766000001202067;Südhang
05766000001202068;Eickestraße
05766000001202069;Schubertstraße
05766000001202070;Mozartstraße
05766000001202071;Beethovenstraße
05766000001202072;Lärchenweg
05766000001202073;Erlenweg
05766000001202074;Buchenweg
05766000001202075;Ahornweg
05766000001202076;Bollhöfer Straße
05766000001202078;Oesterröden
05766000001202080;Bachstraße
05766000001202081;Wagnerstraße
05766000001202082;Lortzingstraße
05766000001202083;Schumannstraße
05766000001202084;Haydnstraße
05766000001202085;Brahmsstraße
05766000001202086;Kolkweg
05766000001202087;Torweg
05766000001202089;Auf der Lehmkuhle
05766000001202090;Am Dreschplatz
05766000001202091;Auf der Hude
05766000001202092;Am Betonwerk
05766000001202093;Josef-Plaut-Weg
05766000001202094;Thiesmühle
05766000001202095;Am Pumpwerk
05766000001202096;Anna von Canstein-Straße
05766000001202097;Hainbuchenweg
05766000001202098;Kastanienweg
05766000001202101;Begaer Straße
05766000001202102;Bodensiek
05766000001202103;Bromberg
05766000001202104;Bruchweg
05766000001202105;Bungalow-Feriendorf
05766000001202106;Dudenhausen
05766000001202107;Exterstraße
05766000001202108;Filleberg
05766000001202109;Fliederstraße
05766000001202110;Blumenstraße
05766000001202111;Südhagen
05766000001202112;Helle
05766000001202113;Hellenweg
05766000001202114;Herrengarten
05766000001202115;Hintere Straße
05766000001202116;Hohensonner Straße
05766000001202117;Humfelder Straße
05766000001202118;Hummerbrucher Straße
05766000001202119;Kleine Twete
05766000001202120;Lindenstraße
05766000001202121;Mentestraße
05766000001202122;Schloßstraße
05766000001202123;Nelkenstraße
05766000001202124;Neue Straße
05766000001202125;Nordhagenweg
05766000001202126;Oestlingstalweg
05766000001202127;Ostersiek
05766000001202128;Pastorenweg
05766000001202130;Ringstraße
05766000001202131;Rosenstraße
05766000001202132;Saalberg
05766000001202134;Teut
05766000001202135;Uhlentaler Weg
05766000001202136;Vordere Straße
05766000001202137;Industriestraße
05766000001202138;Bremer Weg
05766000001202140;Cuxhavener Weg
05766000001202170;Alte Dorfstraße
05766000001202171;Alte Schulstraße
05766000001202172;Am Grießebach
05766000001202173;Am Hornbusch
05766000001202174;Am Kamp
05766000001202175;Am Oberen Brunnen
05766000001202176;Am Wassergraben
05766000001202177;An der Twete
05766000001202178;Bauernweg
05766000001202179;Bergkamp
05766000001202180;Eichenweg
05766000001202181;Dorotheental
05766000001202182;Eskernweg
05766000001202184;Friedrichsweg
05766000001202185;Grießemer Straße
05766000001202186;Hauptstraße
05766000001202187;Herborn
05766000001202188;Höhenstücksweg
05766000001202189;Hohler Weg
05766000001202190;Im Dahlhau
05766000001202191;In dem Düsterngrund
05766000001202192;Im Schmidtfeld
05766000001202193;Im Winkel
05766000001202194;Köhnenbergsweg
05766000001202195;Kropsheider Weg
05766000001202196;Lügder Weg
05766000001202197;Asternweg
05766000001202198;Niederer Kamp
05766000001202199;Am Ring
05766000001202200;Birkenweg
05766000001202201;Sevinghausen
05766000001202202;Steindrift
05766000001202204;Tulpenweg
05766000001202205;Uhlental
05766000001202206;Veilchenweg
05766000001202207;Wasserweg
05766000001202208;Ziegelweg
05766000001202209;Waldweg
05766000001202210;Enzianweg
05766000001202231;Alter Kirchweg
05766000001202232;Bentruper Weg
05766000001202233;Detmolder Straße
05766000001202234;Im Rüschern
05766000001202235;Im Schürenbusch
05766000001202236;Lemgoer Breite
05766000001202237;Mittlere Trift
05766000001202238;Obere Trift
05766000001202239;Rote Kuhle
05766000001202240;Untere Trift
05766000001202261;Bentrup
05766000001202262;Im Wietrog
05766000001202263;Am Hang
05766000001202264;Wietrogsweg
05766000001202265;Barntruper Straße
05766000001202266;Im Lied
05766000001202267;Kreuzstraße
05766000001202268;Auf der Riekte
