strassenschluessel;bezeichnung
05512000000010005;Adelsbredde
05512000000010010;Adolf-Kolping-Straße
05512000000010020;Aegidistraße
05512000000010040;Agathastraße
05512000000010060;Agnes-Miegel-Straße
05512000000010070;Ahornweg
05512000000010080;Albrecht-Dürer-Straße
05512000000010091;Alleestraße
05512000000010100;Alsenstraße
05512000000010105;Alter Postweg
05512000000010110;Alter Südring
05512000000010120;Althansstraße
05512000000010140;Altmarkt
05512000000010149;Am Abenteuerspielplatz
05512000000010151;Am Alten Bahnhof
05512000000010155;Am Alten Kirchplatz
05512000000010159;Am Alten Sägewerk
05512000000010160;Am Beelertskotten
05512000000010180;Am Dagelsberg
05512000000010185;Am Dahlberg
05512000000010191;Am Dornbusch
05512000000010200;Am Eickholtshof
05512000000010205;Am Feuerwachturm
05512000000010220;Am Freitagshof
05512000000010225;Am Gutshof
05512000000010235;Am Hagelkreuz
05512000000010236;Am Hang
05512000000010240;Am Hasebrink
05512000000010250;Am Hauptbahnhof
05512000000010260;Am Hölscherskotten
05512000000010280;Am Holzgrund
05512000000010300;Am Kämpchen
05512000000010320;Am Kirchschemmsbach
05512000000010340;Am Kirchsteig
05512000000010350;Am Köllnischen Wald
05512000000010360;Am Kruppwald
05512000000010371;Am Kuhberg
05512000000010380;Am Lamperfeld
05512000000010400;Am Langen Damm
05512000000010420;Am Limberg
05512000000010440;Am Lohdick
05512000000010460;Am Lohehof
05512000000010480;Am Marienhospital
05512000000010487;Am Nappenfeld
05512000000010495;Am Pastors Busch
05512000000010500;Am Pferdemarkt
05512000000010520;Am Piekenbrocksbach
05512000000010540;Am Quellenbusch
05512000000010546;Am Rhein-Herne-Kanal
05512000000010548;Am Ringofen
05512000000010551;Am Ruhl
05512000000010560;Am Sandknappen
05512000000010580;Am Scheidgensbach
05512000000010600;Am Schlangenholt
05512000000010601;Am Schleitkamp
05512000000010611;Am Schölsbach
05512000000010620;Am Schoolkamp
05512000000010640;Am Schürenbusch
05512000000010660;Am Sellbrocksberg
05512000000010680;Am Skip-Schacht
05512000000010700;Am Spengelsberg
05512000000010720;Am Südbahnhof
05512000000010728;Am Südring-Center
05512000000010740;Am Timpenkotten
05512000000010751;Am Tollstock
05512000000010760;Am Trappenhof
05512000000010780;Am Venn
05512000000010800;Am Vöingholz
05512000000010820;Am Vogelpoth
05512000000010830;Am Vorthbach
05512000000010840;Am Weckelsberg
