057620000016K0010;Amselweg
057620000016K0020;Am Bahndamm
057620000016K0030;Am Dannenberg
057620000016K0040;Am Gänseanger
057620000016K0045;Am Galgenberg
057620000016K0050;Am Güterbahnhof
057620000016K0055;Am Hakesbach
057620000016K0060;Am Heineberg
057620000016K0071;Am Hembser Berg
057620000016K0080;Am Königsfeld
057620000016K0090;Am Markt
057620000016K0100;Am Meierbach
057620000016K0110;Am Schützenanger
057620000016K0115;Am Sudheimer Weg
057620000016K0121;Am Teich
057620000016K0130;Am Thy
057620000016K0150;Annenfeld
057620000016K0160;Annengasse
057620000016K0170;Antoniusstraße
057620000016K0180;Bahnhofstraße
057620000016K0190;Beda-Kleinschmidt-Weg
057620000016K0200;Beethovenstraße
057620000016K0210;Berliner Straße
057620000016K0215;Berthold-Lauffmann-Weg
057620000016K0220;Birkenweg
057620000016K0225;Bischof-Heinrich-Weg
057620000016K0230;Bökendorfer Straße
057620000016K0240;Bohenkamp
057620000016K0245;Bohlengärten
057620000016K0250;Bohlenweg
057620000016K0255;Brahmsstraße
057620000016K0260;Brakeler Märsch
057620000016K0270;Brauergasse
057620000016K0281;Bredenweg
057620000016K0290;Breslauer Straße
057620000016K0300;Brüder Grimm-Weg
057620000016K0320;Brunnenallee
057620000016K0331;Brunnenstraße
057620000016K0340;Buchenweg
057620000016K0350;Burgstraße
057620000016K0360;Danielsgasse
057620000016K0370;Danziger Straße
057620000016K0375;Dechant-Grüne-Straße
057620000016K0378;Dietrich-von-Niem-Weg
057620000016K0380;Driburger Straße
057620000016K0390;Drosselweg
057620000016K0395;Dr.-Loermann-Straße
057620000016K0400;Eichendorffweg
057620000016K0410;Eichenweg
057620000016K0420;Ennebudiek
057620000016K0430;Erlenweg
057620000016K0440;Eschenweg
057620000016K0450;Faulensieksweg
057620000016K0460;Fichtenweg
057620000016K0470;Finkenweg
057620000016K0480;Flechtheimer Feld
057620000016K0491;Flechtheimer Straße
057620000016K0500;Fontaneweg
057620000016K0510;Frankenpfad
057620000016K0515;Franz-Hillebrand-Straße
057620000016K0516;Franz-Schneider-Weg
057620000016K0520;Frauenstelle
057620000016K0530;Freiligrathweg
057620000016K0541;Gartenring
057620000016K0550;Giefersweg
057620000016K0560;Händelstraße
057620000016K0570;Hahnenhof
057620000016K0580;Hanekamp
057620000016K0585;Hans-Happ-Weg
057620000016K0590;Haydnstraße
057620000016K0600;Heinefelder Weg
057620000016K0610;Helle
057620000016K0620;Henzengasse
057620000016K0630;Heilige Seele
057620000016K0635;Heimatweg
057620000016K0640;Hillestraße
057620000016K0645;Im Galgengrund
057620000016K0650;Im Schild
057620000016K0660;Im Winkel
057620000016K0670;Industriestraße
057620000016K0675;Johannes-Meyer-Weg
057620000016K0680;Kapuzinergasse
057620000016K0690;Kiefernweg
057620000016K0700;Kirchplatz
057620000016K0710;Klöckerstraße
057620000016K0720;Klosterstraße
057620000016K0730;Kobergweg
057620000016K0740;Königsberger Straße
057620000016K0751;Königstraße
057620000016K0770;Lenauweg
057620000016K0775;Lindenhof
057620000016K0780;Lönsweg
057620000016K0785;Lortzingstraße
057620000016K0786;Lütkerlinde
057620000016K0790;Marienburger Straße
057620000016K0795;Meierbachgärten
057620000016K0801;Michaelstraße
057620000016K0810;Modexen
057620000016K0820;Mozartstraße
057620000016K0830;Mühlenweg
057620000016K0840;Neustadt
057620000016K0850;Nieheimer Straße
057620000016K0860;Nordmauer
057620000016K0870;Ostdeutsche Straße
057620000016K0880;Ostheimer Feld
057620000016K0890;Ostheimer Straße
057620000016K0900;Ostmauer
057620000016K0910;Pahenwinkel
057620000016K0920;Papengasse
057620000016K0925;Pastor-Pabst-Straße
057620000016K0930;Petrus-Legge-Weg
057620000016K0940;Plöckergasse
057620000016K0955;Rektor-Micus-Weg
057620000016K0961;Richard-Knoche-Straße
057620000016K0970;Ringstraße
057620000016K0980;Rosenstraße
057620000016K0990;Rudolphistraße
057620000016K1000;Ruprecht-Ewald-Weg
057620000016K1010;Sapenstein
057620000016K1020;Schoppenstiel
057620000016K1030;Schubertstraße
057620000016K1040;Schückingweg
057620000016K1050;Schützenstraße
057620000016K1055;Schumannstraße
057620000016K1060;Sepkerweg
057620000016K1070;Sohnreyweg
057620000016K1080;Sonnenbrink
057620000016K1100;Starenweg
057620000016K1110;Stegbrede
057620000016K1120;Steinweg
057620000016K1130;Stettiner Straße
057620000016K1141;Suckenberg
057620000016K1150;Sudheim
057620000016K1160;Südmauer
057620000016K1170;Tegelweg
057620000016K1180;Tonweg
057620000016K1190;Vitusstraße
057620000016K1210;Warburger Straße
057620000016K1215;Weitlandsweg
057620000016K1220;Westmauer
057620000016K1230;Westschnat
057620000016K1240;Wetteren Straße
057620000016K1250;Wilhelm-Raabe-Weg
057620000016K1260;Wolfskuhle
057620000016K1264;Zum Holzer Feld
057620000016K1265;Zum Königshof
057620000016K1270;Zum Siechenbach
057620000016K1340;Zur Krüne
057620000016K1500;Alte Dorfstraße
057620000016K1501;Am Parkplatz
057620000016K1510;An der Fine
057620000016K1520;Birkenhof
057620000016K1530;Hasenberghof
057620000016K1540;Jordanstraße
057620000016K1550;Zum Rhön
057620000016K1561;Zur Breite
057620000016K1700;Am Mühlenwald
057620000016K1710;Grüner Grund
057620000016K1720;Hembser Straße
057620000016K1730;Hohlstraße
057620000016K1740;Johann-Fleckner-Straße
057620000016K1750;Mühlengasse
057620000016K1760;Zum Damm
057620000016K1771;Zum Eckwinkel
057620000016K1900;Am Gäsekeborn
057620000016K1910;Am Mühlengraben
057620000016K1915;Am Strickberg
057620000016K1920;Am Wehmekamp
057620000016K1930;Am Weinberg
057620000016K1940;Auf der Heide
057620000016K1950;Blinder Weg
057620000016K1960;Bruchtstraße
057620000016K1970;Eulenberg
057620000016K1981;Im Hohlen Graben
057620000016K1990;Im Sticht
057620000016K2001;Meinolfusstraße
057620000016K2010;Schlingweg
057620000016K2015;Steinrieke
057620000016K2017;Südhang
057620000016K2020;Zum Mühlengrund
057620000016K2200;Abbenburg
057620000016K2205;Am Hasenholz
057620000016K2211;Am Lämmerkamp
057620000016K2220;Am Neuen Kamp
057620000016K2228;Am Wüllenberg
057620000016K2230;Am Wullhof
057620000016K2240;August-von-Haxthausen-Straße
057620000016K2250;Bökerhof
057620000016K2260;Dreizehnlindenstraße
057620000016K2270;Drostestraße
057620000016K2280;Drudestraße
057620000016K2290;Eggiweg
057620000016K2300;Elmarstraße
057620000016K2310;Eschenburger Straße
057620000016K2320;Feldmark
057620000016K2330;Friedrich-Wilhelm-Weber-Straße
057620000016K2340;Fulkstraße
057620000016K2350;Glashüttenweg
057620000016K2360;Hainhausen
057620000016K2371;Hellersen
057620000016K2380;Hildegundestraße
057620000016K2390;Höxterscher Weg
057620000016K2400;Im Felde
057620000016K2410;Kurzer Weg
057620000016K2421;Ludowinenstraße
057620000016K2430;Oldentruper Mühle
057620000016K2440;Schneeberger Straße
057620000016K2600;Am Friedhof
057620000016K2610;Am Ortberg
057620000016K2631;An der Schanze
057620000016K2640;Anton-Fecke-Straße
057620000016K2660;Bachstraße
057620000016K2670;Bellerweg
057620000016K2680;Detmar-Schmitz-Platz
057620000016K2690;Dorfstraße
057620000016K2700;Gartenweg
057620000016K2710;Gelle Breite
057620000016K2720;Grüne Bache
057620000016K2730;Hellweg
057620000016K2740;Im Krähenfelde
057620000016K2750;Im Rhedertal
057620000016K2755;Kapellenweg
057620000016K2760;Lindenweg
057620000016K2770;Neue Straße
057620000016K2775;Petrusweg
057620000016K2780;Rheder Straße
057620000016K2785;Schlehdornweg
057620000016K2791;Tiester Weg
057620000016K2795;Tillmannweg
057620000016K2800;Tweeteweg
057620000016K2810;Untere Bachstraße
057620000016K2820;Winkhäuser Weg
057620000016K2830;Zur Steinbreite
057620000016K3000;Alter Schulweg
057620000016K3005;Auf der Weide
057620000016K3010;Auf'm Klee
057620000016K3021;Bartholomästraße
057620000016K3025;Borgentreicher Weg
057620000016K3027;Eggeblick
057620000016K3030;Holzstraße
057620000016K3040;Im Sundern
057620000016K3050;Niesener Straße
057620000016K3060;Querweg
057620000016K3070;Siddesser Straße
057620000016K3080;Walme
057620000016K3090;Winterhof
057620000016K3200;Alter Graben
057620000016K3210;Am Dalsterberg
057620000016K3220;Am Ring
057620000016K3231;Am Rosenberg
057620000016K3240;Auf dem Steinweg
057620000016K3250;Auf den Klippen
057620000016K3260;Auf der Bache
057620000016K3270;Auf'm Eikfeld
057620000016K3280;Charlottenhof
057620000016K3290;Dringenberger Straße
057620000016K3300;Drosselgasse
057620000016K3310;Escherfeld
057620000016K3315;Feriendorf
057620000016K3318;Gehrdener Heggeweg
057620000016K3320;Gewerbegebiet
057620000016K3330;Goetheweg
057620000016K3340;Gutshof
057620000016K3350;Heinrich-Heine-Weg
057620000016K3360;Hölderlinweg
057620000016K3365;Im Kamp
057620000016K3370;Kantweg
057620000016K3380;Kleine Ecke
057620000016K3391;Lindenberg
057620000016K3400;Marktstraße
057620000016K3410;Mühlenstraße
057620000016K3415;Osterhäuser Weg
057620000016K3420;Rathausstraße
057620000016K3430;Rotheweg
057620000016K3441;Rüterweg
057620000016K3450;Schillerweg
057620000016K3460;Schloßstraße
057620000016K3465;Silberberg
057620000016K3470;Stadtfeld
057620000016K3475;Steingrund
057620000016K3480;Tannenweg
057620000016K3490;Uhlandweg
057620000016K3495;Unter den Eichen
057620000016K3497;Wernesser Weg
057620000016K3500;Zum Mittelholz
057620000016K3701;Grundkampweg
057620000016K3703;Hinter den Höfen
057620000016K3705;In der Breite
057620000016K3710;Lindenallee
057620000016K3720;Parkstraße
057620000016K3900;Am Elsterbusch
057620000016K3911;Am Graben
057620000016K3913;Am Hang
057620000016K3920;Am Holzberg
057620000016K3930;Am Hügel
057620000016K3940;Angerlinde
057620000016K3950;Bohmstraße
057620000016K3960;Bornstraße
057620000016K3970;Fatimastraße
057620000016K3980;Gänsemarkt
057620000016K3990;Großer Winkel
057620000016K4000;Hamelsgrund
057620000016K4010;Im Märsch
057620000016K4020;Johannesplatz
057620000016K4030;Kirchstraße
057620000016K4041;Kleiner Winkel
057620000016K4050;Koppelweg
057620000016K4060;Landwehrstraße
057620000016K4070;Lange Straße
057620000016K4075;Leichstein
057620000016K4077;Linnenworth
057620000016K4080;Marienlinde
057620000016K4090;Netheweg
057620000016K4100;Ochsenkamp
057620000016K4120;Potthof
057620000016K4130;Schilfkamp
057620000016K4135;Wilhelm-Winter-Weg
057620000016K4140;Worthstraße
057620000016K4150;Zum Futterbusch
057620000016K4301;Albrock
057620000016K4310;Emde
057620000016K4315;Feriendorf Hinnenburg
057620000016K4320;Kunstmühle
057620000016K4330;Schäferhof
057620000016K4340;Schloß Hinnenburg
057620000016K4350;Sengental
057620000016K4500;Am Bleichplatz
057620000016K4510;Am Brunsberg
057620000016K4520;Angerweg
057620000016K4530;Bornegrund
057620000016K4540;Brakeler Straße
057620000016K4550;Ferdinand-Ernst-Platz
057620000016K4555;Heinrich-Balzer-Straße
057620000016K4560;Holzgarten
057620000016K4570;Istruper Straße
057620000016K4580;Jardengrundstraße
057620000016K4585;Johannes-Allerkamp-Straße
057620000016K4590;Löwenbergstraße
057620000016K4600;Mittelstraße
057620000016K4610;Ostfeldstraße
057620000016K4620;Rustenhof
057620000016K4630;Stubelitt
057620000016K4640;Ziegenbergstraße
057620000016K4650;Zum Aspen
057620000016K4660;Zum Grasegrund
057620000016K4800;Am Habichtsberg
057620000016K4820;Gartenstraße
057620000016K4825;Graf-Joseph-Bruno-Weg
057620000016K4830;Hampenhauser Straße
057620000016K4840;Im Siek
057620000016K4845;Johann-Conrad-Schlaun-Straße
057620000016K4850;Nethetalstraße
057620000016K4870;Spiegelbreite
057620000016K4881;Triftweg
057620000016K4890;Trompetersprung
057620000016K4900;Weglange
057620000016K5000;Zum Kapellenberg
057620000016K5010;Zum Papenbusch
057620000016K5111;Am Bruk
057620000016K5120;Am Everstein
057620000016K5122;Am Hohlweg
057620000016K5130;Dreifeldweg
057620000016K5140;Im Aatal
057620000016K5150;Im Hinteren Felde
057620000016K5160;Im Huk
057620000016K5170;Immenhof
057620000016K5180;Im Roten Felde
057620000016K5190;In der Bohle
057620000016K5200;Knuttenberg
057620000016K5210;Lingenstraße
057620000016K5220;Milseberg
057620000016K5230;Mühlenberg
057620000016K5240;Oberstein
057620000016K5245;Rieseler Feld
057620000016K5250;Rieseler Straße
057620000016K5260;Zum Ellernbruch
057620000016K5600;Am Kirchhof
057620000016K5610;Am Sportplatz
057620000016K5620;Bergstraße
057620000016K5630;Bruchweg
057620000016K5640;Eltenberg
057620000016K5650;Eulenstraße
057620000016K5655;Feldbrede
057620000016K5660;Frankfurter Straße
057620000016K5670;Frohnhauser Straße
057620000016K5680;Hauptstraße
057620000016K5691;Hilgensaat
057620000016K5700;Hohlweg
057620000016K5710;Klinkenhahn
057620000016K5720;Mähne
057620000016K5730;Schulbrede
057620000016K5741;Sieseberg
057620000016K5750;Sonnenbrede
057620000016K5760;Steinbrede
057620000016K5780;Zum Stock
057620000016K5790;Zum Tiefental
057620000016K5900;Am Kleekamp
057620000016K5905;Am Meierkamp
057620000016K5907;Am Riesenberg
057620000016K5910;Bischof-Ferdinand-Straße
057620000016K5915;Fillerkuhle
057620000016K5920;Gehrdener Weg
057620000016K5930;Grüner Weg
057620000016K5940;Herster Straße
057620000016K5951;Leineweberstraße
057620000016K5955;Mühlenkämpe
057620000016K5960;Neuenheerser Straße
057620000016K5970;Sachsenring
057620000016K5980;Stiewenweg
057620000016K5990;Waldeyerweg
057620000016K6000;Ludwig-Hatteisen-Weg
057620000016K6010;Wallmeier
057620000016K6020;Dr.-Maria-Schmidt-Weg
057620000016K6040;Graf-Dietrich-Weg
057620000016K6050;Theresia-Gerhardinger-Weg
057620000016K6060;Heinrich-Kluge-Weg
057620000016K6070;Steffensgrund
057620000016K6090;Zum Imberg
057620000016K6110;Uhlenberg
057620000016R8858;Am Schwalbenberg
057620000016R8859;Auf dem Mühlenberge
057620000016R8864;Der Schwalbenberg
057620000016R8866;Hausstelle
057620000016R8871;Im Randahle
057620000016R8874;Mühlenberg
057620000016R8877;Niederfeld
057620000016R8879;Osterberg
057620000016R8900;Alte Feld
057620000016R8904;Am Hartheiserberg
057620000016R8908;Am Schüttberg
057620000016R8912;Annenfeld
057620000016R8914;Auf dem Galgenberge
057620000016R8916;Auf der Wort
057620000016R8925;Bei der Hembser Kapelle
057620000016R8927;Bei der lütken Linde
057620000016R8934;Bergstiege
057620000016R8943;Bruchtwiesen
057620000016R8946;Das große Sudheimer Feld
057620000016R8948;Der Wall
057620000016R8967;Hakesberg
057620000016R8980;Hinter der Krökenburg
057620000016R8991;Im Märsch
057620000016R8996;Kaiserbrunnen
057620000016R9000;Kleine Feld
057620000016R9002;Lange Wanne
057620000016R9003;Laufeld
057620000016R9008;Modexer Holz
057620000016R9013;Nethewiesen
057620000016R9018;Oberes Königsfeld
057620000016R9019;Oldenburg
057620000016R9021;Ostheimer Kämpe
057620000016R9025;Plateau
057620000016R9031;Sauernfeld
057620000016R9033;Scheideberg
057620000016R9041;Sudheimer Berg
057620000016R9044;Temmen Grund
057620000016R9048;Unterbrüfeld
057620000016R9049;Unteres Königsfeld
057620000016R9052;Vor dem Flechtheimer Berge
057620000016R9055;Weberwiesen
057620000016R9056;Weinberg
057620000016R9057;Weitland
057620000016R9064;Lobbenberg
057620000016R9069;Fillerkuhlen
057620000016R9101;Am Holzberge
057620000016R9102;Am Uhlenberge
057620000016R9108;Auf dem Wachtbusche
057620000016R9110;Bellergrund
057620000016R9113;Das Eichholz
057620000016R9114;Denkelscher Berg
057620000016R9115;Der Imberg
057620000016R9117;Der Ortberg
057620000016R9120;Die Märsche
057620000016R9121;Die Worth
057620000016R9126;Hamelsgrund
057620000016R9139;Nethebohm
057620000016R9142;Ostheimer Feld
057620000016R9148;Teufelshöhle
057620000016R9155;Wildehaus
057620000016R9157;Stienekenbohm
057620000016R9159;Unter der Landwehr
057620000016R9160;Alte Feld
057620000016R9163;Lobbenberg
057620000016R9170;Alshüvelsfeld
057620000016R9172;Am Osterberge
057620000016R9183;Elend
057620000016R9189;Grüner Bach
057620000016R9190;Grüner Grasweg
057620000016R9191;Hampenhäuser Berg
057620000016R9195;Hoppenberg
057620000016R9196;Hühnerbreite
057620000016R9198;Krähenbeutel
057620000016R9199;Krummfußkämpe
057620000016R9206;Oberholz
057620000016R9209;Ostheimer Feld
057620000016R9215;Stempelberg
057620000016R9217;Stubelit
057620000016R9233;Winkhauserkämpe
057620000016R9235;Der Ortberg
057620000016R9258;An der Trift
057620000016R9266;Der Rieseler Berg
057620000016R9274;Holzhöfe
057620000016R9276;Im Sieke
057620000016R9277;In den Bröken
057620000016R9281;Klein-Istrup
057620000016R9285;Mönchenbusch
057620000016R9288;Mühlenwiese
057620000016R9289;Neerenwiese
057620000016R9292;Ortsberg
057620000016R9293;Osterhausen
057620000016R9294;Ostfeld
057620000016R9296;Othenfeld
057620000016R9297;Rieschkamp
057620000016R9298;Rustenberg
057620000016R9299;Rustenbreite
057620000016R9303;Stubelit
057620000016R9305;Totengrund
057620000016R9308;Vor dem Rieseler Berge
057620000016R9309;Vor dem Löwenberge
057620000016R9310;Vor dem Mühlenberge
057620000016R9326;Am Hilgenwege
057620000016R9329;Am Rosenberge
057620000016R9335;Auf'm Eikfeld
057620000016R9337;Das Bittertal
057620000016R9340;Das Mittelholz
057620000016R9354;Hinterm Escherfeld
057620000016R9355;Hinterm Garten
057620000016R9360;Katharinen Berg
057620000016R9361;Kattenfeld
057620000016R9365;Lange Wanne
057620000016R9368;Mittlere Escherfeld
057620000016R9372;Ock
057620000016R9406;Am Bökerhof
057620000016R9407;Am Feldhause
057620000016R9416;An der Brakeler Schnaat
057620000016R9424;Aufm Bökerberg
057620000016R9426;Aufm Wünnenberg
057620000016R9443;Hinter dem Laubengang
057620000016R9446;Im Oberdorfe
057620000016R9447;Im Springe
057620000016R9452;Knutenberg
057620000016R9472;Vielsiek
057620000016R9474;Vorm Alberholz
057620000016R9478;Weitkamp
057620000016R9499;Ahnscheberg
057620000016R9500;Alte Kamp
057620000016R9507;An der Hampenhauser Grenze
057620000016R9509;Antoinettenburg
057620000016R9517;Der Anger
057620000016R9524;Die Meschwiese
057620000016R9530;Hasenwinkel
057620000016R9533;Hohe Söhn
057620000016R9545;Papenbusch
057620000016R9556;Stempelberg
057620000016R9580;Bellersen
057620000016R9581;Bruch
057620000016R9583;Bruchwiese
057620000016R9584;Bulk
057620000016R9590;Fahlenkämperfeld
057620000016R9592;Grebenbusch
057620000016R9598;Hemsen
057620000016R9599;Hinter den Zäunen
057620000016R9603;Lausebrink
057620000016R9605;Mühlengrund
057620000016R9607;Osterplatz
057620000016R9608;Papenwiese
057620000016R9609;Pöttkerdiek
057620000016R9610;Rammelsberg
057620000016R9613;Steinrieke
057620000016R9614;Süsterfeld
057620000016R9617;Vor der Steinrieke
057620000016R9618;Vorm Lämmerkamp
057620000016R9619;Vorm Stricke
057620000016R9620;Weinberg
057620000016R9635;An der Brucht
057620000016R9648;Jagdberg
057620000016R9677;Am Brakeler Wege
057620000016R9679;Am Mühlenberge
057620000016R9684;Auf dem Sieke
057620000016R9689;Bergkapelle
057620000016R9695;Brunsberg
057620000016R9697;Das rote Feld
057620000016R9701;Dollenkamp
057620000016R9712;Im Bohme
057620000016R9715;Lingenberg
057620000016R9716;Lingenwiese
057620000016R9736;Sundern
057620000016R9737;Sundernweg
057620000016R9784;Dollenkamp
057620000016R9791;Am Tritelnbusch
057620000016R9795;Am Klinkenhahnenberg
057620000016R9797;Am Frohnhauser Wege
057620000016R9825;Walme
057620000016R9826;Vor den Hambingen
057620000016R9828;Unter den Rieken
057620000016R9829;Tiefe Tal
057620000016R9830;Steinbreite
057620000016R9833;Riesenberg
057620000016R9836;Pohlacker
057620000016R9837;Osterhausen
057620000016R9838;Oberfeld
057620000016R9846;In den Wiehen
057620000016R9847;Holsterberg
057620000016R9849;Hinter den Zäunen
057620000016R9853;Helle
057620000016R9855;Hausdahl
057620000016R9859;Faule Feld
057620000016R9860;Elkenhol
057620000016R9867;Brede
057620000016R9869;Auf dem Stocke
057620000016R9877;Unter'm Heiligenhäuschen
057620000016R9881;In den Röhen
057620000016R9885;Im Bomfelde
057620000016R9886;Hinter der Kirche
057620000016R9895;Am Karren
057620000016R9899;Am Berge
057620000016R9932;Im Siepick
057620000016R9937;Hasenbergweg
057620000016R9951;Der kleine Hasenberg
057620000016R9957;Auf'm Fine
057620000016R9976;Pferdekamp
057620000016R9991;Auf der Misch
057620000016R9995;Amingsgrund
057620000016R9996;Am Gehrdener Wege
