strassenschluessel;bezeichnung
05166000000410005;Ahornweg
05166000000410006;Gehlenweg
05166000000410007;Georg-Sennert-Platz
05166000000410010;Alter Postweg
05166000000410015;Am Bruch
05166000000410018;Am Dahmensee
05166000000410020;Am Flitz
05166000000410025;Am Grasweg
05166000000410030;Am Heidkamp
05166000000410031;Am Herrenlandpark
05166000000410033;Am Katharinenhof
05166000000410035;Am Speck
05166000000410040;Amerner Straße
05166000000410045;Amselweg
05166000000410048;An den Schwalmauen
05166000000410049;An der Borner Mühle
05166000000410050;An der Kreuzstraße
05166000000410055;Auf dem Eggenberg
05166000000410060;Auf dem Vennberg
05166000000410075;Beethovenstraße
05166000000410076;Benzenbergweg
05166000000410077;Bergbendenweg
05166000000410078;Bergstraße
05166000000410080;B.-Röttgen-Waldweg
05166000000410085;Birkenweg
05166000000410090;Boisheimer Straße
05166000000410095;Born
05166000000410100;Borner Feld
05166000000410105;Borner Mühle
05166000000410110;Borner Straße
05166000000410115;Brachter Straße
05166000000410120;Brahmsstraße
05166000000410122;Brombeerweg
05166000000410125;Bruchstraße
05166000000410130;Brucknerstraße
05166000000410135;Buchenweg
05166000000410140;Burgwall
05166000000410145;Burgweiherplatz
05166000000410150;Deichweg
05166000000410153;Deilmannweg
05166000000410160;Dilborner Straße
05166000000410165;Drosselweg
05166000000410170;Eichenweg
05166000000410175;Elsterweg
05166000000410180;Erlenweg
05166000000410183;Ewald-Paus-Platz
05166000000410185;Falkenweg
05166000000410190;Farnweg
05166000000410195;Fasanenweg
05166000000410200;Fichtenweg
05166000000410205;Finkenweg
05166000000410212;Gebrüder-Laumans-Weg
05166000000410215;Gelagweg
05166000000410220;Genholter Straße
05166000000410225;Genroher Straße
05166000000410230;G.-Hofmacher-Platz
05166000000410235;Ginsterweg
05166000000410240;Groutenweg
05166000000410250;Hagenkreuzweg
05166000000410255;Händelstraße
05166000000410260;Happelter Heide
05166000000410265;Haverslohe
05166000000410270;Heidweg
05166000000410275;Herrenlandstraße
05166000000410280;Hochstraße
05166000000410290;Holunderweg
05166000000410295;Hotschlagweg
05166000000410300;Hustenfeld
05166000000410310;In den Benden
05166000000410315;In der Haag
05166000000410320;In der Stieg
05166000000410325;Jakob-Schlüter-Weg
05166000000410330;Kamerickshof
05166000000410331;K.-H.-Mesterom-Straße
05166000000410332;Kesseler Weg
05166000000410335;Kiefernweg
05166000000410340;Klosterstraße
05166000000410341;Kranenbruchweg
05166000000410345;Kranichweg
05166000000410350;Kreuzherrenplatz
05166000000410355;Laarer Bach
05166000000410360;St.-Barbara-Straße
05166000000410362;Leonhard-Jansen-Straße
05166000000410365;Lerchenweg
05166000000410370;Lindenweg
05166000000410375;Lortzingstraße
05166000000410380;Lüttelbrachter Straße
05166000000410390;Meisenweg
05166000000410395;Moosweg
05166000000410400;Mozartstraße
05166000000410410;Nachtigallenweg
05166000000410412;Nauenweg
05166000000410415;Nikolausplatz
05166000000410425;Oebel
05166000000410430;Oebeler Heide
05166000000410440;Patschelstraße
05166000000410445;Platanenweg
05166000000410450;Reiherweg
05166000000410455;Richard-Wagner-Straße
05166000000410460;Roermonder Straße
05166000000410465;Rotdornweg
05166000000410470;Von-Schaesberg-Weg
05166000000410472;Schlehenweg
05166000000410475;Schmielenweg
05166000000410480;Schubertstraße
05166000000410485;Schumannstraße
05166000000410490;Schwalbenweg
05166000000410495;Schwalmweg
