strassenschluessel;bezeichnung
05774000002000100;Adlerweg
05774000002000200;Adolf-Kolping-Straße
05774000002000250;Ährenweg
05774000002000300;Ahlers Kamp
05774000002000400;Ahornweg
05774000002000420;Akazienweg
05774000002000500;Alter Markt
05774000002000600;Alter Mühlenweg
05774000002000710;Alter Postweg
05774000002000720;Am Bauhof
05774000002000730;Am Erlenkamp
05774000002000800;Am Freien Stuhl
05774000002000800;Am Freien Stuhl
05774000002000920;Am Grubebach
05774000002001000;Am Hagedorn
05774000002001100;Am Hagenbach
05774000002001210;Am Haustenbach
05774000002001300;Am Himmelreich
05774000002001420;Am Koldenhof
05774000002001460;Am Krienerbusch
05774000002001500;Am Krollbach
05774000002001550;Am Lohberg
05774000002001570;Am Möller Werk
05774000002001600;Am Pastorsbusch
05774000002001700;Am Rengering
05774000002001720;Am Richterhof
05774000002001750;Am Rothebach
05774000002001770;Am Römerlager
05774000002001830;Am Schlingbusch
05774000002001920;Am Sporckhof
05774000002002000;Am Teckelberg
05774000002002100;Am Teich
05774000002002200;Am Valepagenhof
05774000002002240;Am Waldrand
05774000002002270;Am Westerrellerhof
05774000002002300;Am Wiemenkamp
05774000002002340;Am Zollbrett
05774000002002400;Amselweg
05774000002002430;An den Lehmkuhlen
05774000002002460;An der Hohen Brücke
05774000002002500;Anreppener Straße
05774000002002550;Antoniusstraße
05774000002002600;Anton-Pieper-Straße
05774000002002810;An der Wittenburg
05774000002002900;Arndtstraße
05774000002002930;Artegastraße
05774000002002950;Auf dem Brocke
05774000002003000;Auf dem Bruche
05774000002003220;Auf dem Busche
05774000002003310;Auf dem Haupte
05774000002003330;Auf dem Kamp
05774000002003340;Auf dem Teiche
05774000002003350;Auf den Röthen
05774000002003400;Auf der Bache
05774000002003500;Auf der Bleiche
05774000002003550;Augustinusstraße
05774000002003560;August-von-Haxthausen-Straße
05774000002003570;Badener Weg
05774000002003580;Baduradstraße
05774000002003600;Bahnweg
05774000002003700;Balkenkamp
05774000002003800;Barbruch
05774000002003900;Bauernweg
05774000002003950;Baumschulenweg
05774000002004000;Baumweg
05774000002004050;Bayernweg
05774000002004100;Beckeringsdamm
05774000002004200;Beethovenstraße
05774000002004300;Bendixwall
05774000002004400;Benslips Kamp
05774000002004520;Bentfelder Straße
05774000002004600;Berghöfen
05774000002004700;Bergstraße
05774000002004750;Bernhard-Scherer-Straße
05774000002004800;Bernhardstraße
05774000002004850;Biekedamm
05774000002004880;Biekehöhe
05774000002004910;Binsenstraße
05774000002005000;Birkenallee
05774000002005100;Birkenkamp
05774000002005410;Birkenweg
05774000002005500;Blockweg
05774000002005550;Blomestraße
05774000002005600;Blumenweg
05774000002005700;Böckmanns Feld
05774000002005800;Bogenweg
05774000002005900;Boikweg
05774000002005950;Boker-Heide-Weg
05774000002006020;Boker Straße
05774000002006200;Bonifatiusstraße
05774000002006300;Borgelts Kamp
05774000002006320;Bösendamm
05774000002006420;Brakendiek
05774000002006450;Brandenburger Weg
05774000002006600;Bredde
05774000002006700;Breiter Weg
05774000002006720;Bremer Weg
05774000002006730;Brenkenkamp
05774000002006760;Brentanostraße
05774000002006800;Breslauer Straße
05774000002007100;Brinkweg
05774000002007200;Brockestraße
05774000002007300;Brockweg
05774000002007400;Brombeerweg
05774000002007570;Brückenweg
05774000002007700;Bruchweg
05774000002007750;Brucknerstraße
05774000002007800;Buchenweg
05774000002007830;Buchsbaumweg
05774000002007850;Buddenbruch
05774000002007900;Bühlenbrink
05774000002008000;Bursdamm
05774000002008010;Bursweg
05774000002008200;Buschweg
05774000002008300;Cappeler Weg
05774000002008330;Caspar-Klein-Straße
05774000002008360;Clemens-August-Straße
05774000002008400;Dahlienstraße
05774000002008600;Danziger Straße
05774000002008620;Delpstraße
05774000002008630;Dessauer Straße
05774000002009200;Detmolder Weg
05774000002009300;Diebeskämpen
05774000002009350;Dörenkamp
05774000002009370;Dohlenweg
05774000002009400;Doppheideweg
05774000002009500;Dietrich-Bonhoeffer-Straße
05774000002009600;Dorfplatz
05774000002009610;Driftweg
05774000002009650;Dr.-Berhorst-Straße
05774000002009700;Dr.-Köring-Straße
05774000002009750;Dr.-Tönsmeyer-Straße
05774000002009800;Droste-Hülshoff-Straße
05774000002009900;Drosselweg
05774000002009950;Drubbelstraße
05774000002010000;Düsterhusweg
05774000002010100;Dullwallsweg
05774000002010200;Dionysiusstraße
05774000002010210;Ebereschenweg
05774000002010300;Eberhardstraße
05774000002010400;Eckernkamp
05774000002010500;Ehlersweg
05774000002010600;Eichendorffstraße
05774000002010800;Eichenkamp
05774000002010910;Eichenweg
05774000002011000;Einsteinstraße
05774000002011050;Elsternweg
05774000002011100;Enger Weg
05774000002011200;Entenweg
05774000002011300;Erdgartenweg
05774000002011350;Erfurter Straße
05774000002011410;Erlenweg
05774000002011450;Eschenweg
05774000002011600;Espelner Straße
05774000002011630;Eulenweg
05774000002011650;Fabritiusstraße
05774000002011800;Falkenweg
05774000002011860;Farnweg
05774000002011900;Fasanenweg
05774000002011930;Feldhagen
05774000002011950;Feldrand
05774000002012000;Feldstraße
05774000002012100;Feldmarkstraße
05774000002012200;Ferdinandstraße
05774000002012300;Fichtenweg
05774000002012400;Figgenweg
05774000002012500;Finkenweg
05774000002012600;Föhrenweg
05774000002012700;Fontanestraße
05774000002012750;Fleite Heide
05774000002012900;Fliederweg
05774000002012950;Flieger-Humann-Straße
05774000002013000;Flurweg
05774000002013100;Flußweg
05774000002013150;Frankenweg
05774000002013200;Franziskanerstraße
05774000002013320;Franzosenweg
05774000002013370;Franz-Stock-Straße
05774000002013400;Friedhofsweg
05774000002013450;Friedrich-Ebert-Straße
05774000002013510;Friedrich-Richta-Straße
05774000002013600;Friedrichstraße
05774000002013650;Friedrich-von-Spee-Straße
05774000002013700;Friesenweg
05774000002013900;Fuchsweg
05774000002013950;Galgenlaake
05774000002014100;Gartenweg
05774000002014150;Gebrüder-Grimm-Straße
05774000002014200;Geibelstraße
05774000002014300;Georgstraße
05774000002014350;Gerhart-Hauptmann-Straße
05774000002014370;Gimpelweg
05774000002014400;Ginsterweg
05774000002014500;Giptenweg
05774000002014600;Gockenweg
05774000002014700;Godefriedstraße
05774000002014750;Goerdelerstraße
05774000002014800;Görlitzer Straße
05774000002014900;Goethestraße
05774000002015000;Goldregenweg
05774000002015100;Grafhörsterweg
05774000002015150;Graf-Meerveldt-Straße
05774000002015200;Graf-Sporck-Straße
05774000002015300;Grassostraße
05774000002015400;Grasweg
05774000002015450;Gregor-Mendel-Straße
05774000002015500;Grewenhof
05774000002015610;Grenzweg
05774000002015800;Grubebachstraße
05774000002015900;Grünberger Straße
05774000002016000;Grüner Weg
05774000002016110;Gunneweg
05774000002016140;Gustav-Heinemann-Straße
05774000002016160;Habichtsweg
05774000002016200;Hachbusch
05774000002016220;Hagebuchenweg
05774000002016230;Hagenbieke
05774000002016250;Haholdweg
