strassenschluessel;bezeichnung
05766000002402301;Am Fassenberg
05766000002402302;Am Friedhof
05766000002402303;Am Krügerberg
05766000002402304;Am Langen Feld
05766000002402305;Amselweg
05766000002402306;Am Spreenland
05766000002402307;An der Niedermühle
05766000002402308;Auf dem Brinke
05766000002402309;Auf dem Papierkamp
05766000002402310;Auf der Insel
05766000002402311;Auf der Wiese
05766000002402312;Am Bahnhof
05766000002402313;Bredenweg
05766000002402314;Bromernkamp
05766000002402315;Brüderstraße
05766000002402316;Dammstraße
05766000002402317;Danziger Straße
05766000002402318;Dockenweg
05766000002402319;Sporkhagen
05766000002402320;Ellernweg
05766000002402321;Gartenstraße
05766000002402322;Grenzstraße
05766000002402323;Hamelner Straße
05766000002402324;Hauptstraße
05766000002402325;Homeien
05766000002402326;Hornsiek
05766000002402327;Im Lala
05766000002402328;Inselweg
05766000002402329;Kampstraße
05766000002402330;Kehmeiersweg
05766000002402331;Königstraße
05766000002402332;Krubberg
05766000002402333;Krumme Straße
05766000002402334;Lemgoer Straße
05766000002402335;Markfeld
05766000002402336;Mittelstraße
05766000002402337;Mühlenstraße
05766000002402338;Im Grund
05766000002402339;Neue Straße
05766000002402340;Neustadt
05766000002402341;Noltenhöferweg
05766000002402342;Obere Straße
05766000002402343;Papenstraße
05766000002402344;Rawaule
05766000002402345;Riedeweg
05766000002402346;Gröchtenweg
05766000002402347;Schulstraße
05766000002402348;Schwelentruper Weg
05766000002402349;Steinkamp
05766000002402350;Stettiner Straße
05766000002402351;Untere Straße
05766000002402352;Waldstraße
05766000002402353;Wasserweg
05766000002402354;Steinberg
05766000002402355;Friedrichsfeld
05766000002402356;Neuenkamp
05766000002402357;In der Dickte
05766000002402358;Steiler Weg
05766000002402359;Kassenstraße
05766000002402360;Am Knapp
05766000002402361;Am Fetten Kampe
05766000002402362;Pohlkamp
05766000002402363;Bärenort
05766000002402364;Zum Netling
05766000002402365;Homeiener Straße
05766000002402366;Rosenhof
05766000002402367;Sollenhof
05766000002402368;Waldmühlenweg
05766000002402369;Drosselweg
05766000002402370;Fasanenweg
05766000002402371;Finkenweg
05766000002402372;Kiebitzweg
05766000002402373;Kuckucksweg
05766000002402374;Lerchenweg
05766000002402375;Meisenweg
05766000002402376;Sperlingsgasse
05766000002402377;Poststraße
05766000002402378;Plögerweg
05766000002402379;Eichenweg
05766000002402380;Kesselbreite
05766000002402381;Am Rathaus
05766000002402382;Lenzberg-Straße
05766000002402383;Am Thonwerk
05766000002402384;Sporker Berg
05766000002402386;Rümeland
05766000002402387;Birkenweg
05766000002402388;Buchenweg
05766000002402401;Bahnhofstraße
05766000002402402;Barntruper Straße
05766000002402403;Brede-Ring
05766000002402404;Katzhagen
05766000002402405;Sibbentruper Straße
05766000002402406;Unter Gehren
05766000002402407;Sibbentrup
05766000002402408;Teut
05766000002402409;Graben
05766000002402410;Im Morgen
05766000002402411;Laubhüttenweg
05766000002402412;Im Steinkersfeld
05766000002402413;Bergstraße
05766000002402414;Ligusterweg
05766000002402415;Waldenburger Weg
05766000002402416;Steinkuhlenweg
05766000002402417;Alter Schulweg
05766000002402418;Erlenweg
05766000002402419;Ahornweg
05766000002402420;Zum Bierholz
05766000002402421;Wülfentrup
05766000002402422;Feldstraße
05766000002402423;Sommerseller Straße
05766000002402424;Kornblumenweg
05766000002402425;Auf dem Hohen Felde 
05766000002402441;An der Schule
05766000002402442;Industriestraße
05766000002402443;Bundesstraße
05766000002402444;Fermke
05766000002402445;Friedenstal
05766000002402446;An der Siekwiese
05766000002402447;Langen Grund
05766000002402448;Grotenberg
05766000002402449;Köllerkamp
05766000002402450;Alverdisser Straße
05766000002402451;Mulsterberg
05766000002402452;Obere Dorfstraße
05766000002402453;Plass
05766000002402454;Querental
05766000002402455;Auf dem Kamp
05766000002402456;Ziegenhirtenweg
05766000002402457;Im Schling
05766000002402458;Am Wiesenrain
05766000002402459;Untere Dorfstraße
05766000002402460;An der Weide
05766000002402461;Im Wildland
05766000002402462;Wildpfad
05766000002402463;Am Anger
05766000002402464;Im Reiher
05766000002402465;Wiemkenberg
05766000002402466;An der Bruchmühle
05766000002402467;Alter Kampweg
05766000002402468;Wiesenstraße
05766000002402469;Schakenberg
05766000002402470;Am Sportplatz
05766000002402471;Humeweg
05766000002402472;Am Humebach
05766000002402473;Teichtwete
05766000002402474;Rott
05766000002402475;Friedkuhle
05766000002402476;Hellweg
05766000002402477;Hasenbreite
05766000002402478;Marksberg
05766000002402479;Am Siekbach
05766000002402480;Apenbruch
05766000002402481;Meierhofstraße
05766000002402482;Tramsmeiers Berg
05766000002402491;Fahrenplatz
05766000002402492;Farmbecker Straße
