05162000000400010;Ackerstraße
05162000000400020;Adolf-Kolping-Straße
05162000000400025;Adolf-von-Menzel-Straße
05162000000400030;Aggerstraße
05162000000400040;Ahornweg
05162000000400045;Ahrweg
05162000000400050;Akazienweg
05162000000400060;Albert-Schweitzer-Straße
05162000000400065;Albertus-Magnus-Straße
05162000000400070;Aldenhovenstraße
05162000000400073;Alexander-Schmorell-Weg
05162000000400075;Alfons-Sahler-Straße
05162000000400080;Aloysiushof
05162000000400090;Aloysiusstraße
05162000000400095;Alte Heerstraße
05162000000400100;Alte Ziegelei
05162000000400110;Am Alten Schlag
05162000000400115;Am Bergischen Hof
05162000000400130;Am Burggraben
05162000000400140;Am Chorbusch
05162000000400142;Am Christinenhof
05162000000400145;Am Damschenpfad
05162000000400150;Am Dreieck
05162000000400160;Am Elsterbusch
05162000000400161;Am Felder Hof
05162000000400165;Am Fuchsbau
05162000000400170;Am Hagedorn
05162000000400180;Am Hahnen
05162000000400190;Am Kamp
05162000000400195;Am Kappesberg
05162000000400196;Am Kiefernwäldchen
05162000000400200;Am Kirchpfad
05162000000400210;Am Kleinbüschchen
05162000000400220;Am Klein-Sasserhof
05162000000400230;Am Krahnenort
05162000000400240;Am Krausberg
05162000000400241;Am Kuckhofsweg
05162000000400242;Am Lindgen
05162000000400245;Am Lingenacker
05162000000400250;Am Margarethenhof
05162000000400255;Am Latourshof
05162000000400256;Am Mellenberg
05162000000400270;Am Mühlenpfad
05162000000400275;Am Mönchenpfädchen
05162000000400280;Am Niederfeld
05162000000400290;Am Norfbach
05162000000400295;Am Park
05162000000400300;Am Pilgenbusch
05162000000400305;Am Quirinushof
05162000000400310;Am Rath
05162000000400315;Am Rehwinkel
05162000000400316;Am Römerfeld
05162000000400317;Am Rheinfelder Hof
05162000000400320;Am Rübenweg
05162000000400325;Am Schierort
05162000000400330;Am Schneckenacker
05162000000400335;Am Schleyerbusch
05162000000400338;Am Schwiertzhof
05162000000400340;Am Schwimmbad
05162000000400350;Amselweg
05162000000400360;Am Sportplatz
05162000000400370;Am Steinpfahl
05162000000400371;Am Stellwerk
05162000000400375;Am Straberger See
05162000000400380;Am Sülzhof
05162000000400390;Am Wäldchen
05162000000400395;Am Wahler Berg
05162000000400410;Am Wasserwerk
05162000000400420;Am Weißen Stein
05162000000400425;Am Weißen Kreuz
05162000000400426;Am Werres
05162000000400430;Am Wittgeshof
05162000000400440;An den Peschen
05162000000400441;An der Bicker Hecke
05162000000400442;An den Rheinwiesen
05162000000400450;An der Burg
05162000000400460;An der Dinkbank
05162000000400461;An der Kirschfuhr
05162000000400465;An der Kultzkuhle
05162000000400470;An der Langenfuhr
05162000000400476;An der Pannesfuhr
05162000000400480;An der Römerziegelei
05162000000400485;An der Leykuhle
05162000000400486;An der Sausweide
05162000000400487;An der Moschee
05162000000400500;An der Steinkaule
05162000000400505;An der Wache
05162000000400510;An der Weyhe
05162000000400520;An der Windmühle
05162000000400521;An der Zehnfuhr
05162000000400525;Andreashof
05162000000400530;Andreasstraße
05162000000400540;Anemonenweg
05162000000400545;Anstelner Straße
05162000000400550;Antoniusplatz
05162000000400555;An St. Josef
05162000000400556;Apfelweg
05162000000400560;Arenzheide
05162000000400570;Asternweg
05162000000400575;Auf dem Kappus
05162000000400580;Auf dem Sandberg
05162000000400590;Auf der Au
05162000000400600;Auf der Hardt
05162000000400610;Auf'm Pohlacker
05162000000400615;Bahleswinkelhof
05162000000400620;Bahner Weg
05162000000400630;Bahnstraße
05162000000400640;Bahnhofstraße
05162000000400650;Balgheimer Straße
05162000000400660;Baumberger Straße
05162000000400680;Beethovenstraße
05162000000400690;Begonienweg
05162000000400695;Bendacker Hof
05162000000400698;Benrather Straße
05162000000400700;Benzstraße
05162000000400720;Bergheimer Straße
05162000000400730;Bergiusstraße
05162000000400745;Bertha-von-Suttner-Straße
05162000000400750;Biesenbachstraße
05162000000400755;Biggeweg
05162000000400760;Birkenweg
05162000000400775;Birnenweg
05162000000400780;Bismarckstraße
05162000000400790;Bivetsweg
05162000000400800;Blechhofweg
05162000000400810;Blumenstraße
05162000000400820;Blücherstraße
05162000000400830;Boelckestraße
05162000000400840;Böttgerstraße
05162000000400850;Borsigstraße
05162000000400860;Brahmsstraße
05162000000400870;Brandenburger Straße
05162000000400880;Brechtstraße
05162000000400890;Breslauer Straße
05162000000400900;Brentanostraße
05162000000400905;Brombeerweg
05162000000400910;Bruchstraße
05162000000400915;Broicher Dorfstraße
05162000000400916;Bruderschaftsweg
05162000000400920;Brückenstraße
05162000000400930;Brühler Straße
05162000000400940;Bruegelweg
05162000000400950;Brunnenstraße
05162000000400960;Buchenstraße
05162000000400970;Büchel
05162000000400980;Büchnerstraße
05162000000400990;Bürgelstraße
05162000000400995;Bürger-Schützen-Allee
05162000000401000;Bunsenstraße
05162000000401010;Burgstraße
05162000000401020;Buschweg
05162000000401030;Bussardweg
05162000000401035;Cäciliengarten
05162000000401040;Carl-Duisberg-Straße
05162000000401050;Carl-Sonnenschein-Weg
05162000000401055;Carl-von-Ossietzky-Straße
05162000000401060;Castellstraße
05162000000401065;Carl-Friedrich-Schinkel-Straße
05162000000401070;Christinenhof
05162000000401080;Christoph-Hufeland-Straße
05162000000401085;Christoph-Probst-Weg
05162000000401090;Chrysanthemenweg
05162000000401100;Claudiusstraße
05162000000401110;Clausewitzstraße
05162000000401120;Clemens-August-Platz
05162000000401130;Clemens-August-Straße
05162000000401135;Conrad-Schlaun-Straße
05162000000401140;Conradshof
05162000000401150;Cranachweg
05162000000401155;Dachsweg
05162000000401160;Dahlienweg
05162000000401170;Dammweg
05162000000401180;Dantestraße
05162000000401190;Danziger Straße
05162000000401200;Deichstraße
05162000000401210;Delhovener Hubertushof
05162000000401220;Delhovener Lindenhof
05162000000401230;Delrather Straße
05162000000401240;Dieplinghof
05162000000401241;Distelweg
05162000000401242;Dietrich-Bonhoeffer-Straße
05162000000401245;Dörerweg
05162000000401246;Dörnchesfuhr
05162000000401250;Donatushof
05162000000401260;Donatusstraße
05162000000401270;Dorfstraße
05162000000401280;Dormagener Straße
05162000000401285;Dr.-Geldmacher-Straße
05162000000401290;Drosselstraße
05162000000401295;Dorothea-Erxleben-Straße
05162000000401300;Dürerstraße
05162000000401310;Düsseldorfer Straße
05162000000401315;Düsseldorfer Straße
05162000000401317;Düsselweg
05162000000401320;Edisonstraße
05162000000401325;Eichhörnchenweg
05162000000401330;Eichendorffstraße
05162000000401335;Eibenweg
05162000000401340;Eichenweg
05162000000401345;Elsa-Brändström-Straße
05162000000401347;Else-Meidner-Straße
05162000000401350;Elsterweg
05162000000401360;Elvekumer Weg
05162000000401365;Emdener Straße
05162000000401370;Emsweg
05162000000401375;Erdbeerweg
05162000000401380;Erftstraße
05162000000401385;Erlenweg
05162000000401386;Ernst-von-Leyden-Straße
05162000000401390;Ernteweg
05162000000401400;Eschenweg
05162000000401410;Espenstraße
05162000000401430;Eulenweg
05162000000401450;Fahrtstraße
05162000000401460;Falkenstraße
05162000000401470;Fasanenweg
05162000000401480;Feldstraße
05162000000401490;Feuerbachstraße
05162000000401500;Fichtenweg
05162000000401505;Fingerhutweg
05162000000401510;Finkenstraße
05162000000401530;Fliederweg
05162000000401540;Florastraße
05162000000401545;Florianergasse
05162000000401550;Föhrenweg
05162000000401560;Forsthausstraße
05162000000401570;Frankenstraße
05162000000401575;Franz-Faßbender-Straße
05162000000401580;Franz-Hitze-Weg
05162000000401590;Franziskanerstraße
05162000000401593;Frau-Holle-Weg
05162000000401595;Friedenstraße
05162000000401600;Friedhofsweg
05162000000401605;Friedrich-Ebert-Straße
05162000000401610;Friedrich-Hinsen-Straße
05162000000401615;Fuchskaule
05162000000401620;Fuldaweg
05162000000401630;Gabrielstraße
05162000000401640;Garather Straße
05162000000401650;Gartenstraße
05162000000401660;Geranienweg
05162000000401665;Gerhard-Boes-Straße
05162000000401670;Gerhart-Hauptmann-Straße
05162000000401675;Gerhard-Domagk-Straße
05162000000401680;Gilbachstraße
05162000000401685;Geyr-von-Schweppenburg-Straße
05162000000401690;Ginsterweg
05162000000401700;Gnadenthaler Weg
05162000000401710;Gneisenaustraße
05162000000401720;Goethestraße
05162000000401740;Goldberger Hof
05162000000401750;Goltsteinstraße
05162000000401760;Gottfried-Breuer-Straße
05162000000401770;Gottlieb-Daimler-Straße
05162000000401775;Grienskamp
05162000000401780;Grind
05162000000401800;Grüner Weg
05162000000401810;Grüneschildplatz
05162000000401820;Grünwaldstraße
05162000000401830;Gustav-Biesenbach-Platz
05162000000401835;Gustav-Heinemann-Straße
05162000000401840;Gutenbergstraße
05162000000401850;Haberlandstraße
05162000000401860;Habichtweg
05162000000401870;Hackenbroicher Straße
05162000000401880;Hackhauser Straße
05162000000401890;Händelstraße
05162000000401900;Hagelkreuzstraße
05162000000401905;Hamburger Straße
05162000000401910;Hans-Böckler-Straße
05162000000401920;Hans-Sachs-Straße
05162000000401925;Hans-Scholl-Straße
05162000000401930;Hardenbergstraße
05162000000401940;Haselnußweg
05162000000401950;Hasenpfad
05162000000401960;Hatzfeldstraße
05162000000401970;Hauptstraße
05162000000401975;Haus-Arff-Weg
05162000000401990;Hebbelstraße
05162000000402000;Heckmannstraße
05162000000402010;Heerstraße
05162000000402020;Heesenstraße
05162000000402030;Heideweg
05162000000402040;Heimbachstraße
05162000000402050;Heinestraße
05162000000402060;Heinrich-Meising-Straße
05162000000402070;Heinrich-Peiffer-Straße
05162000000402080;Heinrichshof
05162000000402090;Heinrich-van-Achten-Straße
05162000000402100;Helbüchelstraße
05162000000402110;Henri-Dunant-Straße
05162000000402120;Henschelstraße
05162000000402130;Herderstraße
05162000000402140;Herrenweg
05162000000402150;Himbeerweg
05162000000402160;Himmelgeister Straße
05162000000402170;Hindenburgstraße
05162000000402175;Hinter den Höfen
05162000000402180;Hitdorfer Straße
05162000000402190;Höhenberg
05162000000402195;Hoeninger Straße
05162000000402200;Hölderlinstraße
05162000000402210;Hohes Örtchen
05162000000402220;Holbeinweg
05162000000402230;Holunderweg
05162000000402240;Holzheimer Straße
05162000000402250;Holzweg
05162000000402255;Holzweg
05162000000402260;Horremer Straße
05162000000402270;Hospitalplatz
05162000000402280;Hubertusstraße
05162000000402290;Hüttenstraße
05162000000402300;Ignaz-Semmelweis-Straße
05162000000402310;Iltisweg
05162000000402320;Im Daubenthal
05162000000402330;Im Gansdahl
05162000000402340;Im Gerstenfeld
05162000000402350;Im Grund
05162000000402360;Im Grunewald
05162000000402370;Im Hofstädtchen
05162000000402375;Im Merheimer Lehm
05162000000402380;Im Mühlenend
05162000000402385;Im Kleefeld
05162000000402386;Im Knotfeld
05162000000402387;Im Kreuzfeld
05162000000402388;Im Scheidpatt
05162000000402389;Im Springfeld
05162000000402400;Im Thiebroich
05162000000402410;Im Winkel
05162000000402420;In den Benden
05162000000402430;In den Rheingärten
05162000000402440;In der Au
05162000000402450;In der Birk
05162000000402455;In der Furth
05162000000402460;In der Kuhtrift
05162000000402480;In der Lüh
05162000000402490;In Ückerath
05162000000402500;Industriestraße
05162000000402505;Isarstraße
05162000000402510;Isselweg
05162000000402520;Itterstraße
05162000000402530;Jahnstraße
05162000000402535;Jägerweg
05162000000402550;Jansenstraße
05162000000402560;Jan-von-Werth-Straße
05162000000402570;Joan-Delhoven-Straße
05162000000402580;Johann-Blank-Weg
05162000000402583;Johann-Elser-Weg
05162000000402585;Johannes-Bock-Straße
05162000000402590;Johannesstraße
05162000000402595;Johann-Hendel-Straße
05162000000402600;Josefshof
05162000000402610;Josef-Schwartz-Straße
05162000000402620;Josef-Steins-Straße
05162000000402625;Joseph-Emonds-Weg
05162000000402630;Jugendheimstraße
05162000000402640;Julius-Leber-Weg
05162000000402660;Jussenhovener Straße
05162000000402670;Kamillenstraße
05162000000402680;Kantstraße
05162000000402690;Kapellenberg
05162000000402700;Karl-Küffler-Straße
05162000000402710;Kastanienweg
05162000000402720;Katharinenstraße
05162000000402730;Kayserstraße
05162000000402735;Kemmerlingstraße
05162000000402740;Kesselstraße
05162000000402750;Kiebitzweg
05162000000402760;Kiefernstraße
05162000000402765;Kieler Straße
05162000000402770;Kirchbergweg
05162000000402775;Kiesenbergstraße
05162000000402780;Kirchplatz
05162000000402790;Kirchstraße
05162000000402800;Kirschfeld
05162000000402820;Kleiner Taubenweg
05162000000402825;Klematisweg
05162000000402828;Klosterallee
05162000000402830;Klosterstraße
05162000000402840;Knechtstedener Straße
05162000000402850;Knechtsteden
05162000000402860;Kneippstraße
05162000000402870;Knorweg
05162000000402880;Kölner Straße
05162000000402890;Königsberger Straße
05162000000402895;Koniferenstraße
05162000000402900;Körnerstraße
05162000000402910;Kohnacker
05162000000402915;Kollwitzstraße
05162000000402920;Koloniestraße
05162000000402930;Konrad-Adenauer-Straße
05162000000402935;Kornblumenweg
05162000000402950;Krähenweg
05162000000402960;Krefelder Straße
05162000000402965;Krefelder Straße
05162000000402966;Krefelder Straße
05162000000402970;Krisinger Straße
05162000000402980;Krokusweg
05162000000402990;Kronenpützchen
05162000000403000;Kroschstraße
05162000000403010;Kruppstraße
