strassenschluessel;bezeichnung
05766000002802600;Theodor-Storm-Straße
05766000002802601;Ahornstraße
05766000002802602;Am Bahnhof
05766000002802603;Am Meinenkamp
05766000002802604;Am Scharbker Bach
05766000002802605;An den Eichen
05766000002802606;An der Bache
05766000002802607;Auf den Stücken
05766000002802608;Bahnhofstraße
05766000002802609;Bergstraße
05766000002802610;Berliner Weg
05766000002802611;Birkenstraße
05766000002802612;Birkhahnweg
05766000002802613;Breslauer Straße
05766000002802614;Bruchstraße
05766000002802615;Bruchweg
05766000002802616;Buchenstraße
05766000002802617;Dachsweg
05766000002802618;Drosselweg
05766000002802619;Eichholz
05766000002802620;Erlenstraße
05766000002802621;Eschenstraße
05766000002802622;Eulenweg
05766000002802623;Fahrenplatz
05766000002802624;Falkenweg
05766000002802625;Fasanenweg
05766000002802626;Friedrich-Linnemann-Straße
05766000002802627;Gartenstraße
05766000002802628;Gerbergasse
05766000002802629;Goldbecker Straße
05766000002802630;Grüner Anger
05766000002802631;Hackemackweg
05766000002802632;Höchte
05766000002802633;Hohe Asch
05766000002802634;Hopfenkampweg
05766000002802635;Zum Jägerhain
05766000002802636;Hummerbrucher Straße
05766000002802637;Iltisweg
05766000002802638;Im Alten Felde
05766000002802639;Im Dicken
05766000002802642;Lindenstraße
05766000002802643;Lortzingstraße
05766000002802644;Ludwig-Van-Beethoven-Straße
05766000002802645;Marderweg
05766000002802646;Masurenweg
05766000002802647;Mittelstraße
05766000002802648;Mozartstraße
05766000002802649;Nordhagen
05766000002802650;Nordstraße
05766000002802651;Pagenhelle
05766000002802652;Pulverberg
05766000002802653;Rebhuhnweg
05766000002802654;Rehbent
05766000002802655;Richard-Wagner-Straße
05766000002802656;Rintelnsche Trift
05766000002802657;Rosenstraße
05766000002802658;Rosselberg
05766000002802659;Südhagenweg
05766000002802660;Südstraße
05766000002802661;Schillerstraße
05766000002802662;Schubertstraße
05766000002802663;Schulstraße
05766000002802664;Strang
05766000002802665;Trotzenburg
05766000002802666;Ulmenstraße
05766000002802667;Wachtelweg
05766000002802668;Bussardweg
05766000002802669;Waldstraße
05766000002802670;Weidenstraße
05766000002802671;Wieselweg
05766000002802672;Zum Fährtenbruch
05766000002802673;Zum Wiemland
05766000002802674;Brahmsstraße
05766000002802675;Haydnstraße
05766000002802676;Lisztstraße
05766000002802677;Ammerweg
05766000002802678;Biberweg
05766000002802679;Denkmalweg
05766000002802680;Fuchsweg
05766000002802681;Grasweg
05766000002802682;Hamelner Straße
05766000002802683;Heideweg
05766000002802684;Lütkenbergstraße
05766000002802685;Meierberger Straße
05766000002802686;Ranner Trift
05766000002802687;Spitzenweg
05766000002802688;Streitbuschweg
05766000002802689;Zollstraße
05766000002802690;Akazienstraße
05766000002802691;Kastanienstraße
05766000002802692;Habichtweg
05766000002802693;Am Aschbach
05766000002802694;Hardenkamp
05766000002802695;Holzkamp
05766000002802696;Steinland
05766000002802697;Zum Senkenberg
05766000002802698;Zum Bäckerland
05766000002802699;Waldweg
05766000002802700;Zum Sportzentrum
05766000002802701;Adolph-Kolping-Weg
05766000002802702;Eichkamp
05766000002802703;Südhang
05766000002802704;Schützenkamp
05766000002802705;Potsdamer Weg
05766000002802706;Tangerhütter Weg
05766000002802707;Zum Festplatz
05766000002802708;Grüner Weg
05766000002802720;Aechternhöfen
05766000002802721;Alte Mühle
05766000002802722;Am Beekebach
05766000002802723;Am Dörenberg
05766000002802724;Am Sellenbach
05766000002802725;Am Rethberg
05766000002802726;Amselweg
05766000002802727;Asmissen
05766000002802728;Barntruper Straße
05766000002802729;Brakenberg
05766000002802730;Döhmerberg
05766000002802731;Eimke
05766000002802732;Fassenberg
05766000002802733;Finkenweg
05766000002802734;Försterberg
05766000002802735;Frevertsberg
05766000002802736;Hohensonne
05766000002802737;In der Egge
05766000002802738;Jägerborner Weg
05766000002802739;Kenterkamp
05766000002802740;Krügerweg
05766000002802741;Lerchenweg
05766000002802742;Linderbrucher Straße
05766000002802743;Linderhofer Straße
05766000002802744;Lüdenhausener Straße
05766000002802745;Meiersfelder Straße
05766000002802746;Meisenweg
05766000002802747;Möntgeweg
05766000002802748;Moosweg
05766000002802749;Mühlenstraße
05766000002802750;Papenweg
05766000002802751;Pestalozzistraße
05766000002802752;Ringstraße
05766000002802753;Scharbke
05766000002802754;Schaufberg
05766000002802755;Starenweg
05766000002802756;Steinegger Weg
05766000002802757;Sternberger Straße
05766000002802758;Strunksberg
05766000002802759;Ullenhausen
05766000002802760;Wiesenweg
05766000002802761;Siemensstraße
05766000002802762;Von Bodelschwingh-Straße
05766000002802763;Hans-Lenze-Straße
05766000002802764;Bachstelzenweg
05766000002802765;Dompfaffweg
05766000002802766;Grasmückenweg
05766000002802767;Rotkehlchenweg
05766000002802768;Stieglitzweg
05766000002802769;Zaunkönigweg
05766000002802770;Exterbreite
05766000002802771;Buchfinkenweg
05766000002802772;Im langen Kamp
05766000002802773;Am Sägewerk
05766000002802780;Almenaer Berg
05766000002802781;Alte Dorfstraße
05766000002802782;Alter Schulweg
05766000002802783;Am Brink
05766000002802784;Am Gänsefuß
05766000002802785;An der Alme
05766000002802786;Auf der Meinde
05766000002802787;Bachweg
05766000002802788;Bistruper Straße
05766000002802789;Bükerfeldstraße
05766000002802790;Fliederweg
05766000002802791;Fütiger Straße
05766000002802792;Hauptstraße
05766000002802793;Kiebitzstraße
05766000002802794;Kirchstraße
05766000002802795;Lilienweg
05766000002802796;Nachtigallenweg
05766000002802797;Niedernfeldweg
05766000002802798;Oberschlesienweg
