05370000001606001;Waldhufenstraße
05370000001606002;Turmstraße
05370000001606003;Gillrather Straße
05370000001606004;Höffelter Straße
05370000001606005;Römerstraße
05370000001606006;Heienderfeld
05370000001606007;Hinter Hofbungert
05370000001606008;Am Wasserturm
05370000001606009;Aachener Straße
05370000001606010;Birgdener Straße
05370000001606011;Straetener Weg
05370000001606012;Kleiner Eschweg
05370000001606013;Eschfelder Hof
05370000001606014;Hellstraße
05370000001606015;Huckstraße
05370000001606016;Küstergasse
05370000001606017;Kirchstraße
05370000001606018;Langbroicher Straße
05370000001606019;Gerardstraße
05370000001606020;Dechant-Pauen-Straße
05370000001606022;Corneliusstraße
05370000001606023;Am Strauch
05370000001606024;Vitusstraße
05370000001606025;An der Maar
05370000001606028;Pütt
05370000001606030;Croonshof
05370000001606031;Asterstraße
05370000001606032;Himmericher Straße
05370000001606033;Buschstraße
05370000001606034;Driesch
05370000001606035;Feldstraße
05370000001606036;Heerweg
05370000001606037;Hermannsstraße
05370000001606038;Am Hellenkamp
05370000001606039;Martin-Jansen-Straße
05370000001606040;Hinter der Mauer
05370000001606041;Sandberg
05370000001606042;Uetterather Straße
05370000001606043;Nirmer Straße
05370000001606044;Forsthof
05370000001606045;Himmericher Hof
05370000001606046;Himmerich
05370000001606047;Mittelbusch
05370000001606048;Wildbahn
05370000001606049;Nygen
05370000001606050;Baumen
05370000001606051;Berg
05370000001606052;Blauenstein
05370000001606053;Donselen
05370000001606056;Am Taukamp
05370000001606057;Am Kornkamp
05370000001606058;Bendengasse
05370000001606059;Sootstraße
05370000001606060;Dremmener Straße
05370000001606061;Zedernstraße
05370000001606062;Rurtalstraße
05370000001606063;Holzerfeld
05370000001606064;Rochusstraße
05370000001606066;Maistraße
05370000001606067;Wehrstraße
05370000001606068;Mühle
05370000001606069;Auf dem Rain
05370000001606070;Im Rötchen
05370000001606071;Am Schulgarten
05370000001606072;Ullrichstraße
05370000001606073;Bendenblick
05370000001606075;Am Diebsweg
05370000001606076;Borgansstraße
05370000001606077;Von-Kesseler-Straße
05370000001606080;Mühlenteichstraße
05370000001606082;Randerather Straße
05370000001606083;Hinterm Schruv
05370000001606084;Weidenstraße
05370000001606085;Wiesenstraße
05370000001606086;Rickenbacher Weg
05370000001606090;Gladbacher Straße
05370000001606091;Am Weidenhof
05370000001606092;Erkelenzer Straße
05370000001606093;Sootstraße
05370000001606094;Ginsterweg
05370000001606095;Overling
05370000001606096;Distelweg
05370000001606097;An der Bleiche
05370000001606098;Schwarzer Weg
05370000001606099;Talmühlenstraße
05370000001606100;Uhlandstraße
05370000001606101;Heinestraße
05370000001606102;Schillerstraße
05370000001606103;Goethestraße
05370000001606104;Lönsstraße
05370000001606105;Hebbelstraße
05370000001606106;Lessingstraße
05370000001606107;Am Waidberg
05370000001606108;Grabenstraße
05370000001606109;Jägerstraße
05370000001606110;Marienstraße
05370000001606111;Remboldstraße
05370000001606112;Wolfskaulstraße
05370000001606113;Schusterweg
05370000001606114;Sibertstraße
05370000001606115;Mommartzstraße
05370000001606116;Eichendorffstraße
05370000001606117;Talblick
05370000001606118;Wiesenhang
05370000001606119;Auf dem Hövel
05370000001606120;Fronland
05370000001606123;Sebastianusstraße
05370000001606124;Kommweidenstraße
05370000001606125;Brementhalstraße
05370000001606126;Hofstadtstraße
05370000001606127;Weyresstraße
05370000001606128;Lütticher Straße
05370000001606129;Lambertusstraße
05370000001606130;Falderstraße
05370000001606131;Glockenlandstraße
05370000001606132;Eschstraße
05370000001606133;Mellerstraße
05370000001606134;Friedgasse
05370000001606135;Grabenstraße
05370000001606136;Erlenhang
05370000001606137;Hügelstraße
