strassenschluessel;bezeichnung
05754000002010050;Ahornweg
05754000002010060;Alte Ziegelei
05754000002010070;Am Christinenbach
05754000002010100;Am Glockenteich
05754000002010200;Am Hallenbad
05754000002010300;Am Halloh
05754000002010400;Am Hanewinkel
05754000002010450;Am Holzplatz
05754000002010500;Am Hülsen
05754000002010600;Am Jordan
05754000002010700;Am Kirchplatz
05754000002010800;Am Pferdekamp
05754000002010850;Am Rathaus
05754000002010900;Am Scheckenkamp
05754000002011000;Am Schmiedekreuz
05754000002011100;Amselhof
05754000002011200;Am Wald
05754000002011220;An den Christinenteichen
05754000002011250;An der Dicken Linde
05754000002011300;An der Gräfte
05754000002011400;Arndtstraße
05754000002011450;Auf dem Felde
05754000002011500;Auf dem Kamp
05754000002011600;Auf der Geist
05754000002011650;Auf der Höfte
05754000002011700;Auf'm Brink
05754000002011800;Augustin-Wibbelt-Straße
05754000002011850;Backsgarten
05754000002011900;Bahnhofstraße
05754000002012000;Barlachweg
05754000002012100;Beckerwiese
05754000002012200;Beelener Straße
05754000002012300;Beethovenstraße
05754000002012350;Benzstraße
05754000002012400;Berliner Straße
05754000002012500;Birkenvenn
05754000002012550;Bischofskamp
05754000002012600;Bleichstraße
05754000002012700;Blumenstraße
05754000002012800;Bolandstraße
05754000002012900;Boschstraße
05754000002013000;Bosfelder Weg
05754000002013100;Brahmsweg
05754000002013200;Bredeck
05754000002013300;Breede
05754000002013400;Brentanostraße
05754000002013500;Breslauer Straße
05754000002013600;Brocker Straße
05754000002013650;Buchenweg
05754000002013700;Buschweg
05754000002013800;Cappenberger Weg
05754000002013850;Carl-Miele-Straße
05754000002013860;Clarholzer Heide
05754000002013900;Clarholzer Straße
05754000002013910;Conrad-Niermann-Straße
05754000002013960;Daimlerstraße
05754000002014000;Danziger Straße
05754000002014100;Debusstraße
05754000002014200;Dieksheide
05754000002014300;Dieselstraße
05754000002014400;Drosselhof
05754000002014500;Droste-Hülshoff-Straße
05754000002014600;Dudastraße
05754000002014700;Dürerstraße
05754000002014800;Eckern
05754000002014900;Eichendorffstraße
05754000002015000;Eichenhof
05754000002015100;Emstal
05754000002015150;Erich-Kästner-Straße
05754000002015160;Erlenweg
05754000002015200;Ermlandstraße
05754000002015250;Eschenweg
05754000002015300;Eusterbrockstraße
05754000002015400;Externbusch
05754000002015500;Fahrenkamp
05754000002015600;Feldbusch
05754000002015700;Feldmannsweg
05754000002015800;Finkenhof
05754000002015900;Forststraße
05754000002015950;Friedrichweg
