strassenschluessel;bezeichnung
05770000001207201;Am Bahndamm
05770000001207202;Am Ellernkamp
05770000001207203;Am Kirchacker
05770000001207204;Am Steinkamp
05770000001207205;Am Schobbruch
05770000001207207;Am Weihenfeld
05770000001207210;Bienenweg
05770000001207211;Burgstädt
05770000001207218;Eckernkamp
05770000001207219;Eickhorster Dorfstraße
05770000001207220;Elstersiek
05770000001207222;Friedhofstraße
05770000001207225;Gänsebrink
05770000001207226;Goldregenweg
05770000001207231;Hiller Straße
05770000001207232;Hohlweg
05770000001207233;Holtschlagstraße
05770000001207234;Holzweg
05770000001207235;Hubertusstraße
05770000001207236;Holunderweg
05770000001207238;Im Mühlengarten
05770000001207239;Im Tackelbusch
05770000001207243;Klein Holland
05770000001207244;Klosterweg
05770000001207252;Neustadt
05770000001207253;Nettelstedter Straße
05770000001207257;Röthe
05770000001207260;Siedlerweg
05770000001207262;Schulmke
05770000001207265;Steimkestraße
05770000001207266;Steinkampbreede
05770000001207268;Veilchenweg
05770000001207270;Wiehenweg
05770000001207271;Wildrosenweg
05770000001207273;Zur Wassermühle
05770000001207276;Alter Schulweg
05770000001207277;Am Kirchfeld
05770000001207278;Am Mühlenfeld
05770000001207279;Am Rathaus
05770000001207280;Am Spitzenend
05770000001207281;An der Bahn
05770000001207282;Am Bruchgarten
05770000001207283;Bahnstraße
05770000001207284;Birkenweg
05770000001207285;Buchenweg
05770000001207286;Bruchfeld
05770000001207287;Ahornweg
05770000001207288;Am Südhof
05770000001207290;Diekweg
05770000001207292;Drilkersweg
05770000001207293;Eichenweg
05770000001207294;Eskedor
05770000001207295;Eschenweg
05770000001207299;Grasweg
05770000001207303;Heidbredenweg
05770000001207304;Hinter den Gärten
05770000001207305;Holzhauser Kirchweg
05770000001207306;Holzhauser Straße
05770000001207307;Haselhain
05770000001207310;Im Busch
05770000001207311;Im Gewerbepark
05770000001207314;Kleiner Bruch
05770000001207315;Kurzer Weg
05770000001207318;Lohhof
05770000001207319;Lavendelweg
05770000001207322;Mühlengasse
05770000001207323;Melissenweg
05770000001207324;Neuer Landsweg
05770000001207325;Nordweg
05770000001207328;Obere Straße
05770000001207330;Rosmarinweg
05770000001207331;Rothenuffelner Straße
05770000001207332;Ringelblumenweg
05770000001207334;Südhofsweg
05770000001207341;Uferstraße
05770000001207344;Wasserfeld
05770000001207345;Wasserriege
05770000001207348;Zum Fange
05770000001207349;Zum Kleinen Wiebusch
05770000001207351;Ackerbreede
05770000001207352;Am Alten Markt
05770000001207353;Am Hafen
05770000001207354;Am Kanal
05770000001207355;Am neuen Garten
05770000001207356;Am Pferdekamp
05770000001207357;Am Schafdamm
05770000001207358;Am Seltmoor
05770000001207359;Am Teich
05770000001207360;Am Teichgraben
05770000001207361;Am Timpen
05770000001207362;Am Weißen Hügel
05770000001207363;An der Beeke
05770000001207364;An der Brennerei
05770000001207365;Apothekenstraße
05770000001207366;Am Alten Pfarrhaus
05770000001207367;Alkhorster Feldweg
05770000001207368;Am Kindergarten
05770000001207369;Am Donaugraben
05770000001207370;Am Kompostwerk
05770000001207371;An der Grundschule
05770000001207372;Am Schulzentrum
05770000001207373;Alte Genossenschaft
05770000001207374;Bahnhofstraße
05770000001207375;Birkenfeld
05770000001207376;Bollacken
05770000001207377;Brennhorster Straße
05770000001207378;Brockkamp
05770000001207379;Brüderstraße
05770000001207380;Brüggemannstraße
05770000001207381;Burkampweg
05770000001207382;Burthun
05770000001207383;Bohlenkamp
05770000001207391;Dammbruchweg
05770000001207392;Denkmalsweg
05770000001207393;Donauweg
05770000001207394;Dorfstraße
05770000001207395;Dreiecksweg
05770000001207396;Dreierskrugweg
05770000001207397;Drosselweg
05770000001207398;Drostenheider Weg
05770000001207399;Düpeweg
05770000001207400;Düsterhorst
05770000001207404;Eickhorster Straße
05770000001207408;Feldkrugweg
05770000001207409;Feldstraße
05770000001207410;Fiefhüser Weg
05770000001207411;Friedrichstraße
05770000001207412;Frotheimer Straße
05770000001207417;Gärtnerweg
05770000001207418;Geestmoordamm
05770000001207419;Gerhardstraße
05770000001207420;Gerstenstraße
05770000001207421;Glinst
05770000001207422;Gustav-Adolf-Straße
05770000001207423;Georgstraße
05770000001207424;Glinster Feldstraße
05770000001207425;Grashornweg
05770000001207426;Gleisbogen
05770000001207428;Hauphof
05770000001207429;Heinrichstraße
05770000001207430;Hermannstraße
05770000001207431;Höchte
05770000001207432;Höfer Feld
05770000001207433;Holtstraote
05770000001207434;Horstbohlen
05770000001207435;Horstmoor
05770000001207436;Hügelstraße
05770000001207437;Hinter dem Kindergarten
05770000001207440;Im Gewerbegebiet
05770000001207443;Im Höfen
05770000001207444;Im Lehmken
05770000001207445;Im Sool
05770000001207446;Im Winkel
05770000001207447;Imkerweg
05770000001207448;Immengarten
05770000001207449;Inne Haupwisk
05770000001207450;Industriehafen
05770000001207455;Karlstraße
05770000001207457;Kraienkamp
05770000001207458;Krumme Straße
05770000001207459;Kuckucksweg
05770000001207460;Katharinenweg
05770000001207461;Kiebitzweg
05770000001207466;Lönsweg
05770000001207467;Lüningsheide
05770000001207468;Luisenweg
05770000001207473;Martin-Luther-Weg
05770000001207474;Mindener Straße
05770000001207475;Mindenerwaldstraße
05770000001207476;Mühlenstraße
05770000001207482;Neuenbaumer Weg
05770000001207483;Neuenhofstraße
05770000001207484;Neue Siedlung
05770000001207489;Osterfeld
05770000001207490;Osterheider Straße
05770000001207493;Paulinenstraße
05770000001207494;Peckrenne
05770000001207495;Plenge
05770000001207496;Poggenburg
05770000001207497;Pohlsche Heide
05770000001207499;Rahdener Postweg
05770000001207500;Rahdener Straße
05770000001207501;Ravensberger Straße
05770000001207502;Riekkamp
05770000001207503;Ritterbruch
05770000001207504;Rutenweg
05770000001207505;Ringstraße
05770000001207506;Raiffeisenstraße
05770000001207507;Reimlers Teich
05770000001207509;Sachsenweg
05770000001207510;Seitenweg
05770000001207511;Sportplatzweg
05770000001207516;Schelfhornweg
05770000001207517;Schierbruchweg
05770000001207518;Schlandorfstraße
05770000001207519;Schlinggraben
