strassenschluessel;bezeichnung
05374000001604000;Albert-Schweitzer-Weg
05374000001604001;Altenberger Straße
05374000001604002;Altenhof
05374000001604003;Altenholte
05374000001604004;Am Kamp
05374000001604005;Am Raspenhaus
05374000001604006;Amselweg
05374000001604007;Am Sonnenplätzchen
05374000001604008;Am Tannenbaum
05374000001604009;Aue
05374000001604010;Auf'm Schloß
05374000001604011;August-Lütgenau-Straße
05374000001604012;Bachstraße
05374000001604013;Bahnhofstraße
05374000001604014;Heinrich-Heine-Weg
05374000001604015;Bahnweg
05374000001604016;Beethovenstraße
05374000001604017;Berbeck
05374000001604018;Bergerhof
05374000001604019;Bergstraße
05374000001604020;Bevertalstraße
05374000001604021;Birkenweg
05374000001604022;Bochen
05374000001604023;Bockhacken
05374000001604024;Böckel
05374000001604025;Bongardstraße
05374000001604026;Mörikeweg
05374000001604027;Theodor-Storm-Weg
05374000001604028;Braßhagen
05374000001604029;Brücke
05374000001604030;Brückenstraße
05374000001604031;Brunnenweg
05374000001604032;Brunsbach
05374000001604033;Buchholz
05374000001604034;Busche
05374000001604035;Buschweg
05374000001604036;Theodor-Fontane-Weg
05374000001604037;Busenbacher Weg
05374000001604038;Corneliusweg
05374000001604039;Dierl
05374000001604040;Dörpe
05374000001604041;Wilhelm-Raabe-Weg
05374000001604042;Dörpfeld
05374000001604043;Dörpfelderhöhe
05374000001604046;Dreibäumen
05374000001604047;Drosselweg
05374000001604048;Dürhagen
05374000001604049;Eckenhausen
05374000001604052;Elberhausen
05374000001604054;Engelshagen
05374000001604055;Erlensterz
05374000001604056;Falkenweg
05374000001604058;Feldstraße
05374000001604059;Finkenweg
05374000001604060;Fockenhausen
05374000001604062;Franz-Schnabel-Straße
05374000001604063;Friedhofsweg
05374000001604064;Friedrichstraße
05374000001604065;Fritz-Zoll-Straße
05374000001604066;Frohnhausen
05374000001604067;Frohnhauser Weg
05374000001604068;Fürstenbergstraße
05374000001604069;Fürweg
05374000001604070;Fuhr
05374000001604071;Funkenhausen
05374000001604072;Gardelenbergstraße
05374000001604073;Gerhart-Hauptmann-Straße
05374000001604074;Goethestraße
05374000001604075;Goldenbergshammer
05374000001604076;Grabenstraße
05374000001604077;Graf-Arnold-Platz
05374000001604078;Grenzstraße
05374000001604079;Großberghausen
05374000001604080;Großberghauser Straße
05374000001604081;Großeichen
05374000001604082;Großenscheidt
05374000001604083;Großkatern
05374000001604084;Gerhard-Rottländer-Straße
05374000001604085;Grünental
05374000001604086;Grünestraße
05374000001604087;Gutenbergstraße
05374000001604088;Hagelsiepen
05374000001604090;Hambüchener Weg
05374000001604091;Hammerstein
05374000001604092;Hangberg
05374000001604094;Hartkopsbever
05374000001604096;Heide
05374000001604097;Heidenstraße
05374000001604098;Heidt
05374000001604099;Heinhausen
05374000001604100;Hermann-Löns-Straße
05374000001604101;Herweg
05374000001604102;Fliederweg
05374000001604103;Hochstraße
05374000001604104;Höhe
05374000001604105;Höhenweg
05374000001604106;Höhsiepen
05374000001604107;Huckingerstraße
05374000001604108;Hülsenbusch
05374000001604109;Hummeltenberg
05374000001604111;Industriestraße
05374000001604112;Islandstraße
05374000001604113;Jahnplatz
05374000001604114;Jung-Stilling-Straße
05374000001604115;Junkernbusch
05374000001604116;Käfernberg
05374000001604117;Kaiserhöhe
05374000001604118;Kaisersbusch
05374000001604120;Kammerforsterhöhe
05374000001604122;Karquelle
05374000001604123;Karrenstein
05374000001604124;Kieköm
05374000001604126;Kirschsiepen
05374000001604127;Kleinberghausen
05374000001604128;Kleinberghauser Straße
05374000001604129;Kleineichenweg
05374000001604130;Kleinhöhfeld
05374000001604131;Kleinenscheidt
05374000001604132;Kleinkatern
05374000001604133;Knefelsberg
05374000001604135;Kölner Straße
05374000001604136;Kormannshausen
05374000001604137;Kotthausen
05374000001604139;Kurzfeld
05374000001604140;Laake
05374000001604142;Lerchenweg
05374000001604143;Lessingstraße
05374000001604145;Linde
05374000001604146;Lindenberg
05374000001604147;Lindenbergstraße
05374000001604149;Maisdörpe
05374000001604150;Maria-Zanders-Straße
05374000001604151;Marke
05374000001604152;Marktberg
05374000001604153;Marktstraße
05374000001604154;Meisenweg
05374000001604155;Mickenhagen
05374000001604156;Mitberg
05374000001604157;Mittelbeck
05374000001604158;Mittelhombrechen
05374000001604159;Mittelstraße
05374000001604160;Mozartstraße
05374000001604161;Mühlenberg
05374000001604162;Mühlenstraße
05374000001604163;Mühlenweg
05374000001604164;Neuenherweg
05374000001604165;Neuenholte
05374000001604166;Neue Welt
05374000001604167;Niederbeck
05374000001604168;Niederburghof
05374000001604169;Niederdahlhausen
05374000001604170;Niederdorp
05374000001604172;Niederhagelsiepen
05374000001604173;Niederhombrechen
05374000001604174;Neukretze
05374000001604176;Niederlangenberg
05374000001604177;Nordstraße
05374000001604178;Oberbeck
05374000001604179;Oberburghof
05374000001604180;Oberdorp
05374000001604182;Oberhombrechen
05374000001604185;Oberlangenberg
05374000001604186;Odenholl
05374000001604187;Odenholler Mühle
05374000001604189;Parkweg
05374000001604190;Peterstraße
05374000001604191;Pixberg
05374000001604192;Pixberger Mühle
05374000001604193;Pixberger Straße
05374000001604194;Pixwaag
05374000001604195;Pleuse
05374000001604196;Posthäuschen
05374000001604198;Purd
05374000001604200;Rader Straße
05374000001604201;Rautzenberg
05374000001604202;Reinsbach
05374000001604203;Reinshagensbever
05374000001604205;Ringstraße
05374000001604206;Robert-Schumann-Straße
05374000001604207;Röttgen
05374000001604208;Rotdornweg
05374000001604209;Ruhmeshalle
05374000001604211;Siepersbever
05374000001604212;Sohl
05374000001604213;Sperberstraße
05374000001604214;Sudetenlandstraße
05374000001604215;Scheideweg
05374000001604216;Scheuer
05374000001604217;Schillerplatz
05374000001604218;Schmalbeinsweg
05374000001604219;Schmittweg
05374000001604220;Schneppendahl
05374000001604222;Schubertstraße
05374000001604223;Schückhausen
05374000001604224;Schnabelsmühle
05374000001604225;Schwalbenweg
05374000001604226;Stahlschmidtsbrücke
05374000001604227;Steffenshagen
05374000001604228;Steinberg
05374000001604230;Stoote
