05358000002006520;Altdorfstraße
05358000002006521;Alter Markt
05358000002006522;Am Forsthof
05358000002006523;Am Wehebach
05358000002006524;An der Kippe
05358000002006525;Auf dem Driesch
05358000002006526;Berger Weg
05358000002006527;Brockengasse
05358000002006528;Buchenweg
05358000002006529;Buschweg
05358000002006530;Eisenbahnstraße
05358000002006531;Friedensstraße
05358000002006532;Geuenicher Straße
05358000002006533;Goltsteinstr.
05358000002006534;Gronental
05358000002006535;Hauptstraße
05358000002006536;Im Schlehental
05358000002006537;In den Benden
05358000002006538;Indener Straße
05358000002006539;Kirchstraße
05358000002006540;Lindenstraße
05358000002006541;Löwenstraße
05358000002006542;Mühlenkamp
05358000002006543;Neustraße
05358000002006544;Pumpengasse
05358000002006545;Rathausstraße
05358000002006546;Römerstraße
05358000002006547;Rössener Straße
05358000002006548;Uferstraße
05358000002006551;Gut Lützeler
05358000002006552;Am Goltsteinbrunnen
05358000002006553;Am Gutshof
05358000002006554;Bonsdorfer Str.
05358000002006555;Grüntalstr.
05358000002006556;Jakobstr.
05358000002006557;Kreuzstr.
05358000002006558;Marienstr.
05358000002006559;Pierer Str.
05358000002006560;Pommenicher Str.
05358000002006561;Zum Goldesacker
05358000002006562;Berensgasse
05358000002006563;Scheeresgasse
05358000002006564;Indemann
05358000002006566;Lützeler Benden
05358000002006567;An der Waagmühle
05358000002006568;Kapellenstraße
05358000002006570;Am Hohen Ufer
05358000002006573;Auf der Komm
05358000002006576;Burgstr.
05358000002006584;Feldgasse
05358000002006587;Frenzer Driesch
05358000002006589;Friedhofstr.
05358000002006592;Hofstr.
05358000002006594;Im Haswinkel
05358000002006597;Kirchplatz
05358000002006599;Langerweher Str.
05358000002006605;Oberstr.
05358000002006612;Schälmühle
05358000002006614;Unterstr.
05358000002006671;Merödgener Str.
05358000002006701;Corneliusstr.
05358000002006705;Drieschstr.
05358000002006710;Frankenstr.
05358000002006715;Grubenstr.
05358000002006717;Indestr.
05358000002006722;Kampstr.
05358000002006730;Mittelstr.
05358000002006742;Schwarzer Weg
05358000002006746;Turmstr.
05358000002006750;Weststr.
05358000002006752;Am Fließ
05358000002006770;Akazienstr.
05358000002006771;Am Lugberg
05358000002006772;Am Schmitteberg
05358000002006777;Birkenstr
05358000002006785;Goltsteinstr.
05358000002006788;Grünstr.
05358000002006791;Haus Büttgen
05358000002006794;Hochstr.
05358000002006799;Krausstr.
05358000002006810;Obstwiese
05358000002006813;Parkstr.
05358000002006818;Rosenstr.
05358000002006823;Sebastian-Stassen-Str.
05358000002006825;Seestr.
05358000002006829;Talstr.
05358000002006833;Waagmühle
05358000002006857;Am Fischweiher
05358000002006859;Auf der Rur
05358000002006885;In der Ruraue
05358000002006886;Industriestr.
05358000002006927;Tannenweg
05358000002006936;Am Molenweg
05358000002006940;Dunkelhof
05358000002006944;Fuchsstr.
05358000002006947;Gut Müllenark
05358000002006951;Josefweg
05358000002006954;Kalkweg
05358000002006956;Krauthausener Str.
05358000002006959;Lehrer-Steffens-Str.
05358000002006962;Müllenarker Mühle
05358000002006970;Rurstr.
05358000002006974;Schlichstr.
05358000002006977;Schützenstr.
05358000002006980;Viehöven
05358000002006981;Viehövener Str.
05358000002006982;Zum Roten Acker
05358000002006983;Am Luschend
05358000002006984;Bauweg
05358000002006985;Hüttenstr.
05358000002006986;Schophovener Str.
05358000002006987;Steinstr.
05358000002009999;Pseudostraße
