05154000002057001;Aengenesch
05154000002057003;Aengenescher Weg
05154000002057006;Ahornstr.
05154000002057008;Alte Bogenstr.
05154000002057009;Am Bahnhof
05154000002057012;Ammerweg
05154000002057015;Amray
05154000002057017;Am Schankweiler
05154000002057018;Amselweg
05154000002057021;Am Sportplatz
05154000002057024;Am Tapp
05154000002057027;Am Wagenberg
05154000002057030;Am Wasserwerk
05154000002057031;An de Krütpasch
05154000002057032;An de Klump
05154000002057033;Annastr.
05154000002057036;Bahnstr.
05154000002057038;Vogt-von-Belle-Platz
05154000002057039;Bertastr.
05154000002057042;Birkenstr.
05154000002057045;Blumenstr.
05154000002057048;Bönninghardt
05154000002057051;Bogenstr.
05154000002057052;Bonhoefferstraße
05154000002057053;Brauerei-Diebels-Str.
05154000002057054;Braustr.
05154000002057057;Brückerheide
05154000002057060;Buchenstr.
05154000002057063;Buchfinkweg
05154000002057066;Cäcilienstr.
05154000002057069;Dompfaffweg
05154000002057070;Drosselweg
05154000002057072;Eichenstr.
05154000002057075;Erlenstr.
05154000002057078;Flughafenweg
05154000002057081;Gartenstr.
05154000002057082;Geiteweg
05154000002057084;Gelderner Str.
05154000002057085;Gewerbering
05154000002057087;Girlitzweg
05154000002057090;Hamsfeld
05154000002057093;Handelsstr.
05154000002057096;Heideweg
05154000002057099;Helenenstr.
05154000002057100;Herrlichkeit
05154000002057102;Hochwald
05154000002057105;Hochwalder Str.
05154000002057108;Huckstr.
05154000002057111;Im Winkel
05154000002057114;Jahnstr.
05154000002057116;Josef-Diebels-Str.
05154000002057117;Kapellener Str.
05154000002057118;Kevelaerer Str.
05154000002057119;Katharinastr.
05154000002057120;Krumme Str.
05154000002057121;Kolpingstr.
05154000002057123;Kullenweg
05154000002057125;Langendonker Weg
05154000002057126;Lamerong
05154000002057127;Lerchenweg
05154000002057128;Lindenau
05154000002057129;Lindenstr.
05154000002057132;Luisenstr.
05154000002057134;Markt
05154000002057138;Meisenweg
05154000002057141;Mittelstr.
05154000002057144;Mühlenstr.
05154000002057147;Nelkenstr.
05154000002057150;Neustr.
05154000002057153;Niederwald
05154000002057156;Niederwalder Str.
05154000002057159;Nordring
05154000002057162;Pappelstr.
05154000002057165;Pauenweg
05154000002057168;Rosenstr.
05154000002057174;Schulstr.
05154000002057177;Schwalbenweg
05154000002057180;Schwarzer Dyck
05154000002057181;Sevelener Str.
05154000002057183;Sperlingweg
05154000002057186;Starenweg
05154000002057189;Strohweg
05154000002057190;Talweg
05154000002057192;Waldstr.
05154000002057198;Werkstr.
05154000002057201;Weseler Str.
05154000002057204;Wiesenweg
05154000002057207;Wilhelmshöhe
05154000002057210;Xantener Weg
05154000002057213;Zeisigweg
05154000002057220;Zum Kleine Winter
05154000002057250;Aldekerker Str.
05154000002057253;Alte Gelderner Str.
05154000002057254;Am Heesenhof
05154000002057255;Am Moashof
05154000002057256;Am Mühlenberg
05154000002057257;Am Büllenhof
05154000002057259;Am Rathaus
05154000002057260;Am Smeytshof
05154000002057261;An der Dahlenmühle
05154000002057262;An der Landwehr
05154000002057263;An der Isidorkapelle
05154000002057265;An der Ley
05154000002057268;An der Wupper
05154000002057271;Antoniusstr.
