05766000003603101;Am Alten Hofe
05766000003603102;Am Bruchkamp
05766000003603103;Am Loh
05766000003603104;Am Markt
05766000003603105;Am Schierensberg
05766000003603106;An der Kalle
05766000003603107;An Jacobis Hofe
05766000003603108;Auf dem Bruche
05766000003603109;Auf dem Kampe
05766000003603110;Auf dem Stein
05766000003603111;Barmbrede
05766000003603112;Herforder Straße
05766000003603113;Bergweg
05766000003603114;Bruchweg
05766000003603115;Bullerbusch
05766000003603116;Dalbke
05766000003603117;Diekbrede
05766000003603118;Echternhagen
05766000003603119;Eichentwete
05766000003603120;Eichholz
05766000003603121;Eichkamp
05766000003603122;Fassensteg
05766000003603123;Gartenstraße
05766000003603124;Hasenbrede
05766000003603125;Am Kreuzweg
05766000003603126;Hohle Straße
05766000003603127;Im Roten Lith
05766000003603128;In den Ellern
05766000003603129;Küsterweg
05766000003603130;Lemgoer Straße
05766000003603131;Auf dem Löffelkamp
05766000003603132;Lohberg
05766000003603133;Lohbrede
05766000003603134;Lohfeld
05766000003603135;Hohenhauser Straße
05766000003603136;Mühlenbrede
05766000003603137;Niedersachsenstraße
05766000003603138;Reisental
05766000003603139;Rintelner Straße
05766000003603140;Römerweg
05766000003603141;Karl-Kraft-Weg
05766000003603142;Schmiedeberg
05766000003603143;Schürenbreder Weg
05766000003603144;Sellworth
05766000003603145;Steinernkamp
05766000003603146;Tiefental
05766000003603147;Trotzenburg
05766000003603148;Weinkamp
05766000003603149;Westacker
05766000003603150;Auf der Bülte
05766000003603151;Wiesenstraße
05766000003603152;Langer Acker
05766000003603153;Gewerbegeb. Echternhagen
05766000003603154;Pinningsweg
05766000003603155;Steinbrink
05766000003603156;Auf dem Felde
05766000003603157;Im Neuen Land
05766000003603160;Heinrich-Johanning-Weg
05766000003603191;Auf der Hude
05766000003603192;Peile
05766000003603193;Beutebrink
05766000003603194;Doktorweg
05766000003603195;Felsenkeller
05766000003603196;Hacksiek
05766000003603197;Hackweg
05766000003603198;Rainweg
