strassenschluessel;bezeichnung
05170000002030401;Abteiplatz
05170000002030402;Adlerweg
05170000002030403;Albertstraße
05170000002030404;Agnes-Miegel-Weg
05170000002030405;Alfredstraße
05170000002030406;Ebertplatz
05170000002030407;Alpener Straße
05170000002030408;Groteweg
05170000002030409;Alte Weseler Straße
05170000002030410;Plaggenweg
05170000002030411;Altfelder Straße
05170000002030412;Am Anger
05170000002030413;Am Abelshof
05170000002030414;Amelungsborn-Straße
05170000002030415;Am Englischen Friedhof
05170000002030416;Bergweg
05170000002030417;Am Hornbusch
05170000002030418;Neuenkamp-Straße
05170000002030419;Am Kahlenhof
05170000002030420;Marienkroon-Straße
05170000002030421;Am Laukenhof
05170000002030422;Am Nepix Feld
05170000002030423;Am Pappelsee
05170000002030424;Marienhave-Straße
05170000002030425;Am Parsickgraben
05170000002030426;Am Rathaus
05170000002030427;Am Volkspark
05170000002030428;Am Schmidtberg
05170000002030429;Amselstraße
05170000002030430;An der Goorley
05170000002030431;Annastraße
05170000002030432;Asdonkstraße
05170000002030433;Am Anraths-Kendel
05170000002030434;Anne-Frank-Straße
05170000002030435;Antonstraße
05170000002030436;Asternweg
05170000002030437;Auguststraße
05170000002030438;An der Rheinberger Heide
05170000002030439;Am Drehmannshof
05170000002030441;Ahornstraße
05170000002030442;Sibculo-Straße
05170000002030443;Baerlagweg
05170000002030443;Baerlagweg
05170000002030444;Am Terhardtshof
05170000002030445;Bahnhofstraße
05170000002030446;Schlehenweg
05170000002030447;Barbarastraße
05170000002030448;Ligusterweg
05170000002030449;Bendenstraße
05170000002030450;Karl-Flügel-Platz
05170000002030451;Bendsteg
05170000002030453;Bergmannstraße
05170000002030455;Bergstraße
05170000002030457;Bernhardstraße
05170000002030459;Bertastraße
05170000002030461;Bierweg
05170000002030463;Bismarckplatz
05170000002030464;Blumenstraße
05170000002030465;Boegenhofstraße
05170000002030467;Bogenstraße
05170000002030469;Brandshofstraße
05170000002030471;Brandstraße
05170000002030473;Braustraße
05170000002030475;Breitenwegsallee
05170000002030477;Breiter Weg
05170000002030479;Breslauer Straße
05170000002030481;Bruchstraße
05170000002030483;Bruchweg
05170000002030485;Bürgerm.-Schmelzing-Straße
05170000002030487;Burgstraße
05170000002030488;Bussardweg
05170000002030489;Buchenstraße
