strassenschluessel;bezeichnung
05566000003602001;Alter Damm
05566000003602002;Am Bach
05566000003602003;Am Bült
05566000003602004;Am Heidenbaum
05566000003602005;Am Hofkamp
05566000003602006;Annettenweg
05566000003602007;Bachstr.
05566000003602008;Bammeltring
05566000003602009;Bernhard-Holtmann-Str.
05566000003602010;Bodelschwinghstr.
05566000003602011;Borghorster Str.
05566000003602012;Borgweg
05566000003602013;Bültstiege
05566000003602014;Darfelder Str.
05566000003602015;Eichendorffstr.
05566000003602016;Enger Steinweg
05566000003602017;Esch
05566000003602018;Ewaldigrund
05566000003602019;Falkenweg
05566000003602020;Franz-Rieping-Str.
05566000003602021;Frauenhoek
05566000003602022;Frauenstr.
05566000003602023;Freisenbrock
05566000003602024;Grüner Weg
05566000003602025;Hohe Str.
05566000003602026;Horstmarer Str.
05566000003602027;Johanniterstr.
05566000003602028;Kamp
05566000003602029;Kapellenweg
05566000003602030;Kettelerweg
05566000003602031;Kirchstr.
05566000003602032;Klingenhagen
05566000003602033;Kolpingweg
05566000003602034;Königstr.
05566000003602035;Löchtefeldstiege
05566000003602036;Ludgerusstr.
05566000003602037;Mühlenhoek
05566000003602038;Münsterdamm
05566000003602039;Paul-Gerhardt-Str.
05566000003602040;Pohlstr.
05566000003602041;St. Bartholomäusstr.
05566000003602042;Steenbrey
05566000003602043;Terup
05566000003602044;Vikarieweg
05566000003602045;Von-Galen-Weg
05566000003602046;Welzen
05566000003602047;Werner-Rolevinck-Str.
05566000003602048;Wiesengrund
05566000003602049;Willibrordstr.
05566000003602050;Winkel
05566000003602051;Woord
05566000003602052;Zum Heiligenfeld
05566000003602053;Aabauerschaft
05566000003602054;Altenburg
05566000003602055;Vowinkel
05566000003602056;Schuerkamp
05566000003602057;Wibbeltweg
05566000003602058;Claudiusstr.
05566000003602059;Glatzer Weg
05566000003602060;Kopernikusweg
05566000003602061;Lönsweg
05566000003602062;Overbergstr.
05566000003602063;Schorlemer Str.
05566000003602064;Wagenfeldweg
05566000003602065;Westfalenring
05566000003602066;Himmel
05566000003602067;Am Rathaus
05566000003602068;Lange Flagge
05566000003602069;Steinkuhle
05566000003602070;Silesiusweg
05566000003602071;Bleiche
05566000003602072;Henrich-Valck-Str.
05566000003602073;Am Rolevinckhof
05566000003602074;In der Kartause
05566000003602075;Hofstelle Lengers
05566000003602076;Baderslebener Str.
05566000003602101;Am Blick
05566000003602102;Auf'm Thie
05566000003602103;Beerlager Str.
05566000003602104;Borghof
05566000003602105;Dörrhoff
05566000003602106;Zur Wieske
05566000003602107;Dorfbauerschaft
05566000003602108;Pastors Kamp
05566000003602109;Wilmerstiege
05566000003602110;Steinfurter Str.
05566000003602111;Flooth
05566000003602112;Altenberger Str.
05566000003602113;Schiewenhügel
05566000003602114;Schmitz Weide
05566000003602115;Zum Hagenbach
05566000003602116;Sportallee
05566000003602117;Zur Furt
05566000003602119;Wallheckenweg
05566000003602120;An der Dille
05566000003602121;Am Eschbach
05566000003602122;Hinnemanns Hof
05566000003602123;Riemselweg
05566000003602124;2273 Bottrop - Quakenbr.
05566000003602125;Am Strübberhoek
05566000003602126;Zur Gärtnerei
05566000003602127;Am Findling
05566000003602129;Amtmann-von-Oy-Str.
05566000003602130;Düssen Berg
05566000003602131;Am Kleine Kreuzbrink
05566000003602132;Kley
055660000036=2273;Bahnlinie Bottrop - Quakenbrück
