05358000003206000;Alte Kirchstr.
05358000003206001;Am Wehebach
05358000003206002;Apolloniastr.
05358000003206003;Auf dem Hiebchen
05358000003206004;Auf den Kämpen
05358000003206005;Bahnhofsplatz
05358000003206006;Bergstr.
05358000003206007;Burg Frenz
05358000003206008;Dechant-Kallen-Str.
05358000003206009;Florastr.
05358000003206010;Grüner Weg
05358000003206011;Hans-Böckler-Str.
05358000003206012;Hauptstr.
05358000003206013;Hausbuschgasse
05358000003206014;Gut Merberich
05358000003206015;Hülsenbergstr.
05358000003206016;Hirkenweg
05358000003206017;Hospitalstr.
05358000003206018;In der Peitsch
05358000003206019;Johannes-Haack-Str.
05358000003206020;Karl-Arnold-Str.
05358000003206021;Luchemer Str.
05358000003206022;Maarweg
05358000003206023;Margaretenstr.
05358000003206024;Marienstr.
05358000003206025;Martinstr.
05358000003206026;Neustr.
05358000003206027;Nikolausberg
05358000003206028;Pastoratsweg
05358000003206030;Pochmühlenweg
05358000003206031;Poststr.
05358000003206032;Rothammer
05358000003206033;Rymelsberg
05358000003206034;Schafenberg
05358000003206035;Schießberggraben
05358000003206036;Schönthaler Str.
05358000003206037;Josef-Schwarz-Str.
05358000003206038;Schützenstr.
05358000003206040;Töpferweg
05358000003206041;Ulhaus
05358000003206042;Ulhausgasse
05358000003206044;Zehnthofweg
05358000003206046;An der Sandgrube
05358000003206047;Merbericher Weg
05358000003206048;Im Birkengrund
05358000003206049;Felix-Schleicher-Straße
05358000003206050;Bahnhofstraße
05358000003206051;Frenzer Weg
05358000003206052;Im Meisenbusch
05358000003206053;Neuer Töpferweg
05358000003206057;Haus Merberich
05358000003206060;Bürgerm.-Schoeller-Str.
05358000003206061;Josef-Heinrichs-Str.
05358000003206062;Seelebach
05358000003206064;Dr.-Burchard-Sielmann-Straße
05358000003206065;Christa-Schmitt-Straße
05358000003206070;Dürener Str.
05358000003206071;Friedhofstr.
05358000003206072;In der Klaus
05358000003206073;Schlicher Str.
05358000003206074;Prälat-Dr.-Selung-Str.
05358000003206080;Bundesstr.
05358000003206081;Eichenweg
05358000003206082;Herrengarten
05358000003206083;Echtzer Str.
05358000003206084;Wasserfeld
05358000003206085;Auf dem Hahnen
05358000003206088;Falkenweg
05358000003206089;Meierskamp
05358000003206090;Am Daens
05358000003206091;Am Fasanenhang
05358000003206092;Am Pfuhl
05358000003206093;Auf'm Kutsch
05358000003206094;Römerweg
05358000003206095;Heisterner Str.
05358000003206096;Klosterstr.
05358000003206097;Gut Atzenau
05358000003206098;Hamicher Höfchen
05358000003206099;Kreuzfelder Straße
05358000003206110;Am Sandberg
05358000003206111;An der Kante
05358000003206112;Auf der Heide
05358000003206113;Steinweg
05358000003206114;Döllersfeldchen
05358000003206115;Hamicher Str.
05358000003206117;Zum Knabbert
05358000003206118;Kupfergasse
05358000003206119;Nothberger Weg
05358000003206120;Pützgasse
05358000003206122;Waldstr.
05358000003206123;Weisweilerstr.
05358000003206124;Wenauer Str.
05358000003206125;Wenauer Höfchen
05358000003206126;Zum Laufenburgblick
05358000003206133;Neuer Weg
05358000003206134;Der Fußhof
05358000003206135;Altdorfer Weg
05358000003206136;An der Erk
05358000003206138;Im Baumgarten
05358000003206139;Indener Weg
05358000003206140;Auf dem Feldchen
05358000003206141;Bachstr.
05358000003206143;Gartenstr.
05358000003206144;Kapellenstr.
05358000003206145;Holzstr.
05358000003206146;Laufenburg
05358000003206147;Am Weiherhof
05358000003206148;Oligsdriesch
05358000003206149;Laufenburgstr.
05358000003206150;Lerchenweg
05358000003206151;Am Königsbusch
05358000003206152;An der Lochmühle
05358000003206153;Jüngersdorfer Straße
05358000003206154;Zur Kalkbahn
05358000003206155;Am Hofacker
05358000003206156;Arnold-Homberg-Straße
05358000003206157;Johannes-Hellwig-Straße
05358000003206158;Am Parir
05358000003206159;Talblick
05358000003206160;Adam-Lehnen-Str.
05358000003206161;Blumenstr.
05358000003206162;Driesch
05358000003206163;Dürener Weg
05358000003206164;Hahnweg
05358000003206165;Mittelstr.
05358000003206166;Ölmühle
05358000003206167;Brückenstr.
05358000003206168;Burgstr.
05358000003206169;Lindenhof
05358000003206170;Lennestraße
05358000003206180;Auf dem Kamp
05358000003206181;Bundesstr.
05358000003206182;D'horner Str.
05358000003206183;Paradiesstr.
05358000003206184;Schloßstr.
05358000003206185;Schulstr.
05358000003206186;Meroder Str.
05358000003206187;Weberstr.
05358000003206188;Zum Hahndorn
05358000003206189;Kreuzherrenstr.
05358000003206190;Antoniusstr.
05358000003206191;Gysemans-Weg
05358000003206192;Westerloer Allee
05358000003206199;Klosterhof
05358000003206200;Bernadettestr.
05358000003206201;Bundesstr.
05358000003206202;Beethovenstr.
05358000003206203;Herrengarten
05358000003206204;Pützhecke
05358000003206205;In den Benden
05358000003206206;Kreuzstr.
05358000003206208;An den Obstwiesen
05358000003206209;Auf dem Hahnen
05358000003206217;Am Niederbusch
05358000003206218;Am Brandweiher
05358000003206219;Zum Tannenwald
05358000003206220;Am Neuhaus
05358000003206221;Antoniusstr.
05358000003206222;Bundesstr.
05358000003206223;Derichsweilerstr.
05358000003206224;Grabenstr.
05358000003206225;Bongard
05358000003206226;Schmiedestr.
05358000003206227;Kirchstr.
05358000003206228;In der Au
05358000003206232;Mariahof
05358000003206233;Martinusstr.
05358000003206234;Meroder Str.
05358000003206235;Am Hinterbusch
05358000003206236;Paradiesstr.
05358000003206237;Petershof
05358000003206238;Pfarrer-Ossemann-Str.
05358000003206239;Ringstr.
05358000003206241;Münsterstr.
05358000003206242;Südstr.
05358000003206243;Weberstr.
05358000003206244;Weierstr.
05358000003206245;Wiesenstr.
05358000003206246;Am Rotbach
05358000003206247;Eifelstr.
05358000003206249;Rektor-Niederau-Straße
05358000003206250;Schönthal
05358000003206251;Gut Schönthal
05358000003206260;Am Steinchen
