strassenschluessel;bezeichnung
05766000004804601;Am Anger
05766000004804602;Am Doktorkamp
05766000004804603;Am Plaßgraben
05766000004804604;Am Rosenhagen
05766000004804605;Am Spielplatz
05766000004804606;Apfelstraße
05766000004804607;Askampstraße
05766000004804608;Bachstraße
05766000004804609;Schuckenteichweg
05766000004804610;Bergstraße
05766000004804611;Herforder Straße
05766000004804612;Pappelweg
05766000004804613;Blitzenburgweg
05766000004804614;Nußweg
05766000004804615;Roggenkamp
05766000004804616;Drosselstraße
05766000004804617;Eichenweg
05766000004804618;Erlenweg
05766000004804619;Fasanenweg
05766000004804620;Feldstraße
05766000004804621;Fichtenweg
05766000004804622;Kleine Horst
05766000004804623;Große-Horst-Straße
05766000004804624;Hovedisser Straße
05766000004804625;Im Haferkamp
05766000004804626;Im Meierfeld
05766000004804627;Kiefernweg
05766000004804628;Kirchweg
05766000004804629;Krentruper Straße
05766000004804630;Lagesche Straße
05766000004804631;Eibenstraße
05766000004804632;Neue Straße
05766000004804633;Hauptstraße
05766000004804634;Schötmarsche Straße
05766000004804635;Schulstraße
05766000004804636;Siekweg
05766000004804637;Tannenweg
05766000004804638;Taubenweg
05766000004804640;Weidenstraße
05766000004804641;Wiesenstraße
05766000004804642;Nordstraße
05766000004804643;Storchenweg
05766000004804644;Im Grünen Winkel
05766000004804645;Am Moshagen
05766000004804646;Kleekamp
05766000004804647;Finkenweg
05766000004804648;Jahnstraße
05766000004804649;Kampstraße
05766000004804650;Humboldtstraße
05766000004804651;Lortzingstraße
05766000004804653;Heinrichstraße
05766000004804654;Hermannstraße
05766000004804655;Leopoldstraße
05766000004804656;Arminstraße
05766000004804657;Kranichweg
05766000004804658;Wilhelmstraße
05766000004804659;Basedowweg
05766000004804660;Fröbelweg
05766000004804661;Pestalozziweg
05766000004804662;Waldorfweg
05766000004804663;Wichernweg
05766000004804664;Diesterwegstraße
05766000004804665;Rebhuhnweg
05766000004804666;Ludwigstraße
05766000004804667;Von-Borries-Straße
05766000004804668;Johannesweg
05766000004804669;Kerkerdreh
05766000004804670;Ahornstraße
05766000004804671;Alleestraße
05766000004804672;Im Holzkamp
05766000004804673;Am Eikern
05766000004804674;Am Krähenholz
05766000004804675;Kastanienweg
05766000004804676;Am Lehm
05766000004804677;Am Sportplatz
05766000004804678;Bahnhofstraße
05766000004804679;Heeper Straße
05766000004804680;Birkenstraße
05766000004804681;Buchenstraße
05766000004804682;Detmolder Straße
05766000004804683;Bolhöferweg
05766000004804684;Gartenstraße
05766000004804685;Grester Straße
05766000004804686;Grünstraße
05766000004804687;Hauptstraße
05766000004804688;Holtstraße
05766000004804689;Im Büsken
05766000004804690;Eschenstraße
05766000004804691;Lindenstraße
05766000004804693;Eggeweg
05766000004804694;Hansastraße
05766000004804695;Rotdornweg
05766000004804696;Unter den Eichen
05766000004804697;Kiebitzweg
05766000004804698;Schlangenstraße
05766000004804699;Baumstraße
05766000004804700;Parkstraße
