strassenschluessel;bezeichnung
05374000002002000;Kleuelshöhe
05374000002002000;Kleuelshöhe
05374000002002001;Köttingen
05374000002002002;Voßbrucher Straße
05374000002002003;Moselweg
05374000002002004;Weißen Pferdchen
05374000002002005;Abrahamstal
05374000002002006;Ahornweg
05374000002002007;Akazienweg
05374000002002008;Am Bahndamm
05374000002002009;Am Brunnenberg
05374000002002010;Am Falltor
05374000002002011;Am Fronhofsgarten
05374000002002012;Am Langen Hahn
05374000002002013;Am Paffenberg
05374000002002014;Amselweg
05374000002002015;Am Sülzer Berg
05374000002002016;Auf dem Heidchen
05374000002002017;Auf dem Korb
05374000002002018;Auf dem Ufer
05374000002002019;Auf den Reieneichen
05374000002002020;Bachstraße
05374000002002021;Bachwiese
05374000002002022;Bahnhofstraße
05374000002002023;Beethovenstraße
05374000002002024;Berg
05374000002002025;Berliner Straße
05374000002002026;Birkenweg
05374000002002027;Bismarckstraße
05374000002002028;Borromäusstraße
05374000002002029;Brennergasse
05374000002002030;Breslauer Straße
05374000002002031;Brungerststraße
05374000002002032;Buchenweg
05374000002002033;Dillensiefen
05374000002002034;Eichendorffstraße
05374000002002035;Eibenweg
05374000002002036;Eichenhofstraße
05374000002002037;Eichenweg
05374000002002038;Ellersbach
05374000002002039;Eremitage
05374000002002040;Finkenweg
05374000002002041;Friedhofstraße
05374000002002042;Goethestraße
05374000002002043;Hammerschmidt Allee
05374000002002044;Hauptstraße
05374000002002045;Heibach
05374000002002046;Heidplätzchen
05374000002002047;Heiligenhoven
05374000002002048;Hellinger Straße
05374000002002049;Hinterrübach
05374000002002050;Auf der Höhe
05374000002002051;Hönighausen
05374000002002052;Hoffstadt
05374000002002053;Holl
05374000002002054;Holz
05374000002002055;Im Grünen Born
05374000002002056;Johannes-Fischer-Weg
05374000002002057;Kamper Straße
05374000002002058;Kantstraße
05374000002002059;Kapellenweg
05374000002002060;Kastanienweg
05374000002002061;Kemmerich
05374000002002062;Kirchplatz
05374000002002063;Kirschbäumchen
05374000002002064;Klauser Straße
05374000002002065;Klespe
05374000002002066;Kölner Straße
05374000002002067;Königsberger Straße
05374000002002068;Korbstraße
05374000002002069;Kurtenbach
05374000002002070;Lerchenweg
05374000002002071;Lindenallee
05374000002002072;Lingenbach
05374000002002073;Ludwig-Jahn-Straße
05374000002002074;Luisenstraße
05374000002002075;Meisenweg
05374000002002076;Merlenbach
05374000002002077;Mozartstraße
05374000002002078;Mühlenseite
05374000002002079;Nord-West-Allee
05374000002002080;Oberkotten
05374000002002081;Im Otto-Lob-Winkel
05374000002002082;Pfarrgasse
05374000002002083;Pollerhofstraße
05374000002002084;Postweg
05374000002002085;Rheinstraße
05374000002002086;Robert-Koch-Straße
05374000002002087;Rosenhügel
05374000002002088;Rotdornweg
05374000002002089;Schätzmühle
05374000002002090;Scheller
05374000002002091;Schillerstraße
05374000002002092;Schneppensiefen
05374000002002093;Schwalbenweg
05374000002002094;Schwarzenbachstraße
05374000002002095;Steinbach
05374000002002096;Stolzenbach
05374000002002097;Stoppenbach
05374000002002098;Süttenbach
05374000002002099;Taubenstraße
05374000002002100;Uferstraße
05374000002002101;Ulmenweg
05374000002002102;Unterheiligenhoven
05374000002002103;Vorderrübach
05374000002002104;Voßbruch
05374000002002105;Waldbruch
05374000002002106;Waldweg
05374000002002107;Weissdornweg
05374000002002108;Weyerstraße
