05974000002804803;Am Kurpark
05974000002804804;Amselweg
05974000002804805;Beethovenstraße
05974000002804806;Birkenweg
05974000002804807;Grüner Weg
05974000002804808;Dahlienweg
05974000002804809;Drosselweg
05974000002804810;Eichenweg
05974000002804811;Starenweg
05974000002804812;Goldregenweg
05974000002804813;Füchtenweg
05974000002804814;Kurgartenweg
05974000002804815;Geranienweg
05974000002804816;Auf dem Veild
05974000002804817;Glennestraße
05974000002804818;Holzstraße
05974000002804819;Westfalenwinkel
05974000002804820;Rotbuschweg
05974000002804821;Hermann-Löns-Weg
05974000002804822;Romanusweg
05974000002804823;Kämpenweg
05974000002804824;Im Kreuzkamp
05974000002804825;Jagdweg
05974000002804826;Kilianstraße
05974000002804827;Holtkamp
05974000002804828;Klusestraße
05974000002804829;Kühligenweg
05974000002804830;Lambertring
05974000002804831;Lambertweg
05974000002804832;Goldammerweg
05974000002804833;Liesborner Straße
05974000002804834;Mozartstraße
05974000002804835;Nelkenweg
05974000002804836;Parkstraße
05974000002804837;Quellenstraße
05974000002804838;Lilienweg
05974000002804839;Scheidenstraße
05974000002804840;Schubertstraße
05974000002804841;Sommerweg
05974000002804842;Tulpenweg
05974000002804843;Walkenhausweg
05974000002804844;Seilerweg
05974000002804845;Zeppelinstraße
05974000002804846;Alter Römerweg
05974000002804847;Suderlager Weg
05974000002804848;Beermannweg
05974000002804849;Kneippweg
05974000002804850;Heckenweg
05974000002804851;Bornefeldstraße
05974000002804852;Alter Schulweg
05974000002804853;Ackerweg
05974000002804854;Im Eichholz
05974000002804855;Auf der Hebrake
05974000002804856;An der Rottwiese
05974000002804857;Vosskamp
05974000002804858;Im Lindenbrink
05974000002804859;Klinkhammerweg
05974000002804860;Braukstraße
05974000002804862;Am Alten Marmorwerk
05974000002804863;Tilsiter Straße
05974000002804864;Marienschulweg
05974000002804867;Albert-Schweitzer-Straße
05974000002804868;Martin-Hülsemann-Straße
05974000002804869;Zeisigweg
05974000002804870;Am Stadtgarten
05974000002804871;Auf der Lagerheide
05974000002804872;Am Pferdekamp
05974000002804873;Bismarckstraße
05974000002804874;Bruchstraße
05974000002804875;Dammweg
05974000002804876;Leipziger Ring
05974000002804877;Delbrücker Weg
05974000002804878;Detmolder Straße
05974000002804879;Einsteinstraße
05974000002804880;Droste-Hülshoff-Straße
05974000002804881;Dunkler Weg
05974000002804882;In den Amtswiesen
05974000002804883;Finkenweg
05974000002804884;Hohes Stück
05974000002804885;Graf-Bernhard-Straße
05974000002804886;Am Birkenbruch
05974000002804887;Heinrich-Drake-Straße
05974000002804888;Geibelstraße
05974000002804889;An der Bellevue
05974000002804890;Hindenburgstraße
05974000002804891;Pirschweg
05974000002804892;Im Neuen Felde
05974000002804894;Küsterspitze
05974000002804895;Landwehrstraße
05974000002804896;Nachtigallenstraße
05974000002804897;Lindenweg
05974000002804898;Lippestraße
05974000002804899;Zöllnerskamp
05974000002804900;Prof.-Sauerbruch-Straße
05974000002804901;Qualenbrink
05974000002804902;Moorkampstraße
05974000002804903;Reuterstraße
05974000002804904;Rüschenkamp
05974000002804905;Sandstraße
05974000002804906;Schützenstraße
05974000002804907;Schulstraße
05974000002804908;Tannenbergstraße
05974000002804909;Teichstraße
05974000002804910;Zum Hof
05974000002804911;Wilhelmstraße
05974000002804912;Wilhelm-Busch-Straße
05974000002804913;Zum Amt
05974000002804914;Margaretenweg
05974000002804915;Am Flußgraben
05974000002804916;Im Weidekamp
05974000002804917;Auf der Brede
05974000002804918;An der Ziegenheide
05974000002804919;Am Alten Kirchhof
05974000002804920;Allaniaweg
05974000002804921;Zillestraße
05974000002804922;Zur Alten Kirchstelle
05974000002804923;Viktoria-Luise-Weg
05974000002804924;An der Kühlige
05974000002804925;Elisabeth-Lenz-Weg
05974000002804926;Sträters' Kamp
05974000002804927;Am Eulenpark
05974000002804928;An der Heideblume
05974000002804929;An der Friedenskirche
05974000002804930;Soleweg
05974000002804933;Alter Mühlenweg
05974000002804934;Anrepper Weg
05974000002804936;Boker Straße
05974000002804937;Buschweg
05974000002804938;Delbrücker Weg
05974000002804939;Hegestraße
05974000002804940;Im Brand
05974000002804941;Im Buddenkamp
05974000002804942;Im Lohenkamp
05974000002804943;Im Nordfeld
05974000002804944;In den Bergen
05974000002804945;In den Röten
05974000002804946;Mettinghauser Straße
05974000002804947;Mybergstraße
05974000002804948;Niederdedinghauser Straße
05974000002804949;Osterfeldweg
05974000002804950;Rebbeker Straße
05974000002804951;Seeuferstraße
05974000002804952;Waldseestraße
05974000002804953;Westenholzer Straße
05974000002804954;Zur dicken Kiefer
05974000002804955;In den Pöhlen
05974000002804956;Wildweg
05974000002804957;Gehlenkampstraße
05974000002804970;Hesselbarthstraße
05974000002804971;Roscherstraße
05974000002804972;Seidenstückerstraße
05974000002804973;Nonnestraße
05974000002804974;Müllerstraße
05974000002804975;Denkerstraße
05974000002804976;Wittestraße
05974000002804977;Niemöllerallee
05974000002804978;Udener Straße
05974000002805001;Wachtelgarten
05974000002805002;Bulkeweg
05974000002805003;Burgstraße
05974000002805004;Nicolaiweg
05974000002805005;Hellinghäuser Weg
05974000002805006;Hospitalstraße
05974000002805007;Klosterstraße
05974000002805008;Kolpingstraße
05974000002805009;Lichtenbergstraße
05974000002805010;Lagerplatz
05974000002805011;Mühlenweg
05974000002805012;Ostendorfallee
05974000002805013;Soeststraße
05974000002805014;Soesttor
05974000002805015;Stiftstraße
05974000002805016;Stiftsfreiheit
05974000002805017;Stirper Straße
05974000002805018;Tonhüttenweg
05974000002805019;Weihenstraße
05974000002805020;In der Aue
05974000002805022;David-Gans-Straße
05974000002805023;Im Stift
05974000002805024;Ignaz-Knievel-Weg
05974000002805028;Am Speelbrink
05974000002805029;Bahnhofstraße
05974000002805030;Blumenstraße
05974000002805031;Cappelstraße
05974000002805032;Cappeltor
05974000002805034;Fleischhauerstraße
05974000002805035;Helle Halle
05974000002805036;Kahlenstraße
05974000002805037;Lange Straße
05974000002805038;Lippertor
05974000002805039;Marktstraße
05974000002805040;Mühlenpfad
05974000002805041;Mühlenstraße
05974000002805042;I. Pfad
05974000002805043;II. Pfad
05974000002805044;Poststraße
05974000002805045;Rathausstraße
05974000002805046;Spielplatzstraße
05974000002805048;Jakob-Koenen-Straße
05974000002805052;Am Bernhardbrunnen
05974000002805053;Johannes-Westermann-Platz
05974000002805054;Brüderstraße
05974000002805055;Ferdinandstraße
05974000002805056;Geiststraße
05974000002805058;Klusetor
05974000002805059;Königsau
05974000002805060;Luchtenstraße
05974000002805061;Luisenstraße
05974000002805062;Oststraße
05974000002805063;Ostwall
05974000002805064;Drost-Rose-Straße
05974000002805066;Woldemei
05974000002805067;Bahnhofsplatz
05974000002805068;Am Martinswall
05974000002805069;An der Alten Post
05974000002805070;Zu den Woldemei-Passagen
05974000002805079;Am Mondschein
05974000002805080;Am Scheinebach
05974000002805081;Dedinghauser Weg
05974000002805082;Esbecker Straße
05974000002805083;Lüningstraße
05974000002805084;Steinstraße
05974000002805085;Am Pulverhäuschen
05974000002805086;Ostenfeldmark
05974000002805087;Salzkottener Straße
05974000002805088;Am Siek
05974000002805089;Heinrich-Schütz-Straße
05974000002805100;Bastionstraße
05974000002805101;Beckumer Straße
05974000002805102;Bückeburger Straße
05974000002805104;Chalybäusstraße
05974000002805106;Herforder Straße
05974000002805107;Engelbertstraße
05974000002805108;Friedrichstraße
05974000002805109;Elisabethstraße
05974000002805111;Jahnweg
05974000002805112;Kestingstraße
05974000002805114;Möllerstraße
05974000002805115;Overmannstraße
05974000002805116;Paterskamp
05974000002805117;Preußenstraße
05974000002805118;Wittekindstraße
05974000002805119;Harkortweg
05974000002805120;Klockowstraße
05974000002805121;Von-Are-Straße
05974000002805122;Meyenbergstraße
05974000002805123;Kunigundenstraße
05974000002805124;Walburgastraße
05974000002805125;Timmermannstraße
05974000002805126;Venemastraße
05974000002805127;Selterstraße
05974000002805132;Bastertweg
05974000002805133;Bethelstraße
05974000002805134;Bruchbäumer Weg
05974000002805135;Gartenstraße
05974000002805136;Gellertstraße
05974000002805137;Goethestraße
05974000002805138;Gorch-Fock-Straße
05974000002805139;Heinrich-Heine-Straße
05974000002805140;Im Bruch
05974000002805141;Kastanienweg
05974000002805142;Am Nordbahnhof
05974000002805144;Marblicksweg
05974000002805145;Nordstraße
05974000002805146;Raabestraße
05974000002805147;Rüdenkuhle
05974000002805148;Rolevinckstraße
05974000002805149;Stormstraße
05974000002805150;Wagenfeldstraße
05974000002805151;Wibbeltstraße
05974000002805152;Ostheimerstraße
05974000002805153;An Kiskers Brennerei
05974000002805154;An der Redoute
05974000002805156;Friedrich-Brülle-Straße
05974000002805157;Justinus-Kerner-Straße
05974000002805158;Hölderlinstraße
05974000002805159;Eichendorffstraße
05974000002805160;Fontaneweg
05974000002805161;Freiligrathstraße
05974000002805162;Gerhart-Hauptmann-Straße
05974000002805163;Herderstraße
05974000002805164;Im grünen Winkel
05974000002805165;Juchaczstraße
05974000002805166;Kleiststraße
05974000002805167;Lessingstraße
05974000002805168;Mörikeweg
05974000002805169;Poetenweg
05974000002805170;Schillerstraße
05974000002805171;Schreibhüttenweg
05974000002805172;Schwemannskamp
05974000002805173;Sonnenau
05974000002805174;Uhlandstraße
05974000002805175;Wiedenbrücker Straße
05974000002805176;Büchnerstraße
05974000002805186;Gottfried-Kapp-Straße
05974000002805187;Georg-Weerth-Straße
05974000002805188;Am Friedhof
05974000002805189;Grabbestraße
05974000002805190;Im Buschkamp
05974000002805191;Im Heidekamp
05974000002805192;Im Hoppenkamp
05974000002805193;Lipperoder Straße
05974000002805195;Mastholter Straße
05974000002805196;Nüskenkamp
05974000002805197;Qualenbrink
05974000002805198;Schückingstraße
05974000002805199;Am Lempkenkamp
05974000002805200;Matthias-Claudius-Straße
05974000002805201;Hebbelstraße
05974000002805202;Grimmestraße
05974000002805203;Robert-Stolz-Straße
05974000002805204;Am Tannenbaum
05974000002805205;Kortumstraße
05974000002805206;Dr.-Zahn-Straße
05974000002805207;Gallenkampstraße
05974000002805208;Haumannstraße
05974000002805209;Schultzstraße
05974000002805210;Bleekstraße
05974000002805211;Nohlstraße
05974000002805213;Immermannstraße
05974000002805214;Luhmannstraße
05974000002805216;Im Hain
05974000002805219;Mentzelsfelde
05974000002805220;Robert-Koch-Straße
05974000002805221;Röntgenstraße
05974000002805222;Virchowstraße
05974000002805223;Helmholtzstraße
05974000002805224;Pirschweg
05974000002805225;Ostlandstraße
05974000002805226;Im Rosenthal
05974000002805227;Am Landhaus
05974000002805228;An der Gärtnerei
05974000002805229;Am Kranenkasper
05974000002805230;Lippischer Bruch
05974000002805231;Am Lindenbruch
05974000002805232;Im Weidenbruch
05974000002805233;Rosenaue
05974000002805234;Margaretenweg
05974000002805235;Allensteiner Weg
05974000002805236;Lindberghstraße
05974000002805237;Braunsberger Straße
05974000002805238;Königsberger Straße
05974000002805239;Bromberger Straße
