strassenschluessel;bezeichnung
05566000004800601;Milanweg
05566000004800602;Schafwinkel
05566000004800603;Im Winkel
05566000004800604;Kurzer Weg
05566000004800606;Hofbreede
05566000004800607;Stiegelbreede
05566000004800608;Feldblumenweg
05566000004800609;Mohnblumenweg
05566000004800610;Friedhofsweg
05566000004800611;Am Alten Sportplatz
05566000004800612;Langer Weg
05566000004800613;Auf dem Esch
05566000004800614;Mähbinderweg
05566000004800615;Mahlsteinweg
05566000004800616;Sichterweg
05566000004800617;Würthbrücke
05566000004800618;Pätzkamp
05566000004800619;Narzissenweg
05566000004800620;Anemonenweg
05566000004800621;Alte Schmiede
05566000004800622;Im Buschhaus
05566000004800623;Elisabeth-Schwarzhaupt-Str.
05566000004800624;Käthe-Strobel-Str.
05566000004802601;Am Botterbusch
05566000004802602;Am Braumkamp
05566000004802603;Am Goldberg
05566000004802604;Am Hagenberg
05566000004802605;Am Kronenpohl
05566000004802606;Am Nordberg
05566000004802607;Asternstr.
05566000004802608;Bachstr.
05566000004802609;Bahnhofstr.
05566000004802611;Birkenweg
05566000004802612;Boyersweg
05566000004802614;Cappelner Str.
05566000004802615;Daimlerstr.
05566000004802616;Dehrenkamp
05566000004802617;Düter Str.
05566000004802618;Eichenweg
05566000004802619;Erlenweg
05566000004802620;Fasanenweg
05566000004802621;Feldmark
05566000004802622;Fichtenweg
05566000004802623;Friesenring
05566000004802624;Gaster Landweg
05566000004802625;Gaster Str.
05566000004802626;Ginsterweg
05566000004802627;Glinsforter Weg
05566000004802628;Goethestr.
05566000004802629;Gohfelder Weg
05566000004802630;Goldbachweg
05566000004802631;Großer Esch
05566000004802632;Grüner Brink
05566000004802633;Händelstr.
05566000004802634;Hainweg
05566000004802635;Hagelstr.
05566000004802636;Hagenbergstr.
05566000004802637;Halauweg
05566000004802638;Hambrink
05566000004802639;Hansaring
05566000004802640;Hasberger Str.
05566000004802641;Hellweg
05566000004802642;Höhenweg
05566000004802643;Hoher Hügel
05566000004802644;Hohler Weg
05566000004802645;Honeburger Weg
05566000004802646;Ibbenbürener Str.
05566000004802647;Im Bollering
05566000004802648;Im Kamp
05566000004802649;Im Kloster
05566000004802650;Im Osterfeld
05566000004802651;Im Westerfeld
05566000004802652;Iserothweg
05566000004802653;Jahnstr.
05566000004802654;Kantstr.
05566000004802655;Kapellenweg
05566000004802656;Kastanienweg
05566000004802657;Im Wiesengrund
05566000004802658;Kirchplatz
05566000004802659;Klausberg
05566000004802660;Knüllweg
05566000004802661;Kornkamp
05566000004802662;Kornweg
05566000004802663;Krümpelstr.
05566000004802664;Ledder Mühlenweg
05566000004802665;Leedener Str.
05566000004802666;Lengericher Str.
05566000004802667;Lindenweg
05566000004802668;Lönsweg
05566000004802669;Looser Bergweg
05566000004802670;Lortzingstr.
05566000004802671;Marktstr.
05566000004802672;Merschweg
05566000004802673;Mozartstr.
05566000004802674;Mühlenweg
05566000004802675;Münsterstr.
05566000004802676;Niedersachsenweg
05566000004802677;Osnabrücker Str.
05566000004802678;Osterberger Str.
05566000004802679;Ostpreußenweg
05566000004802680;Pappelweg
05566000004802681;Pommernweg
05566000004802682;Rheinländer Weg
