057620000024M0010;Am Anger
057620000024M0020;Birkenkamp
057620000024M0030;Drosteweg
057620000024M0040;Hinterm Turm
057620000024M0050;Im Grund
057620000024M0055;Im Steinbruch
057620000024M0060;Lange Straße
057620000024M0071;Martinsweg
057620000024M0080;Natinger Weg
057620000024M0090;Unterm Berg
057620000024M0100;Schützenstraße
057620000024M0110;Sternenweg
057620000024M0200;Born
057620000024M0300;Bornfeldweg
057620000024M0310;Bornholz
057620000024M0320;Burgstraße
057620000024M0331;Dahlweg
057620000024M0335;Eggering
057620000024M0340;Grünetal
057620000024M0350;Gartenstraße
057620000024M0360;Heideweg
057620000024M0370;Höxterstraße
057620000024M0380;Im Weißen Loch
057620000024M0390;Im Ort
057620000024M0395;Kirchweg
057620000024M0400;Josefstraße
057620000024M0410;Klingelbach
057620000024M0415;Kohlhof
057620000024M0420;Kolpingstraße
057620000024M0430;Liboristraße
057620000024M0440;Königstraße
057620000024M0450;Marienstraße
057620000024M0460;Nieheimer Straße
057620000024M0470;Pascheburg
057620000024M0480;Sommerseller Straße
057620000024M0485;Steffenskamp
057620000024M0491;Steinbreite
057620000024M0500;Sundern
057620000024M0510;Südring
057620000024M0515;Vördener Weg
057620000024M0517;Zum Bollkasten
057620000024M0520;Zum Fahrenberg
057620000024M0600;Bremerberg
057620000024M0700;Eilversen
057620000024M0801;Großenbreden
057620000024M0900;Hohehaus
057620000024M1000;Kleinenbreden
057620000024M1100;Am Brink
057620000024M1105;Am Hellberg
057620000024M1108;Am Westerberg
057620000024M1110;Brinkstraße
057620000024M1120;Düsternsiek
057620000024M1130;Hauptstraße
057620000024M1141;Im Felde
057620000024M1150;Im Kuhkamp
057620000024M1160;Langenkamp
057620000024M1170;Mühlenweg
057620000024M1180;Neue Straße
057620000024M1190;Nieseweg
057620000024M1200;Oldenburger Straße
057620000024M1205;Pater-Theo-Neumann-Straße
057620000024M1210;Pyrmonter Straße
057620000024M1220;Schweizerburg Weg
057620000024M1230;Über den Höfen
057620000024M1240;Vor dem Riepenberg
057620000024M1250;Zur Friedenseiche
057620000024M1300;Löwendorf
057620000024M1351;Saumer
057620000024M1401;Münsterbrock
057620000024M1440;Abtei
057620000024M1460;Oldenburg
057620000024M1510;Am Oldenburger Weg
057620000024M1520;Antoniusstraße
057620000024M1550;Bönekenberg
057620000024M1560;Hellbergweg
057620000024M1570;Kapellenweg
057620000024M1580;Kleine Trift
057620000024M1590;Lindenweg
057620000024M1600;Am Friedhof
057620000024M1605;Am Hungerberg
057620000024M1611;Amtsstraße
057620000024M1620;Am Wiehenbrink
057620000024M1630;Angerberg
057620000024M1640;Annetteweg
057620000024M1650;Auf der Trift
057620000024M1660;Bergstraße
057620000024M1670;Berliner Straße
057620000024M1680;Bredenborner Weg
057620000024M1690;Breiter Anger
057620000024M1695;Brüder-Grimm-Straße
057620000024M1700;Christoph-Völker-Straße
057620000024M1705;Eichhagen
057620000024M1710;Friedrich-Wilhelm-Weber-Straße
057620000024M1720;Dunkler Ort
057620000024M1725;Gewerbegebiet
057620000024M1726;Hohehäuser Feld
057620000024M1730;Im Birkenfeld
057620000024M1740;Im Hogge
057620000024M1750;Jahnstraße
057620000024M1760;Kiliansweg
057620000024M1771;Marktstraße
057620000024M1780;Niedernstraße
057620000024M1790;Pohlstraße
057620000024M1800;Schulenburg
057620000024M1810;Schulstraße
057620000024M1821;Talstraße
057620000024M1830;Umspannwerk
057620000024M1832;Unterm Steinbrink
057620000024M1835;Waldesser Weg
057620000024M1840;Wenderweg
057620000024M1850;Windmühlenweg
057620000024M1870;Zum See
057620000024U9240;Am Bredenborner Wege
057620000024U9248;Birkenfeld
057620000024U9257;Eichhagen
057620000024U9261;Heide
057620000024U9265;Hogge
057620000024U9267;Hungerberg
057620000024U9270;Kälberkamp
057620000024U9272;Kleiner Hungerberg
057620000024U9276;Möncheteich
057620000024U9278;Mühlbreite
057620000024U9280;Niedere Feld
057620000024U9286;Rote Berg
057620000024U9290;Schnatfeld
057620000024U9293;Schulenburg
057620000024U9296;Stoppelkamp
057620000024U9297;Unter dem Hungerberge
057620000024U9299;Wiggenbrink
057620000024U9344;Am Mittelwege
057620000024U9349;Auf der unteren Trift
057620000024U9357;Der Rehberg
057620000024U9361;Engelkenkamp
057620000024U9376;Lange Wiese
057620000024U9394;Über dem Kuhkampe
057620000024U9430;Am Dahlwege
057620000024U9433;Am Nieheimer Wege
057620000024U9434;Am schiefen Wege
057620000024U9437;An der Heide
057620000024U9440;Auf der Steinkuhle
057620000024U9441;Bangern
057620000024U9446;Bei der Liborikapelle
057620000024U9451;Bornfeld
057620000024U9452;Bornholz
057620000024U9457;Bünnigsholz
057620000024U9464;Die Hopperpöhle
057620000024U9466;Die Steinbreite
057620000024U9467;Fahrenberg
057620000024U9472;Hinter den Fahren
057620000024U9474;Hobrechtsen
057620000024U9476;Im Buchen Busch
057620000024U9484;Lüttke Täschen
057620000024U9485;Masterholz
057620000024U9495;Sundern
057620000024U9497;Unterm Brosterberge
057620000024U9500;Zum Hellersen
057620000024U9502;Sundernkamp
057620000024U9538;Am Voßberg
057620000024U9542;Auf dem Larkesborn
057620000024U9544;Auf der Natinge
057620000024U9547;Bessings Feld
057620000024U9548;Birkenkamp
057620000024U9554;Hinter Henken Kamp
057620000024U9556;Im Besseborn
057620000024U9557;Im düstern Sieke
057620000024U9558;Im heiligen Grund
057620000024U9564;Kohlgarten
057620000024U9565;Kohlstelle
057620000024U9572;Unterm Berg
057620000024U9574;Vor dem Bollkasten
057620000024U9601;Am Kirchweg
057620000024U9606;Auf dem Fessenfelde
057620000024U9610;Auf der Buchhorst
057620000024U9611;Behrens Berg
057620000024U9615;Große Trift
057620000024U9652;Bei der Mühle
057620000024U9658;Dicker Berg
057620000024U9667;Howe Kapelle
057620000024U9669;Im Abtswinkel
057620000024U9688;Rote Berg
057620000024U9689;Schafstallsberg
057620000024U9729;Auf Brands Felde
057620000024U9730;Auf der Trift
057620000024U9731;Auf dem Wittel
057620000024U9735;Drosselbruch
057620000024U9736;Eller Wiese
057620000024U9737;Groß Steffels Feld
057620000024U9739;Hinterm Hause
057620000024U9745;Mühlenfeld
057620000024U9748;Saumer Feld
057620000024U9750;Tunneborn
057620000024U9770;Im Himmelreich
057620000024U9774;Schmalhas Berg
057620000024U9786;Auf dem Hofe
057620000024U9788;Buschkamp
057620000024U9789;Das Feld
057620000024U9792;Im Holze
057620000024U9795;Kuksberg
057620000024U9810;An den Kämpen
057620000024U9817;Im alten Teiche
057620000024U9820;In den Wiesen
057620000024U9865;Im Schlage
057620000024U9872;Schlagfeld
057620000024U9905;Am Wellensiek
057620000024U9906;An der Düsteren Trift
057620000024U9907;Auf dem Busch
057620000024U9908;Auf dem Felde
057620000024U9911;Eichholzberg
057620000024U9915;Hainholz
057620000024U9916;Hinterm Berge
057620000024U9918;Im Heff
057620000024U9925;Konductorkamp
057620000024U9927;Niedere Feld
057620000024U9929;Tubbeken
057620000024U9930;Wester Berg
057620000024U9931;Unterm Berge
057620000024U9970;An der Niese
057620000024U9973;Bergkamp
