05962000003608901;Bodelschwinghstraße
05962000003608902;Hauptstraße
05962000003608903;Im Hasenkamp
05962000003608904;Lindenstraße
05962000003608906;Mühlenbergstraße
05962000003608907;Prumbomweg
05962000003608908;Schulplatz
05962000003608909;Teichstraße
05962000003608910;Zur Alten Post
05962000003608912;Am Bücking
05962000003608913;An der Woeste
05962000003608914;Auf dem Bamberg
05962000003608915;Bahnhofstraße
05962000003608916;Chr.-Friedr.-Baehrens-Str
05962000003608917;Eduard-Fittig-Straße
05962000003608918;Ginsterweg
05962000003608919;Hahnenbecke
05962000003608920;Im Kötgen
05962000003608921;Im Tempel
05962000003608923;Unterm Bamberg
05962000003608924;Volmestraße
05962000003608925;Weststraße
05962000003608926;Zum Leier Hölzchen
05962000003608927;Schnörrenbach
05962000003608937;Am Heerhof
05962000003608938;Auf der Freiheit
05962000003608939;Eichholz
05962000003608940;Eichholzstraße
05962000003608941;Grünenbecke
05962000003608942;Grünenbecker Weg
05962000003608943;Hangweg
05962000003608944;Hegelweg
05962000003608945;Inselweg
05962000003608946;Jägerstraße
05962000003608947;Lessingstraße
05962000003608948;Nietzscheweg
05962000003608949;Philosophenweg
05962000003608950;Talstraße
05962000003608951;Tannenburgstraße
05962000003608952;Weißenpferd
05962000003608953;Ijsselmuidener Straße
05962000003608954;St.-Cyr-Allee
05962000003608955;Überm Hofe
05962000003608963;Amselweg
05962000003608964;Birkeshöhstraße
05962000003608965;Drosselweg
05962000003608966;Finkenweg
05962000003608967;Im Kumpenhahn
05962000003608969;Meisenweg
05962000003608970;Schwalbenweg
05962000003608971;Starenweg
05962000003608972;Taubenweg
05962000003608973;Zeisigweg
05962000003608975;Auf der Leye
05962000003608976;Elberscheidtstraße
05962000003608977;Haarbrinkstraße
05962000003608979;Dränkerkampstraße
05962000003608980;Fröbelstraße
05962000003608981;Korbecke
05962000003608982;Korbecker Weg
05962000003608983;Mühlenweg
05962000003608984;Oberkorbecke
05962000003608985;Siepener Weg
05962000003608986;Werlsiepen
05962000003608987;Goethestraße
05962000003608988;Heinestraße
05962000003608989;Kleiststraße
05962000003608990;Mörikeweg
05962000003608991;Schillerstraße
05962000003608992;Uhlandweg
05962000003608993;Schulzentrum Rothenstein
05962000003608994;Droste-Hülshoff-Weg
05962000003608995;Jomendorfer Weg
05962000003608996;Karlsbader Weg
05962000003608997;Reichenberger Weg
05962000003609002;Am Rottland
05962000003609003;Am Tarrenbrink
05962000003609004;An der Schwenke
05962000003609005;Auf der Koppel
05962000003609006;Beethovenstraße
05962000003609007;Beurhausstraße
05962000003609008;Brahmsstraße
05962000003609009;Eisenweg
05962000003609010;Fritz-Paulmann-Weg
05962000003609011;Haydnstraße
05962000003609012;Heerstraße
05962000003609013;Kohlbergstraße
05962000003609014;Mozartstraße
05962000003609015;Pestalozzistraße
05962000003609016;Scherl
05962000003609017;Scherlerwieden
05962000003609018;Schubertstraße
05962000003609019;Unterm Hestenberg
05962000003609020;Volmehof
05962000003609021;Zum Eickenhahn
05962000003609022;Zum Immecker Grund
05962000003609023;Zum Rothenstein
05962000003609024;Adolf-Diesterweg-Straße
05962000003609025;Lortzingstraße
05962000003609026;Willertshagener Straße
05962000003609027;Zum Schnüffel
05962000003609030;Otto-Fuchs-Platz
05962000003609039;Höltchen
05962000003609040;Holunderweg
05962000003609041;Immecker Straße
05962000003609042;Krim
05962000003609043;Löher Weg
05962000003609044;Oststraße
05962000003609045;Weidenstraße
05962000003609046;Wiesenstraße
05962000003609049;Am Stadion
05962000003609050;Bergstraße
05962000003609051;Dianaweg
05962000003609052;Gartenstraße
05962000003609053;Gerichtstraße
05962000003609054;Giedeweg
05962000003609055;Himbergstraße
05962000003609056;Hohschlader Weg
05962000003609057;Hubertusweg
05962000003609060;An der Wahr
05962000003609061;Derschlager Straße
05962000003609062;Florianweg
05962000003609063;Himecker Weg
05962000003609064;Hochstraße
05962000003609065;Kampstraße
05962000003609066;Kirchplatz
05962000003609067;Kirchstraße
05962000003609068;Krummicker Weg
05962000003609069;Wahrweg
05962000003609070;Zum Alten Teich
05962000003609071;Rügener Weg
05962000003609072;Am Schützenplatz
05962000003609076;Breslauer Straße
05962000003609077;Danziger Straße
05962000003609078;Feldstraße
05962000003609079;Fumberg
05962000003609080;Königsberger Straße
05962000003609081;Melmcheweg
05962000003609082;Schlenke
05962000003609083;Schlenker Straße
05962000003609084;Stettiner Straße
05962000003609085;Südstraße
05962000003609086;Trotzenburg
05962000003609087;Waldstraße
05962000003609088;Bussardweg
05962000003609089;Falkenweg
05962000003609090;Habichtweg
05962000003609091;Milanweg
05962000003609092;Sperberweg
05962000003609100;Ahornstraße
05962000003609101;Akazienweg
05962000003609102;An der Linde
05962000003609103;Birkenweg
05962000003609104;Buchenweg
05962000003609105;Eichenweg
05962000003609106;Erlenweg
05962000003609107;Genkeler Straße
05962000003609108;Grotmicke
05962000003609109;Hohbüschen
05962000003609110;Hohbüschener Weg
05962000003609111;Kastanienweg
05962000003609112;Nußbaumweg
05962000003609113;Ulmenweg
05962000003609114;Winzenberg
05962000003609121;Höhenstraße
05962000003609122;Kapellenweg
05962000003609123;Marienheider Straße
05962000003609124;Otto-Fuchs-Straße
05962000003609125;Schöppenkampstraße
05962000003609126;Schwarzenberg
05962000003609127;Spitzenbergstraße
05962000003609128;Tunnelstraße
05962000003609134;Am Lingelchen
05962000003609135;Badinghagen
05962000003609136;Beutringhausen
05962000003609137;Butmicke
05962000003609138;Denndorf
05962000003609139;Dürhölten
05962000003609140;Eick
05962000003609141;Genkel
05962000003609142;Gräfingsholz
05962000003609143;Güntenbecke
05962000003609144;Heed
05962000003609145;Hellsiepen
05962000003609146;Herweg
05962000003609147;Im Brannten
05962000003609148;Kotten
05962000003609149;Kropplenberg
05962000003609150;Lesmicke
05962000003609151;Listringhausen
05962000003609152;Niederbadinghagen
05962000003609153;Redlendorf
05962000003609154;Sundhellen
05962000003609155;Steinsgüntenbecke
05962000003609156;Steinsmark
05962000003609157;Wehe
05962000003609158;Wieden
05962000003609169;Baberg
05962000003609170;Beckerhof
05962000003609171;Bomme
05962000003609173;Buschhausen
05962000003609174;Buschhöh
05962000003609175;Drögenpütt
05962000003609176;Fürwigge
05962000003609177;Hasendenn
05962000003609178;Hinter der Höh
05962000003609179;Hohlinden
05962000003609180;Hülseberg
05962000003609181;Langenberg
05962000003609182;Lengelscheid
05962000003609183;Mettgenberg
05962000003609184;Neuebrücke
05962000003609185;Neuemühle
05962000003609186;Neugrünental
05962000003609187;Neuhohlinden
05962000003609188;Nocken
05962000003609189;Ohl
05962000003609190;Rollsiepen
05962000003609191;Schlund
05962000003609192;Schürfelde
05962000003609193;Singerbrink
05962000003609194;Sulenbecke
05962000003609195;Sulenbecker Weg
05962000003609196;Werkshagen
05962000003609197;Wiebelsaat
05962000003609198;Rosenburg
05962000003609203;Auf der Heide
05962000003609204;Darmche
05962000003609205;Grünenthal
05962000003609206;Hesselbecke
05962000003609207;Hohenhengstenberg
05962000003609208;Kittmicke
05962000003609209;Listerhammer
05962000003609210;Listermühle
05962000003609211;Listertal
05962000003609212;Niederhengstenberg
05962000003609213;Nordhellen
05962000003609214;Sebastopol
05962000003609215;Sinderhof
05962000003609216;Stoltenberg
05962000003609217;Untermberge
05962000003609218;Willertshagen
05962000003609223;Darmcher Grund
05962000003609224;Darmcher Weg
05962000003609225;Werner-Battenfeld-Straße
05962000003609234;Alter Weg
05962000003609235;Am Fliederbusch
05962000003609236;Am Piwitt
05962000003609237;Am Sonnenhang
05962000003609238;An den Kämpen
05962000003609239;An der Kirche
05962000003609240;Auf den Breien
05962000003609241;Auf der Hardt
05962000003609242;Denkmalsplatz
05962000003609243;Ebbestraße
05962000003609245;Haaner Straße
05962000003609246;Hardtweg
05962000003609247;Heidehang
05962000003609248;Heidewinkel
05962000003609249;Ihnestraße
05962000003609250;Im Alten Dorf
05962000003609251;Im Wiesengrund
05962000003609252;In den Bäumen
05962000003609253;Krabben
05962000003609254;Piepenströtken
05962000003609255;Robchestraße
05962000003609256;Rosenweg
05962000003609257;Schlehdornweg
05962000003609258;Schützenstraße
05962000003609259;Schulstraße
05962000003609260;Stürkergasse
05962000003609261;Unterm Busche
05962000003609262;Vor der Gathe
05962000003609263;Wiedenhoff
05962000003609264;Zum Koppenkopf
05962000003609265;Auf dem Felde
05962000003609266;Nelkenweg
05962000003609267;Tulpenweg
05962000003609269;Dürrenkamp
05962000003609280;An der Hardt
05962000003609281;Blomberg
05962000003609282;Breddershaus
05962000003609283;Elminghausen
05962000003609285;Häusgermühle
05962000003609286;Höh
05962000003609287;Hösinghausen
05962000003609288;Ingemerterhammer
05962000003609289;Österfeld
05962000003609290;Vestenberg
05962000003609291;Westebbe
05962000003609292;Rehberg
05962000003609299;Ebberg
05962000003609300;Echternhagen
05962000003609301;Eckertsmühle
05962000003609302;Freisemicke
05962000003609303;Gerringhausen
05962000003609304;Grotewiese
05962000003609305;Haumche
05962000003609306;Haumchermühle
05962000003609307;Mittelhagen
05962000003609308;Mühlhofe
05962000003609309;Rinkscheid
05962000003609310;Schaffeld
05962000003609311;Schleifkotten
05962000003609312;Schmittepaul
05962000003609313;Sellenrade
05962000003609314;Sinderhauf
05962000003609315;Spädinghausen
05962000003609316;Sundfeld
05962000003609317;Vorderhagen
05962000003609318;Voßsiepen
05962000003609319;Karl-Heinrich-Wülfrath-Straße
05962000003609329;Ihne
05962000003609330;Mittelworbscheid
05962000003609331;Oberworbscheid
05962000003609332;Siepen
05962000003609333;Unterworbscheid
05962000003609334;Wickeschliede
05962000003609335;Wilkenberg
05962000003609336;Wormgermühle
05962000003609337;Gewerbegebiet Ihne
05962000003609338;Gewerbepark Grünewald
05962000003609347;Berg
05962000003609348;Berlinghausen
05962000003609349;Borneck
05962000003609350;Börlinghausen
05962000003609351;Eseloh
05962000003609352;Haustadt
05962000003609353;Herringhausen
05962000003609354;Listerstraße
05962000003609355;Krummenerl
05962000003609356;Listerhof
05962000003609357;Pütthof
05962000003609358;Wiebche
05962000003609359;Windebrucher Straße
05962000003609360;Eseloher Weg
05962000003609361;Lohhagen
05962000003609362;Mittellandstraße
05962000003609363;Rengerfohr
05962000003609365;Überm See
05962000003609366;Seeuferstraße
05962000003609367;Unterm Weinbusch
05962000003609368;Zur Bunne
05962000003609369;Heiligenberg
05962000003609378;In der Bunne
05962000003609381;Buntelichte
05962000003609382;Grünewald
05962000003609383;Hardenberg
05962000003609384;Herberg
05962000003609385;Holbecke
05962000003609386;Imhausen
05962000003609387;Ingemert
05962000003609388;Ingemertermühle
05962000003609389;Ingemerterstraße
05962000003609390;Langenohl
05962000003609391;Möllsiepen
05962000003609392;Oberingemert
05962000003609393;Reuen
05962000003609394;Schoppen
05962000003609395;Valbert-Bahnhof
05962000003609397;Feldlage Meinerzhagen
