strassenschluessel;bezeichnung
05962000004006901;An der Schleifmühle
05962000004006902;Zur Arche
05962000004006903;Am Puddelhammer
05962000004006904;Nadlerweg
05962000004006905;Joseph-Görres-Straße
05962000004006906;Am Limberg
05962000004006907;Damaschkestraße
05962000004006908;Rauherfeld
05962000004006909;Reidemeisterstraße
05962000004006910;Friesenstraße
05962000004006911;Jahnstraße
05962000004006912;Münkerstraße
05962000004006913;Richard-Schirrmann-Straße
05962000004006914;Auf der Kluse
05962000004006915;Oesberner Weg
05962000004006916;Feldlage Menden
05962000004006917;Balver Straße
05962000004006918;Carl-Eichelberg-Straße
05962000004006919;Am Alten Schornstein
05962000004006920;Am Törnigskamp
05962000004006921;An der Hl.-Kreuz-Kirche
05962000004006922;Siemensstraße
05962000004006923;Horlecke
05962000004006924;Keplerstraße
05962000004006925;Dieselweg
05962000004006926;Bessemerweg
05962000004006927;Intzestraße
05962000004006928;Leibnizstraße
05962000004006929;Gutenbergstraße
05962000004006930;Eupener Straße
05962000004006931;Friedrich-Glunz-Straße
05962000004006932;Wilhelm-Dortmann-Straße
05962000004006933;Am Haunsberg
05962000004006934;Oeseufer
05962000004006935;Am Vogelsang
05962000004006936;Kösterskämpchen
05962000004006937;An der Walkenmühle
05962000004006938;An der Fingerhutsmühle
05962000004006939;Wünnefeld
05962000004006940;Trift
05962000004006942;Iserlohner Landstraße
05962000004006943;Apricker Weg
05962000004006944;Wilhelmine-Trurnit-Straße
05962000004006945;Reifenbergring
05962000004006946;Samuel-Rothschild-Straße
05962000004006951;Biggelebenstraße
05962000004006952;Hassenbruch
05962000004006953;Wulffstraße
05962000004006954;Overhuesstraße
05962000004006955;Von-Ketteler-Straße
05962000004006956;Waldemei
05962000004006957;Am Obsthof
05962000004006958;Theodor-Hürth-Straße
05962000004006959;Vikar-Dissen-Weg
05962000004006960;Rohnheide
05962000004006961;Siebergskamp
05962000004006962;Franz-Schweitzer-Straße
05962000004006963;Kaplan-Wiesemann-Straße
05962000004006964;Westerburgstraße
05962000004006965;Joseph-Beierle-Straße
05962000004006966;Pater-Alker-Weg
05962000004006967;Alte Gärtnerei
05962000004006970;Renneweg
05962000004006971;Am Felsenkeller
05962000004006972;Schattweg
05962000004006973;Humboldtweg
05962000004006974;Klosterstraße
05962000004006975;Vinckeweg
05962000004006976;Röntgenstraße
05962000004006977;Windthorststraße
05962000004006978;Am Ziegelbrand
05962000004006979;Gisbert-Kranz-Straße
05962000004006981;Bürgermeister-Rau-Straße
05962000004006982;Leitmecke
05962000004006983;Heimkerweg
05962000004006984;Bischof-Drobe-Straße
05962000004006985;Nibelungenstraße
05962000004006986;Sugambernweg
05962000004006987;Hombergskamp
05962000004006988;Bischof-Henninghaus-Straße
05962000004006989;Am Hahnenbusch
05962000004006990;Radestaken
05962000004006991;Pastor-Funke-Straße
05962000004007001;Am Hünenköpfchen
05962000004007002;Schützenstraße
05962000004007003;Wennem.-Schmittmann-Straße
05962000004007004;Twiete
05962000004007005;Rodenbergstraße
05962000004007006;Wilhelmstraße
05962000004007007;Kolpingstraße
05962000004007008;Brückstraße
05962000004007009;Baustraße
05962000004007010;Kapellengasse
05962000004007011;Kapellenstraße
05962000004007012;Lohmühle
05962000004007013;Walramstraße
05962000004007016;Obere Promenade
05962000004007021;Apothekergasse
05962000004007022;Bahnhofstraße
05962000004007023;An der Stadtmauer
05962000004007024;Brandstraße
05962000004007025;Färbergasse
05962000004007026;Gerberstraße
05962000004007027;Hauptstraße
05962000004007028;Hochstraße
05962000004007029;Kirchplatz
05962000004007030;Kirchstraße
05962000004007031;Marktplatz
05962000004007032;Marktstraße
05962000004007033;Neumarkt
05962000004007034;Ostwall
05962000004007035;Pastoratstraße
05962000004007036;Querstraße
05962000004007037;Sackgasse
05962000004007038;Südwall
05962000004007039;Synagogengasse
05962000004007040;Turmstraße
05962000004007041;Vinzenzstraße
05962000004007042;Wasserstraße
05962000004007043;Nordwall
05962000004007044;Westwall
05962000004007046;Bromberken
05962000004007047;Zeppelinstraße
05962000004007048;Gartenstraße
05962000004007049;Am alten Amt
05962000004007050;Unnaer Straße
05962000004007051;Poststraße
05962000004007052;Kaiserstraße
05962000004007053;Papenhausenstraße
05962000004007054;Hördinger Kamp
05962000004007055;Pastor-Quade-Straße
05962000004007056;Bodelschwinghstraße
05962000004007057;Daimlerstraße
05962000004007058;Untere Promenade
05962000004007060;Märkische Straße
05962000004007061;Am Hönneufer
05962000004007062;Am Wasserrad
05962000004007063;An der Gracht
05962000004007065;Krankenhausweg
05962000004007066;Am Stein
05962000004007067;Bittfahrt
05962000004007068;Antoniusweg
05962000004007069;Am Kapellenberg
05962000004007071;Am Goldacker
05962000004007072;An den Posten
05962000004007073;Fuchshöhlenweg
05962000004007074;Hahnenwall
05962000004007075;Ob dem Glockenteich
05962000004007076;An der Gollackswiese
05962000004007077;Gollacksplatz
05962000004007078;Werringser Straße
05962000004007079;Im Tiefen Winkel
05962000004007080;Marderweg
05962000004007090;Höhenweg
05962000004007091;Kalverschnack
05962000004007092;Am Lahrkreuz
05962000004007093;Auf dem Schießstand
05962000004007094;Augustin-Wibbelt-Straße
05962000004007095;Wilhelm-Busch-Straße
05962000004007096;Fritz-Reuter-Straße
05962000004007097;Joachim-Ringelnatz-Straße
05962000004007098;Albrecht-Dürer-Straße
05962000004007099;Karl-Spitzweg-Straße
05962000004007100;Ludwig-Richter-Straße
05962000004007101;Lortzingstraße
05962000004007102;Ob dem Lahrtal
05962000004007103;Kreutzerstraße
05962000004007104;Richard-Wagner-Straße
05962000004007105;Richard-Strauß-Straße
05962000004007106;Im Lahrfeld
05962000004007107;Schubertstraße
05962000004007108;Schumannstraße
05962000004007109;Lisztstraße
05962000004007110;Beethovenstraße
05962000004007111;Emil-Nolde-Straße
05962000004007112;August-Macke-Straße
05962000004007113;Von-Lilien-Straße
05962000004007114;Hans-Holbein-Straße
