05566000005201121;Am Bahnhof
05566000005201122;Am Friedhof
05566000005201123;Am Stadion
05566000005201124;Am Stadtbad
05566000005201125;Alter Postweg
05566000005201126;An der Kalter
05566000005201127;An der Walkenmühle
05566000005201128;Annette-v.-Dr.-Hüls.-Str.
05566000005201129;Augustin-Wibbelt-Str.
05566000005201130;Baaken-Esch
05566000005201131;Bagnostr.
05566000005201132;Beekkamp
05566000005201133;Breslauer Str.
05566000005201134;Corneliusstr.
05566000005201135;Cyprianusstr.
05566000005201136;Dahlienweg
05566000005201137;Danziger Str.
05566000005201138;Diekland
05566000005201139;Drosselweg
05566000005201140;Düwelshook
05566000005201141;Eper Str.
05566000005201142;Friduwistr.
05566000005201143;Glatzer Str.
05566000005201144;Goldhook
05566000005201145;Gronauer Str.
05566000005201146;Heeker Str.
05566000005201147;Herderings-Esch
05566000005201148;Heuershof
05566000005201149;Hilbuskolk
05566000005201150;Industriestr.
05566000005201151;Johannesstr.
05566000005201152;Kattenkolk
05566000005201153;Kardinal-von-Galen-Str.
05566000005201155;Ketteler Str.
05566000005201156;Kirchstr.
05566000005201157;Kniepenkamp
05566000005201158;Kolklandstr.
05566000005201159;Kolpingstr.
05566000005201160;Königsberger Str.
05566000005201161;Klüppelkamp
05566000005201162;Klütters-Stiege
05566000005201163;Kreienberg
05566000005201164;Langenkamp
05566000005201165;Leerer Str.
05566000005201166;Lohoffs-Esch
05566000005201167;Marienweg
05566000005201168;Mersch
05566000005201169;Mühlentor
05566000005201170;Neustr.
05566000005201171;Neutor
05566000005201172;Nieporter-Esch
05566000005201173;Ochtruper Damm
05566000005201174;Ochtruper Str.
05566000005201175;Oskamp
05566000005201176;Pastorat
05566000005201177;Rosenweg
05566000005201178;Schilden
05566000005201179;Schlesierstr.
05566000005201180;Schöppingener Str.
05566000005201181;Schreiber-Esch
05566000005201182;Schulstr.
05566000005201183;Sendplatz
05566000005201184;Spakenbaum
05566000005201185;Stauffenbergstr.
05566000005201186;Stiftstr.
05566000005201187;Stüvvenweg
05566000005201188;Sunnenbrink
05566000005201189;Sunnenkamp
05566000005201190;Up de Wenge
05566000005201191;Vechtestr.
05566000005201192;Viehtor
05566000005201193;Vitustor
05566000005201194;Vitskirchhof
05566000005201195;Welbergener Damm
05566000005201196;Welpestr.
05566000005201197;Wersche
05566000005201199;Zum Freistein
05566000005201200;Naendorf
05566000005201201;Samberg
05566000005201202;Vorm Vitstor
05566000005201203;Grüner Weg
05566000005201204;Geschwister-Scholl-Str.
05566000005201205;Birkenweg
05566000005201206;Lärchenweg
05566000005201207;Wacholderweg
05566000005201208;Fichtenweg
05566000005201209;Kiefernweg
05566000005201210;Blomenkamp
05566000005201211;Heideweg
05566000005201212;Adenauer Str.
05566000005201213;Sorgenfrei
05566000005201214;Th.-Heuss-Str.
05566000005201215;Anne-Frank-Str.
05566000005201217;Tulpenweg
05566000005201218;Seidenweberweg
05566000005201220;Amselweg
05566000005201221;Heinrich-Schlick-Str.
05566000005201222;Am Vechteufer
05566000005201223;Im Vechtetal
05566000005201224;Sulaweg
05566000005201225;Nelkenweg
05566000005201226;Hilbuskamp
05566000005201227;Kurt-Schumacher-Str.
05566000005201228;Pfarrer-Böckmann-Str.
05566000005201230;Finkenweg
05566000005201231;Stadtskamp
05566000005201232;Up de Lauge
05566000005201233;Im Rott
05566000005201234;Nordring
05566000005201235;An der Umflut
05566000005201236;Gausepohl
05566000005201237;Esch
05566000005201238;Hoher Weg
05566000005201239;An der Landwehr
05566000005201240;Im Stiftsgarten
05566000005201241;Am Hemmel
05566000005201245;Fürstengrund
05566000005201246;Lohoffs Mühle
05566000005201247;Josefsweg
05566000005201248;Wettringener Str.
05566000005201249;Am Schützenwald
05566000005201250;Schützenstiege
05566000005201251;Fliederweg
