05566000005600401;An den Wellen
05566000005600402;Zum Kippkesberg
05566000005600403;Im Muckhorster Esch
05566000005600404;Bellevue
05566000005600406;Am Freibad
05566000005600407;Auf der Sonnenwiese
05566000005600408;Kurzer Weg
05566000005601401;Aaweg
05566000005601402;Ackerweg
05566000005601403;Albrecht-Dürer-Str.
05566000005601404;Alte Bockradener Str.
05566000005601405;Am Krankenhaus
05566000005601406;Am Lütken Esch
05566000005601407;Am Hang
05566000005601408;Am Kolk
05566000005601409;Am Roten Bach
05566000005601410;Amselstr.
05566000005601411;Am Toschlag
05566000005601412;Am Waldschlößchen
05566000005601413;Am Wasserwerk
05566000005601414;Bachstr.
05566000005601415;Bahnhofstr.
05566000005601416;Berentelgweg
05566000005601417;Bergstr.
05566000005601418;Berg up Sonn
05566000005601419;Birkenstr.
05566000005601420;Bischofstr.
05566000005601421;Bodelschwinghstr.
05566000005601422;Brookstr.
05566000005601423;Brunsheider Weg
05566000005601424;Bürgermeister-Meyer-Str.
05566000005601425;Burgstr.
05566000005601426;Bushof
05566000005601427;Diekbreede
05566000005601428;Dreibauernstr.
05566000005601429;Droste-Hülshoff-Str.
05566000005601430;Eickholzgasse
05566000005601431;Elsebrookweg
05566000005601432;Enge Gasse
05566000005601433;Erikastr.
05566000005601434;Erlenstr.
05566000005601435;Eschweg
05566000005601436;Espeler Weg
05566000005601437;Fahlbachweg
05566000005601438;Falkenstr.
05566000005601439;Fangeweg
05566000005601440;Fangkampstr.
05566000005601441;Feldheider Weg
05566000005601442;Feldweg
05566000005601443;Finkenstr.
05566000005601444;Flottowenweg
05566000005601445;Frechtestr.
05566000005601446;Fr.-v.-Schiller-Str.
05566000005601447;Gartenstr.
05566000005601448;Georgstr.
05566000005601449;Gerichtsweg
05566000005601450;Ginsterweg
05566000005601451;Große Str.
05566000005601452;Grotemeyers Kamp
05566000005601453;Grubenstr.
05566000005601454;Grüner Weg
05566000005601455;Hagebröcker Weg
05566000005601456;Havosweg
05566000005601457;Heerstr.
05566000005601458;Heideweg
05566000005601459;Höv.-Kirchweg
05566000005601460;Höv.-Schulweg
05566000005601461;Hothoweg
05566000005601462;Hüdepohlweg
05566000005601463;Ibbenbürener Str.
05566000005601464;Josefstr.
05566000005601465;Kappelner Weg
05566000005601466;Kard.-v.-Galen-Str.
05566000005601467;Kiefernstr.
05566000005601468;Clemensstr.
05566000005601469;Knappenstr.
05566000005601470;Knobenesch
05566000005601471;Köllbachweg
05566000005601472;Köllesch
05566000005601473;Kolpingstr.
05566000005601474;Kowallstr.
05566000005601475;Landeshuter Str.
05566000005601476;Lärchenweg
05566000005601477;Lager Weg
05566000005601478;Landrat-Schultz-Str.
05566000005601479;Langenbrücker Weg
05566000005601480;Langer Weg
05566000005601481;Laukampweg
05566000005601482;Lüntkewall
05566000005601483;Markt
05566000005601484;Meisenstr.
05566000005601485;Merschfeld
05566000005601486;Merschweg
05566000005601487;Mettener Str.
05566000005601488;Mettinger Grenze
05566000005601489;Mittelweg
05566000005601490;Moorstr.
05566000005601491;Muckhorster Weg
05566000005601492;Mühlenstr.
05566000005601493;Nagelmanns Moor
05566000005601494;Napoleondamm
05566000005601495;Neue Bockradener Str.
05566000005601496;Neuenkirchener Str.
05566000005601497;Nieheweg
05566000005601498;Nierenburger Str.
05566000005601499;Niestadtweg
05566000005601500;Nordhausener Eschweg
05566000005601501;Nordhausener Str.
05566000005601502;Nordstr.
05566000005601503;Ölmühlenweg
05566000005601504;Osnabrücker Str.
05566000005601505;Ostweg
05566000005601506;Ottoweg
05566000005601507;Overbergstr.
05566000005601508;Papiermühlenweg
05566000005601509;Parkstr.
05566000005601510;Pfarrer-Hüging-Str.
05566000005601511;Pötterweg
05566000005601512;Nießings Kamp
05566000005601513;Industriestr.
05566000005601514;Querenbergstr.
05566000005601515;Recker Grenze
05566000005601516;Recker Str.
05566000005601517;Richardweg
05566000005601518;Ringstr.
05566000005601519;Roher Kamp
05566000005601520;Roher Weg
05566000005601521;Rollbreede
05566000005601522;Rübezahlweg
05566000005601523;Schlangenpättken
05566000005601524;Hügelstr.
05566000005601525;Schlickelmannweg
05566000005601526;Schniederbergstr.
05566000005601527;Schöllbrookweg
05566000005601528;Schultenstr.
05566000005601529;Schwarze Str.
05566000005601530;Seester Weg
05566000005601531;Sonnenstr.
05566000005601532;Spielstr.
05566000005601533;Südstr.
05566000005601534;Sunderstr.
05566000005601535;Strootbreede
05566000005601536;Strooteweg
05566000005601537;Taubenstr.
05566000005601538;Teichstr.
05566000005601539;Ten-Brinken-Str.
05566000005601540;Tüöttenstr.
05566000005601541;Up'n Brink
05566000005601542;Up'n Wall
05566000005601543;Von-Ketteler-Str.
05566000005601544;Vor den Kämpen
05566000005601545;Wacholderweg
05566000005601546;Wagenfeldstr.
05566000005601547;Waldweg
05566000005601548;Wellenweg
05566000005601549;Westeresch
05566000005601550;Westerkappelner Str.
05566000005601551;Wibbeltstr.
05566000005601552;Wieher Eschweg
05566000005601553;Wieher Kirchweg
05566000005601554;Wiesenweg
05566000005601555;Wilhelm-Busch-Str.
05566000005601556;Windmühlenweg
05566000005601557;Wöstenstr.
05566000005601558;Woorteweg
05566000005601559;Wulwesweg
05566000005601560;Zum Liethof
05566000005601561;Zum Nordschacht
05566000005601562;Zum Wittenbrink
05566000005601563;Zur Heinrichshöhe
05566000005601564;Schlehenweg
05566000005601565;Riedweg
05566000005601566;Oberbreede
05566000005601567;Hubertushöhe
05566000005601568;Fichtengrund
05566000005601569;Raalter Str.
05566000005601570;Bonhoefferstr.
05566000005601571;Geschw.-Scholl-Str.
05566000005601572;Stauffenbergstr.
05566000005601573;Klötterhof
05566000005601574;An der Nordbahn
05566000005601575;Drosselgasse
05566000005601576;Wismarer Str.
05566000005601577;Rostocker Ring
05566000005601578;Wariner Str.
05566000005601579;Alter Rathausplatz
05566000005601580;Schweriner Str.
05566000005601581;Hansastr.
05566000005601583;Steinbreede
05566000005601587;Breslauer Ring
05566000005601588;Waldenburger Str.
05566000005601589;Geschwister-Voß-Str.
05566000005601590;Niederländer Str.
05566000005601592;Mariengrund
05566000005601593;Oberreicherstr.
05566000005601594;Overgünnestr.
05566000005601595;Glatzer Str.
