strassenschluessel;bezeichnung
05334000002008000;Am Wiesenthal
05334000002008002;Auf dem Schloß
05334000002008003;Auf den Planken
05334000002008004;Austraße
05334000002008005;Bergstraße
05334000002008006;Biesweg
05334000002008007;Burgau
05334000002008008;Burgring
05334000002008009;Dreistegen
05334000002008010;Eschbachstraße
05334000002008011;Beerenburg
05334000002008012;Falkenburger Straße
05334000002008013;Haagweg
05334000002008014;Häsgensweg
05334000002008015;Hargard
05334000002008016;Hargardsgasse
05334000002008017;Am Grindel
05334000002008018;Holzmarkt
05334000002008019;Wilhelm-Jansen-Straße
05334000002008020;Im Städtchen
05334000002008021;Kierberg
05334000002008022;Kirchstraße
05334000002008023;Laufenstraße
05334000002008024;Lauscherbüchel
05334000002008025;St. Vither Straße
05334000002008026;Markt
05334000002008027;Menzerath
05334000002008028;Oberer Kalk
05334000002008029;Oberer Mühlenberg
05334000002008030;Perlenau
05334000002008031;Rosenthal
05334000002008032;Rurstraße
05334000002008033;Schaufenberg
05334000002008034;Schleidener Straße
05334000002008035;Schloßberg
05334000002008036;Schloßkehr
05334000002008037;Schönforster Straße
05334000002008038;Schwingsborn
05334000002008039;Stadtstraße
05334000002008040;Stehlings
05334000002008041;Unterer Kalk
05334000002008042;Unterer Mühlenberg
05334000002008043;Walter-Scheibler-Straße
05334000002008044;Mühlenhelder Weg
05334000002008045;Am Alten Friedhof
05334000002008046;Mühlenley
05334000002008049;Trakehnerweg
05334000002008050;Auf der Haag
05334000002008051;Herbert-Isaac-Straße
05334000002008100;Alte Straße
05334000002008101;Am Kasino
05334000002008102;Am Alten Garten
05334000002008103;Am Lehmpol
05334000002008104;Am Rott
05334000002008105;Aretzweg
05334000002008106;Auf der Höhe
05334000002008107;In der Weide
05334000002008108;Bahnhofstraße
05334000002008109;Breitenberg
05334000002008110;Breiterscheid
05334000002008111;Engelgasse
05334000002008112;Fedderbach
05334000002008113;Gatterweg
05334000002008114;Geisberg
05334000002008115;Görgesstraße
05334000002008116;Gut Heistert
05334000002008117;Kleinfrankreich
05334000002008118;Kuhlengasse
05334000002008119;Im Winkel
05334000002008120;Arnoldystraße
05334000002008121;Klüsenborn
05334000002008122;Lämmchesgasse
05334000002008123;Leykaul
05334000002008124;Leyloch
05334000002008125;Malmedyer Straße
05334000002008126;Messeweg
05334000002008127;Monschauer Straße
05334000002008128;Neu Rott
05334000002008129;Reichenstein
05334000002008130;Rodehof
05334000002008131;Ruitzhof
05334000002008132;Schulweg
05334000002008133;Theißbaumweg
05334000002008134;Elsenborner Straße
05334000002008200;Alter Weg
05334000002008201;Alzerplatzweg
05334000002008202;Alzerstraße
05334000002008203;Auf der Schlad
05334000002008204;Bendweg
05334000002008205;Brath
05334000002008206;Bruchweg
05334000002008207;Buchenweg
05334000002008208;Hasselborn
05334000002008209;Heidgen
05334000002008210;Heimstraße
05334000002008211;Hermesstraße
05334000002008212;Hirtenweg
05334000002008213;Hohlweg
05334000002008214;Im Sief
05334000002008215;Kappersweg
05334000002008216;Kauferberg
05334000002008217;Lämmchesweg
05334000002008218;Mühlenweg
05334000002008219;Neue Straße
05334000002008220;Niessenstraße
05334000002008221;Ochsenweide
05334000002008222;Pferdebahn
05334000002008223;Schmiedegasse
05334000002008225;Triftstraße
05334000002008227;Umgehungsstraße
05334000002008230;Waldstraße
05334000002008231;Weiherstraße
05334000002008232;Wiesengrund
05334000002008233;Wolfsweg
05334000002008234;Zum Brüchelchen
05334000002008235;Hauptstraße
05334000002008237;Höfener Mühle
05334000002008238;Zum Kessel
05334000002008239;Am Breitenfeld
05334000002008240;Zum Langenfeld
05334000002008260;Am Kirchrott
05334000002008261;Am Pöhlchen
05334000002008262;Borngasse
05334000002008263;Burggasse
05334000002008264;Kluckweg
05334000002008265;Leykaulstraße
05334000002008266;Lommersgasse
05334000002008267;Markstockstraße
05334000002008268;Retzstraße
05334000002008269;Riehelskuhl
05334000002008270;Rödchenstraße
05334000002008271;Rothe Kreuz
05334000002008272;Dröft
05334000002008273;Widdauer Weg
05334000002008274;Heckweg
05334000002008275;Branderhaild
05334000002008276;Am Morje
05334000002008277;Im Johannesfeld
05334000002008278;Obere Branderhaild
05334000002008300;Alte Monschauer Straße
05334000002008301;Am Stammhaus
05334000002008302;Am Weiher
05334000002008303;Auf der Knag
05334000002008304;Auf der Rahm
05334000002008305;Am Pool
05334000002008306;Bruchstraße
05334000002008307;Bruchzaun
05334000002008308;Erlenweg
05334000002008309;Frohnepfad
05334000002008310;Grünental
05334000002008311;Grünentalstraße
05334000002008313;Jennegäßchen
05334000002008314;Heidbüchel
05334000002008315;Hengstbrüchelchen
05334000002008316;Hans Georg Weiss Straße
05334000002008317;Karweg
05334000002008319;Matthias-Offermann-Straße
05334000002008322;Rulertsweg
05334000002008323;Schmöttsgasse
05334000002008324;Schulstraße
05334000002008325;Stillbusch
05334000002008326;Tränkhof
05334000002008327;Trierer Straße
05334000002008328;Lindenweg
05334000002008329;Am Waischbach
05334000002008330;Christian-Böttcher-Straße
05334000002008331;Balthasar-Hürtgen-Straße
05334000002008332;Gräfgesweg
05334000002008333;Steinrötsch
05334000002008334;Bernhard-Lauscher-Straße
05334000002008335;Am Handwerkerzentrum
05334000002008336;Am Windrad
05334000002008337;An der Höckerlinie
05334000002008338;An der Winterschule
05334000002008339;Belgenbacher Weg
05334000002008340;Peter-Schreiber-Weg
05334000002008341;Haselweg
05334000002008342;Auf Beuel
05334000002008343;Am Martinsfeuer
05334000002008344;An Victors Wäldchen
05334000002008350;Dorfstraße
05334000002008351;Marksbendenweg
05334000002008352;Veilchenstraße
05334000002008353;Heidheckweg
05334000002008354;Belgenbacher Mühle
05334000002008400;Am Entepol
05334000002008401;Am Feuerbach
05334000002008402;Am Kapellchen
05334000002008403;Am Knöpp
05334000002008404;Am Königshof
05334000002008405;Am Lutterbach
05334000002008406;Am Pötzchen
05334000002008407;Auf Aderich
05334000002008408;Auf der Hardt
05334000002008409;Blumgasse
05334000002008410;Breitestraße
05334000002008411;Brenneck-Gasse
05334000002008412;Cohmgasse
05334000002008413;Hardt-Mathes-Gasse
05334000002008414;Hatzevennstraße
05334000002008415;Heerstraße
05334000002008416;Hohestraße
05334000002008417;Hoheweg
05334000002008418;Hoscheit
05334000002008419;Kirchbruch
05334000002008420;Im Krähwinkel
05334000002008421;Zum Vennblick
05334000002008422;In den Gassen
05334000002008423;In der Vlötz
05334000002008424;Zur Kaplanei
05334000002008425;Kirchenweg
05334000002008426;Konrad-Adenauer-Straße
05334000002008427;Mongsgasse
05334000002008429;Vor der Hohe
05334000002008430;Wolfskuhl
05334000002008431;Hatzevenn
05334000002008432;Am Laufenbach
05334000002008433;Im Brenneck
05334000002008434;Alte Sportplatzstraße
05334000002008451;Am Nassenhof
05334000002008452;Balteshof
05334000002008453;Bongert
05334000002008454;Branderweg
05334000002008455;Eichstock
05334000002008456;Eupener Straße
05334000002008457;Gustengasse
05334000002008458;Hoarstatt
05334000002008459;Im Brand
05334000002008460;Im Bruch
05334000002008461;Zum Torfmoor
