05374000002809239;Adolf-Kolping-Straße
05374000002809240;Alzener Weg
05374000002809241;Amselweg
05374000002809242;Steiler Weg
05374000002809243;Am Brunnen
05374000002809244;Am Büchel
05374000002809245;Am Dreieck
05374000002809246;Am Eichhölzchen
05374000002809247;Dechant-Strack-Straße
05374000002809248;Am Mühlengraben
05374000002809249;An der Seelhardt
05374000002809250;Am Hang
05374000002809252;Auf der Au
05374000002809253;Auf der Kohlhardt
05374000002809254;Auf der Hütte
05374000002809255;Bahnhofstraße
05374000002809256;Bachstraße
05374000002809257;Brückenstraße
05374000002809258;Ellinger Weg
05374000002809259;Feldweg
05374000002809260;Felsenweg
05374000002809261;Fichtenweg
05374000002809262;Flurstraße
05374000002809263;Hardtweg
05374000002809264;Goethestraße
05374000002809265;Hahner Straße
05374000002809266;Heinrich-Halberstadt-Weg
05374000002809267;Hemmerholzer Weg
05374000002809268;Hohe Brücke
05374000002809269;Im Karschiefen
05374000002809270;Im Kattelberg
05374000002809271;Josef-Moritz-Gasse
05374000002809272;Kirchstraße
05374000002809273;Krottorfer Straße
05374000002809274;Lerchenstraße
05374000002809275;Meisenweg
05374000002809276;Mozartstraße
05374000002809277;Obere Kirchstraße
05374000002809278;Rheinischer Hof
05374000002809279;Schillerweg
05374000002809280;Seifener Weg
05374000002809281;Starenweg
05374000002809282;Talweg
05374000002809283;Zum Aussichtsturm
05374000002809284;Waldbröler Straße
05374000002809285;Warnsbachtal
05374000002809286;Zum Goldenen Acker
05374000002809287;Zur Burg
05374000002809288;Zur Hoorwiss
05374000002809289;Höhenweg
05374000002809290;Weidenstraße
05374000002809292;Eichenstraße
05374000002809295;Alter Kirchweg
05374000002809296;Ehrenstraße
05374000002809297;Am Kempenhof
05374000002809298;Auf dem Rosenkämpchen
05374000002809299;Zum Rauhen Hahn
05374000002809300;Lauberbachweg
05374000002809301;Siedenberger Straße
05374000002809302;Stockshöher Weg
05374000002809304;Amberg
05374000002809306;Auf dem Hähnchen
05374000002809307;Auf dem Kohlknippen
05374000002809308;Eichhardsdelle
05374000002809309;Heidebacher Weg
05374000002809310;Im alten Ort
05374000002809311;Napoleonstraße
05374000002809312;Ritterseifener Weg
05374000002809313;Südstraße
05374000002809317;Birken
05374000002809319;Birzel
05374000002809321;Bitze
05374000002809323;Böcklingen
05374000002809325;Breitgen
05374000002809327;Burg Volperhausen
05374000002809335;Flockenberg
05374000002809337;Frankenthal
05374000002809343;Halle
05374000002809345;Heide
05374000002809347;Hellerseifen
05374000002809349;Herbertshagen
05374000002809351;Höferhof
05374000002809352;Am Kreuz
05374000002809353;Auf dem Kamp
