strassenschluessel;bezeichnung
05962000004401601;Brenscheid
05962000004401602;Brenscheider Mühle
05962000004401603;Buchhellenstück
05962000004401604;Lehmkuhle
05962000004401605;Waldemey
05962000004401610;Dümplerleie
05962000004401611;Dümpel
05962000004401617;Eilerder Feld
05962000004401618;Eilerde
05962000004401619;Becke
05962000004401620;Brantenhahn
05962000004401621;Höchsten
05962000004401622;Großenhahn
05962000004401625;Am Tunnel
05962000004401626;Bachstraße
05962000004401627;Buchenweg
05962000004401628;Eichendorffstraße
05962000004401629;Friedhofsweg
05962000004401630;Helbecker Weg
05962000004401631;Hermann-Löns-Weg
05962000004401632;Im Grund
05962000004401633;Kapellenweg
05962000004401634;Einsaler Hof
05962000004401660;Hahn
05962000004401661;Haste
05962000004401662;Hohenhagen
05962000004401663;Leimbleck
05962000004401673;Hallenscheid
05962000004401674;Buchholz
05962000004401675;Eickhoff
05962000004401676;Kreinberg
05962000004401681;Kreinberger Weg
05962000004401682;Breddestraße
05962000004401683;Hallenscheider Weg
05962000004401684;Im Hötting Hahn
05962000004401685;Kiefernweg
05962000004401686;Opperhusen
05962000004401687;Opperhusener Straße
05962000004401688;Tannenweg
05962000004401689;Wiesenstraße
05962000004401690;Erlenweg
05962000004401691;Eschenweg
05962000004401720;Herlsen
05962000004401721;Ahorn
05962000004401722;Höllerhagen
05962000004401723;Kaltenborn
05962000004401727;Oberer Steinwinkel
05962000004401728;Am Hardtkopf
05962000004401729;Auf dem Steinstück
05962000004401730;Holensiepen
05962000004401731;Im Stuckenhahn
05962000004401732;In der Hardt
05962000004401733;In der Dellen
05962000004401735;Schmalsgotte
05962000004401736;Steinwinkel
05962000004401737;Westersiepen
05962000004401738;Hardt
05962000004401739;Meisenweg
05962000004401740;Falkenweg
05962000004401741;Finkenweg
05962000004401742;Amselweg
05962000004401743;Starenweg
05962000004401744;In der Aue
05962000004401770;Obernahmerland
05962000004401774;Am Hang
05962000004401775;Ebertstraße
05962000004401776;Ehrenmalstraße
05962000004401777;Goethestraße
05962000004401778;Hans-Böckler-Straße
05962000004401779;Hochstraße
05962000004401780;Jahnstraße
05962000004401781;Birkenweg
05962000004401782;Niemöllerstraße
05962000004401783;Schillerstraße
05962000004401784;Wiblingwerder Straße
05962000004401785;Uhlandweg
05962000004401786;Schulten Wiese
05962000004401809;Lutherweg
05962000004401810;Beethovenweg
05962000004401811;Berliner Straße
05962000004401812;Von-Bodelschwingh-Straße
05962000004401813;Danziger Straße
05962000004401814;Freiherr-Vom-Stein-Straße
05962000004401815;Geschwister-Scholl-Straße
05962000004401816;Hagener Straße
05962000004401817;Kampstraße
05962000004401818;Kirchstraße
05962000004401819;Klingestraße
05962000004401820;Schmidtstraße
05962000004401821;Schubertweg
05962000004401822;Schulstraße
05962000004401823;Märkischer Platz
05962000004401855;Altenaer Straße
05962000004401856;Dorfstraße
05962000004401857;Gartenstraße
05962000004401858;Obstfeld
05962000004401865;Obstfuhr
05962000004401871;Grotenburg
05962000004401872;Oevenscheid
05962000004401873;Grennigloh
05962000004401874;Oevenscheider Stall
05962000004401875;Waldstück
05962000004401880;Rennerde
05962000004401881;Nordhelle
05962000004401895;Sassenscheid
05962000004401900;Am Kamp
05962000004401901;Deierte
05962000004401902;Deierter Weg
05962000004401903;Hartmoll
05962000004401904;Hohenlimburger Straße
05962000004401905;Hinterveserde
05962000004401906;Semberg
05962000004401907;Telegraph
05962000004401908;Todtenhelle
05962000004401909;Wiblingwerder Landstraße
05962000004401924;Am Alten Sportplatz
05962000004401925;Lohagen
05962000004401926;Am Dorfplatz
05962000004401927;Am Heierstück
05962000004401928;Am Lohagen
05962000004401929;Am Stübchenstück
05962000004401930;Auf der Höh
05962000004401931;Auf der Weide
05962000004401932;Harpkestraße
05962000004401933;Heide
05962000004401934;Herlsener Weg
05962000004401935;Im Hinterdorf
05962000004401936;Lüdenscheider Straße
05962000004401937;Nachrodter Straße
05962000004401938;Neuenhaus
05962000004401939;Niggenhuser Hof
05962000004401940;Stübbecken
05962000004401941;Über dem Dorfe
05962000004401942;Voßnocken
05962000004401943;Pastor-Landmann-Straße
05962000004401944;Oberste Wiese
05962000004401945;Alte Heide
05962000004401946;Am Breiten Stück
05962000004401947;Auf dem Haeken
05962000004401948;Auf dem Nocken
05962000004401949;Berkenstück
05962000004401951;Kolpingstraße
05962000004401980;Wörden
05962000004401981;Kiesberg
05962000004401982;Vogelhenne
05962000004401986;Finkingsen
05962000004401987;Roland
05962000004401998;Feldlage Nachrodt-Wiblingwerde
