05970000003207000;Afferbachstraße
05970000003207001;Alterbachstraße
05970000003207002;Am Brünkel
05970000003207003;An der Wende
05970000003207005;Erndtebrücker Straße
05970000003207006;Hübener Straße
05970000003207008;Im Eck
05970000003207009;In der Delle
05970000003207010;Sohlbacher Straße
05970000003207012;Zur alten Mühle
05970000003207031;Am Wurmel
05970000003207032;Auf dem alten Hof
05970000003207033;Auf dem Stück
05970000003207034;Auf der Höh
05970000003207035;Gösbergstraße
05970000003207036;Im Dreieck
05970000003207037;Im Kalten Born
05970000003207038;Im Kesselgarten
05970000003207039;Theodor-Noa-Straße
05970000003207040;Ringstraße
05970000003207041;Schnellenbergstraße
05970000003207042;Im Grummetshof
05970000003207061;Am Hang
05970000003207062;Am Hügel
05970000003207063;An der Ecke
05970000003207064;Auf dem Boden
05970000003207065;Auf dem Garten
05970000003207066;Forsthaus Hohenroth
05970000003207067;Im Weißdorn
05970000003207068;In der Feldbach
05970000003207069;In der Trubach
05970000003207071;Mittelweg
05970000003207072;Netphener Weg
05970000003207073;Obernauer Weg
05970000003207074;Unter den Linden
05970000003207076;Zur Talsperre
05970000003207078;Am Leielchen
05970000003207079;Unterm Wäldchen
05970000003207080;Brauersdorfer Straße
05970000003207101;Ahornweg
05970000003207102;Akazienweg
05970000003207103;Albert-Irle-Straße
05970000003207104;Asternweg
05970000003207105;Auf den Stäten
05970000003207106;Auf den Weiden
05970000003207107;Beienbacher Weg
05970000003207108;Berliner Straße
05970000003207109;Blumenstraße
05970000003207110;Eschenweg
05970000003207111;Feuersbacher Straße
05970000003207112;Fichtenweg
05970000003207113;Fliederweg
05970000003207114;Friedhofstraße
05970000003207115;Ginsterweg
05970000003207116;Habachstraße
05970000003207117;Haselnußweg
05970000003207118;Herborner Straße
05970000003207119;Hinterm Wasser
05970000003207120;Hinterstraße
05970000003207121;Holunderweg
05970000003207122;Hüllweg
05970000003207123;Hüttenweg
05970000003207124;Im Heiteren Tal
05970000003207125;Im Siegeck
05970000003207126;In der Brachbach
05970000003207127;Irle-Siedlung
05970000003207128;Kiefernweg
05970000003207130;Kölner Straße
05970000003207131;Marburger Straße
05970000003207132;Mühlenweg
05970000003207133;Nahtweg
05970000003207134;Nauholzer Weg
05970000003207135;Pestalozzistraße
05970000003207136;Schlehdornweg
05970000003207137;Schützenweg
05970000003207138;Tannenstraße
05970000003207139;Waldstraße
05970000003207140;Zaunstraße
05970000003207141;Am Freibad
05970000003207142;Weiherdamm
05970000003207143;Efeuweg
05970000003207144;Jasminweg
05970000003207145;Krokusweg
05970000003207146;Orchideenweg
05970000003207147;Kälberhof
05970000003207148;Narzissenweg
05970000003207171;Am Burgrain
05970000003207172;Am Liesch
05970000003207173;Auf der Au
05970000003207174;Auf der Blashütte
05970000003207175;Auf der Schläfe
05970000003207176;Austraße
05970000003207177;Bismarckstraße
05970000003207178;Bruchstraße
05970000003207179;Brückenstraße
05970000003207180;Burgstraße
05970000003207181;Dreisbachstraße
05970000003207182;Drosselweg
05970000003207183;Eichendorffstraße
05970000003207184;Fehlingsweg
05970000003207185;Feldwasserstraße
05970000003207186;Finkenweg
05970000003207187;Fontanestraße
05970000003207188;Bittenbach
05970000003207189;Gartenstraße
05970000003207190;Goethestraße
05970000003207191;Heckersbergstraße
05970000003207192;Hermann-Löns-Straße
05970000003207193;Hinterm Liesch
05970000003207194;Hüttenwiese
05970000003207195;Im Grunde
05970000003207196;Im Hüttseifen
05970000003207197;Im Storchennest
05970000003207198;In der Habach
05970000003207199;In der Seelbach
05970000003207200;Ivenweg
05970000003207201;Köhlerweg
05970000003207202;Kreuztaler Straße
05970000003207203;Lerchenweg
05970000003207204;Lessingstraße
05970000003207205;Lieschstraße
05970000003207206;Lützelau
05970000003207207;Setzer Weg
05970000003207208;Siegstraße
05970000003207209;Schläfergarten
05970000003207210;Schwalbenweg
05970000003207211;Jung-Stilling-Platz
05970000003207212;Tiefenbacher Straße
05970000003207213;Torstraße
05970000003207214;Untere Industriestraße
05970000003207215;Unterm Kieselstein
05970000003207216;Wernsbachstraße
05970000003207217;Weyertshainstraße
05970000003207218;Zeisigweg
05970000003207219;Zinsenbach
05970000003207221;Sperlingsweg
05970000003207222;Starenweg
05970000003207223;Wachtelweg
05970000003207224;Weidenauer Straße
05970000003207225;Martin-Luther-Straße
05970000003207226;Volnsberger Straße
05970000003207227;Breitenrathstraße
05970000003207228;Johann-Sebastian-Bach-Weg
05970000003207229;Händelweg
05970000003207230;Haydnweg
05970000003207231;Mozartweg
05970000003207232;Beethovenweg
05970000003207233;Schumannweg
05970000003207234;Lisztweg
05970000003207235;Richard-Wagner-Weg
05970000003207236;Brucknerweg
05970000003207237;Johann-Strauß-Weg
05970000003207238;Brahmsweg
05970000003207239;Im Bruch
05970000003207240;Industriestraße
05970000003207241;Annette-von-Droste-Hülshoff-Straße
05970000003207242;Eduard-Mörike-Weg
05970000003207243;Wilhelm-Schäfer-Weg
05970000003207251;Allenbacher Straße
05970000003207252;Am Hubertushain
05970000003207253;Am Hüttenwald
05970000003207254;Am Waldhang
05970000003207255;Auf dem Rain
05970000003207256;Birkenweg
05970000003207257;Eibenweg
05970000003207258;Eichenweg
05970000003207259;Espenweg
05970000003207260;Hainbuchenweg
05970000003207261;Hinter den Weiden
05970000003207262;Hohlweg
05970000003207263;In der Enke
05970000003207264;In der Hanfwiese
05970000003207265;In der Struth
05970000003207266;Oelgershausener Straße
05970000003207267;Siegener Straße
05970000003207268;Ulmenweg
05970000003207269;Unglinghausener Straße
05970000003207270;Vorm Wald
05970000003207271;Weißdornweg
05970000003207272;Im Mühlengrund
05970000003207273;Grundstraße
05970000003207274;Jagdweg
05970000003207275;In der Seite
05970000003207291;Alte-Burg-Straße
05970000003207292;Am Birkenrain
05970000003207294;Am Sonnenhang
05970000003207295;Am Wasser
05970000003207296;Andreasstraße
05970000003207297;Bachweg
05970000003207298;Berleburger Straße
05970000003207299;Billenbachstraße
05970000003207300;Eschenbacher Straße
05970000003207302;Hagerstraße
05970000003207303;Kastanienweg
05970000003207305;Schießbergstraße
05970000003207306;Tannenkopfstraße
05970000003207307;Zur Kempe
