05170000002833001;Ahornweg
05170000002833002;Alte Mühle
05170000002833003;Alte Rathausstraße
05170000002833004;Am Eckschenberg
05170000002833005;Am Hartschenfeld
05170000002833006;Am Honigshuck
05170000002833007;Am Hugengraben
05170000002833008;Am Klotzfeld
05170000002833009;Am Ophülsgraben
05170000002833010;Amselweg
05170000002833011;Am Vietengraben
05170000002833012;An der Bleiche
05170000002833013;An der Ley
05170000002833014;Andreas-Bräm-Straße
05170000002833015;Anrathsweg
05170000002833016;Averdunksweg
05170000002833017;Bachstraße
05170000002833018;Bahnhofstraße
05170000002833019;Balderbruchweg
05170000002833020;Beethovenstraße
05170000002833021;Bendschenweg
05170000002833022;Bergschenweg
05170000002833023;Bergweg
05170000002833024;Birkenstraße
05170000002833025;Bloemersheim
05170000002833026;Bloemersheimer Weg
05170000002833027;Blumenstraße
05170000002833028;Boschheidestraße
05170000002833029;Breslauer Straße
05170000002833030;Bruckschenweg
05170000002833031;Bruchstraße
05170000002833032;Buchenplatz
05170000002833033;Danziger Straße
05170000002833034;Dickschenstraße
05170000002833035;Donger Schulweg
05170000002833036;Dongstraße
05170000002833037;Döpperstraße
05170000002833038;Dr.-Hertel-Straße
05170000002833039;Drosselweg
05170000002833040;Drüenstraße
05170000002833041;Ebertstraße
05170000002833042;Eichenstraße
05170000002833043;Eickhausweg
05170000002833044;Elbestraße
05170000002833045;Emil-Schweitzer-Straße
05170000002833046;Erlenstraße
05170000002833047;Ernst-Moritz-Arndt-Straße
05170000002833048;Etzoldplatz
05170000002833049;Etzoldstraße
05170000002833050;Eyller Straße
05170000002833051;Falkenstraße
05170000002833052;Fasanenweg
05170000002833053;Feldstraße
05170000002833054;Fichtestraße
05170000002833055;Finefraustraße
05170000002833056;Finkenstraße
05170000002833057;Flohweg
05170000002833058;Fränzkesweg
05170000002833059;Friedensstraße
05170000002833060;Friesenweg
05170000002833061;Fritz-Baum-Allee
05170000002833062;Fürmannsheck
05170000002833063;Fürmannstraße
05170000002833064;Gartenstraße
05170000002833065;Gartmannstraße
05170000002833066;Geilingsweg
05170000002833067;Geitlingstraße
05170000002833068;Geldernsche Straße
05170000002833069;Girondellestraße
05170000002833070;Glatzer Straße
05170000002833071;Glogauer Straße
05170000002833072;Glückaufstraße
05170000002833073;Goldbergstraße
05170000002833074;Göntgenstraße
05170000002833075;Grabenstraße
05170000002833076;Grafschafter Platz
05170000002833078;Grevenstraße
05170000002833079;Grotfeldsweg
05170000002833080;Grüner Weg
05170000002833081;Gülixweg
05170000002833082;Haarbeckstraße
05170000002833083;Hans-Böckler-Str.
05170000002833084;Hartfeldstraße
05170000002833085;Niederrheinallee
05170000002833086;Heckrathstraße
05170000002833087;Heisterweg
05170000002833088;Herkweg
05170000002833091;Hirschberger Straße
05170000002833092;Hochkamerstraße
05170000002833093;Hochstraße
05170000002833094;Holtmannstraße
05170000002833095;Hülser Straße
05170000002833096;Husemannstraße
05170000002833097;Im Mühlenwinkel
05170000002833098;Im Schönen Winkel
05170000002833099;Im Wiesengrund
05170000002833100;Inneboltstraße
05170000002833101;Jahnstraße
05170000002833102;Kaetherstraße
05170000002833103;Kantstraße
05170000002833104;Kapellener Straße
05170000002833105;Kirchfuhrweg
05170000002833107;Kirchwehmsdyk
05170000002833108;Kleine Straße
05170000002833109;Klietbruchweg
05170000002833110;Königsberger Straße
05170000002833111;Körnerstraße
05170000002833112;Kranichstraße
05170000002833113;Krefelder Straße
05170000002833114;Kreuzstraße
05170000002833115;Kuckucksweg
05170000002833116;Kurze Straße
05170000002833117;Larfeldsweg
05170000002833118;Laukenstraße
05170000002833119;Liegnitzer Straße
05170000002833120;Lindenstraße
05170000002833121;Littardweg
05170000002833122;Londongstraße
05170000002833123;Luiter Dyk
05170000002833124;Luiter Straße
05170000002833125;Mandelstraße
05170000002833126;Max-von-Schenkendorf-Str.
05170000002833127;Mentorstraße
05170000002833128;Merbishof
05170000002833129;Merbisstraße
05170000002833130;Minhorstweg
05170000002833131;Mittelstraße
05170000002833132;Mozartstraße
05170000002833133;Mühlenstraße
05170000002833134;Mühlenweg
05170000002833135;Neenrathstraße
05170000002833136;Nelkenstraße
05170000002833137;Neufelder Straße
05170000002833138;Niederrheinstraße
05170000002833139;Nieper Straße
05170000002833140;Nordstraße
05170000002833141;Oestermannstraße
05170000002833142;Opholtsweg
05170000002833143;Pappelstraße
05170000002833144;Parkstraße
05170000002833145;Paschenweg
05170000002833146;Pastoratstraße
05170000002833147;Peschkenstraße
05170000002833148;Plankendicksweg
05170000002833149;Platanenstraße
05170000002833150;Posener Straße
05170000002833151;Poststraße
05170000002833153;Rayener Kirchweg
05170000002833154;Rayener Straße
05170000002833155;Repelener Straße
05170000002833156;Ringstraße
05170000002833157;Roosenstraße
05170000002833158;Seiltgenweg
05170000002833159;Siebertstraße
05170000002833160;Sittermannstraße
05170000002833161;Speemannsweg
05170000002833162;Spickerbruchweg
05170000002833163;Spickschenweg
05170000002833164;Springenweg
05170000002833165;Süsselheide
05170000002833167;Schietenweg
05170000002833168;Schillerstraße
05170000002833169;Schlägel-und-Eisen-Straße
05170000002833170;Schöttenstraße
05170000002833171;Schubertstraße
05170000002833172;Schwalbenstraße
05170000002833173;Stettiner Straße
05170000002833174;Stratmannsweg
05170000002833175;Tannenbergweg
05170000002833176;Terniepenweg
05170000002833177;Tersteegenstraße
05170000002833178;Trixweg
05170000002833179;Vietenstraße
05170000002833180;Vinnmannsweg
05170000002833181;Vluynbuscher Straße
05170000002833182;Vluyner Straße
05170000002833183;Von-der-Leyen-Platz
05170000002833184;Vorsselsweg
05170000002833185;Waisenhausstraße
05170000002833186;Waldenburger Straße
05170000002833187;Waldmannsweg
05170000002833188;Waldstraße
05170000002833189;Waldweg
05170000002833190;Waldwinkelsweg
05170000002833191;Weddigenallee
05170000002833192;Weddigenplatz
05170000002833193;Weddigenstraße
05170000002833194;Weichselstraße
05170000002833195;Weimannsweg
05170000002833196;Weistraße
05170000002833197;Wichernstraße
05170000002833198;Wiesenstraße
05170000002833199;Wiesfurthstraße
05170000002833200;Wilhelm-Reuter-Allee
05170000002833201;Wittfeldsweg
05170000002833202;Wittrahmsweg
05170000002833203;Zum Boschhof
05170000002833204;Gottesberger Straße
05170000002833205;Grünberger Straße
05170000002833206;Reichenbacher Straße
05170000002833207;Sperlingsweg
05170000002833208;Zeisigweg
05170000002833209;Richardstraße
05170000002833210;Am Lerchenfeld
05170000002833211;Akazienstraße
05170000002833212;Oderstraße
05170000002833213;Bohnenweg
05170000002833214;Diesterwegstraße
05170000002833215;Feltgenstraße
05170000002833216;Heideweg
05170000002833217;Vluyner Platz
05170000002833219;Kiefernweg
05170000002833220;Ulmenweg
05170000002833221;Humboldtstraße
05170000002833222;Leibnizstraße
05170000002833223;Vluyner Nordring
05170000002833224;Münchweg
05170000002833225;Vluyner Südring
05170000002833226;Heinrich-Trox-Platz
05170000002833227;Paschenfurth
05170000002833228;Richard-Wagner-Straße
05170000002833229;Inneboltskat
05170000002833231;An der Neuen Mühle
05170000002833232;Händelstraße
05170000002833233;Brahmsweg
05170000002833234;Haydnstraße
05170000002833235;Schumannweg
05170000002833236;Kirchplatz
05170000002833237;Schulplatz
05170000002833238;Dürerstraße
05170000002833239;Menzelweg
05170000002833240;Rembrandtweg
05170000002833241;Rubensweg
05170000002833242;Spitzweggasse
05170000002833243;Thomaweg
05170000002833244;Zilleweg
05170000002833245;Neukirchener Ring
05170000002833246;Benedensdyk
05170000002833247;Am Hoschenhof
05170000002833248;Am Schützenhaus
05170000002833249;Am Sourenhof
05170000002833250;Johann-Strauß-Weg
05170000002833251;Paul-Klee-Straße
05170000002833252;Barlachstraße
05170000002833253;Franz-Marc-Straße
05170000002833254;Emil-Nolde-Weg
05170000002833255;Kollwitzstraße
05170000002833256;Weserstraße
05170000002833257;Kleigaat
05170000002833258;Unterdorf
05170000002833259;Bruckhausfeld
05170000002833260;Hohenforsterweg
05170000002833261;Emil-Schweitzer-Straße A
05170000002833262;Emil-Schweitzer-Straße B
05170000002833263;Emil-Schweitzer-Straße C
05170000002833264;Emil-Schweitzer-Straße D
05170000002833265;Emil-Schweitzer-Straße E
05170000002833266;Emil-Schweitzer-Straße F
05170000002833267;Emil-Schweitzer-Straße G
05170000002833268;Emil-Schweitzer-Straße H
05170000002833269;Emil-Schweitzer-Straße J
05170000002833270;Emil-Schweitzer-Straße K
05170000002833271;Emil-Schweitzer-Straße L
05170000002833272;Emil-Schweitzer-Straße M
05170000002833273;Emil-Schweitzer-Straße N
05170000002833274;Emil-Schweitzer-Straße O
05170000002833275;Emil-Schweitzer-Straße P
05170000002833276;Emil-Schweitzer-Straße Q
05170000002833277;Emil-Schweitzer-Straße R
05170000002833278;Emil-Schweitzer-Straße S
05170000002833279;Leineweberplatz
05170000002833280;Missionshof
05170000002833281;Bonhoefferstraße
05170000002833282;Geschwister-Scholl-Straße
05170000002833285;Groß-Opholt
05170000002833286;Heymannshof
05170000002833287;Ricarda-Huch-Straße
05170000002833288;Anna-Seghers-Straße
05170000002833289;Ludwig-Doll-Straße
05170000002833290;Merianstraße
05170000002833291;Von-Arnim-Weg
05170000002833292;Pascalstraße
05170000002833293;Kelvinstraße
05170000002833294;Keplerstraße
05170000002833295;Am Dreßlerhof
05170000002833296;Weberstraße
05170000002833297;Droste-Hülshoff-Straße
05170000002833298;Ina-Seidel-Straße
05170000002833299;Spreegasse
05170000002833300;Havelstraße
05170000002833301;Raiffeisenstraße
05170000002833302;Im Mausegatt
05170000002833304;Alexander-Bell-Straße
05170000002833305;Grafschafter Straße
05170000002833306;Endstraße
05170000002833307;James-Watt-Straße
05170000002833308;Mouvauxstraße
05170000002833309;Ustroner Straße
05170000002833310;Ingeborg-Bachmann-Straße
05170000002833311;Luise-Rinser-Straße
05170000002833312;Am Schmitzfeld
05170000002833313;Saalestraße
05170000002833314;Alte Weberei
05170000002833315;Antoniusstraße
05170000002833316;An der Dampfmühle
05170000002833317;An der Friedenskirche
05170000002833318;Im Ried
05170000002833319;Am Oberkamp
05170000002833320;Platz am Museum
05170000002833321;Kiebitzweg
05170000002833323;Kerrygoldstraße
05170000002833325;Barbarastraße
05170000002833327;Dicksche Heide
05170000002833328;Drentheweg
05170000002833329;Moränenweg
05170000002833331;Juraweg
05170000002833332;Carbonweg
05170000002833333;Kreideweg
05170000002833334;Knappenring
05170000002833335;Grubenwehrstraße
05170000002833339;Granitweg
05170000002833340;Quarzweg
05170000002833341;Schieferstraße
05170000002833342;Fröbelweg
05170000002833343;Anthrazitweg
05170000002833344;Devonweg
05170000002833347;Robinienweg
05170000002833348;Wacholderweg
05170000002833349;Am Markt
