057620000028J9451;Wenkenberg
057620000028J9455;Vorn im niederen Feld
057620000028J9456;Vorn an dem niederen Felde
057620000028J9471;Unter dem Buchholz
057620000028J9475;Über dem Stoppelkamp
057620000028J9483;Stadtbusch und Nachtstall
057620000028J9488;Rothe Berg
057620000028J9490;Röhenbrocks Wiesen im Finbrok
057620000028J9491;Rischkämpe am gr.lütjen Felde
057620000028J9493;Possiek
057620000028J9499;Nietelsiek
057620000028J9508;Lehmkuhle
057620000028J9514;Krummpohl
057620000028J9515;Kreuskamp am kl.lütjen Felde
057620000028J9518;Kleiner Damm
057620000028J9520;Kleine Finbrok
057620000028J9528;In den Winsen
057620000028J9529;In den Schelschen Höfen
057620000028J9530;In den sauren Wiesen
057620000028J9533;Im vorderen Nordfelde
057620000028J9534;Im niederen Feld
057620000028J9538;Hornsche Trift
057620000028J9540;Hinter'm wüsten Kamp
057620000028J9553;Große Finbrok
057620000028J9557;Gräwenkamper Wiesen
057620000028J9558;Finbrok Wiesen
057620000028J9563;Emmer
057620000028J9566;Die Alerbor Wiesen
057620000028J9569;Der Enskeberg
057620000028J9586;Auf der Böscheburg
057620000028J9587;Auf dem Stocke
057620000028J9596;Am Winselberge
057620000028J9597;Am Südholz
057620000028J9599;Am Paarmarkte
057620000028J9601;Am Krulsberge
057620000028J9610;Alersfelde
057620000028J9625;Talbreite
057620000028J9628;Riepen
057620000028J9629;Rehberg
057620000028J9630;Pferdekamp
057620000028J9632;Oeynhauser Holz
057620000028J9645;Lakewiese
057620000028J9651;Hinter der Mühle
057620000028J9662;Bruchkamp
057620000028J9665;Auf der Rhede
057620000028J9667;Auf dem Kalke
057620000028J9669;Am Riepenkamp
057620000028J9675;Altenbeken-Hannover
057620000028J9676;Varusberg
057620000028J9690;Keilberg
057620000028J9705;Der Hamberg
057620000028J9715;Auf den Ächterplätzen
057620000028J9722;Am Berge
057620000028J9725;Wemelsbornwiese
057620000028J9732;Unterm Belsterberge
057620000028J9733;Untere Hofweide
057620000028J9738;Pferdekamp
057620000028J9741;Mückenberg
057620000028J9744;Mettersiek
057620000028J9749;Kuhkamp
057620000028J9754;In der Bleiche
057620000028J9759;Hundebeutel
057620000028J9771;Bruch an der Herrenwiese
057620000028J9773;Berghof
057620000028J9775;Bei Tappen Twasslande
057620000028J9776;Beim Wulfschen Teich
057620000028J9779;Auf der Röthe
057620000028J9782;Am Masterholz
057620000028J9784;Am Belsterberge
057620000028J9790;Rott
057620000028J9799;Mittelberg
057620000028J9805;Kreuzgrund
057620000028J9833;Bals Feld
057620000028J9837;Unterm Osterholz
057620000028J9840;Über Dieken
057620000028J9848;Langefest
057620000028J9851;Kuhkamp
057620000028J9857;Heuland
057620000028J9864;Auf der Horst
057620000028J9875;Trift
057620000028J9880;Rothebrink
057620000028J9885;Oben den Höfen
057620000028J9887;Mühlenwiese
057620000028J9891;Moeskamp
057620000028J9892;Lattberg
057620000028J9906;Helmsbruch
057620000028J9923;Sesenberg
057620000028J9926;Mühlenberg
057620000028J9944;Halit
057620000028J9945;Grosse Ziegenbeutel
057620000028J9950;Beim alten Zuschlag
057620000028J9957;Panzenberg
057620000028J9961;Neuhofer Feld
057620000028J9971;Feld hinter dem Garten
057620000028J9972;Feld am Mühlenwege
057620000028J9980;Am Mühlenberg
057620000028J9983;Rott
057620000028J9991;Lange Wiese
057620000028J9995;Hellenberg
057620000028N0003;Allersweg
057620000028N0008;Am Kapellenberg
057620000028N0009;Am Klunsberg
057620000028N0010;Am Nikolausbrunnen
057620000028N0011;Am Park
057620000028N0013;Am Röhenbruch
057620000028N0019;Böscheburg
057620000028N0023;Burgstraße
057620000028N0026;Eggeweg
057620000028N0031;Erwitzen
057620000028N0033;Eversen
057620000028N0035;Everser Straße
057620000028N0042;Grüner Weg
057620000028N0043;Grevenburg
057620000028N0044;Große Wiese
057620000028N0048;Hohe Straße
057620000028N0049;Holsterstraße
057620000028N0052;Hospitalstraße
057620000028N0053;Im Emmertal
057620000028N0055;Kariensiek
057620000028N0056;Keilstraße
057620000028N0057;Klingelstraße
057620000028N0058;Kupferschmiede
057620000028N0059;Lange Straße
057620000028N0060;Lärchenweg
057620000028N0061;Lehmkuhle
057620000028N0062;Lüttge Straße
057620000028N0063;Marienstraße
057620000028N0064;Marktstraße
057620000028N0068;Nikolausstraße
057620000028N0069;Nordfeld
057620000028N0070;Obere Mauerstraße
057620000028N0073;Oeynhauser Straße
057620000028N0074;Ortstraße
