05566000006401001;Altenberger Str.
05566000006401002;Am Bahnhof
05566000006401003;Am Egen
05566000006401004;Am Höppenbach
05566000006401005;Amselgasse
05566000006401006;Am Teich
05566000006401007;Amtmann-Daniel-Str.
05566000006401008;Am Tümpel
05566000006401009;An der Wallhecke
05566000006401010;Auf dem Esch
05566000006401011;Augustin-Wibbelt-Str.
05566000006401012;Bahnhofstr.
05566000006401013;Barkhof
05566000006401014;Bispingallee
05566000006401015;Darupstr.
05566000006401016;Dömerstiege
05566000006401017;Dorfkamp
05566000006401018;Drosselstiege
05566000006401019;Droste-Hülshoff-Str.
05566000006401020;Eichendorffstr.
05566000006401021;Emsdettener Str.
05566000006401022;Ernst-Mummenhoff-Str.
05566000006401023;Feldstr.
05566000006401024;Felix-Fraling-Str.
05566000006401025;Finkenbreil
05566000006401026;Fritz-Reuter-Str.
05566000006401027;Gartenstr.
05566000006401028;Gerhart-Hauptmann-Str.
05566000006401029;Greßkamp
05566000006401030;Grevener Str.
05566000006401031;Grottenkamp
05566000006401032;Grüner Grund
05566000006401033;Grüner Weg
05566000006401034;Gustav-Adolf-Str.
05566000006401035;Heckenweg
05566000006401036;Hermann-Stehr-Str.
05566000006401037;Hilgenbrinker Str.
05566000006401038;Hochfeld
05566000006401039;Hohlweg
05566000006401040;Hoppenstiege
05566000006401041;Im Wiesengrund
05566000006401042;Kantstr.
05566000006401043;Kiebitzweg
05566000006401044;Kirchstr.
05566000006401045;Kliftstiege
05566000006401046;Krankenhausweg
05566000006401047;Krummer Timpen
05566000006401048;Lange Str.
05566000006401049;Langemeerstr.
05566000006401050;Langenkamp
05566000006401051;Lerchenweg
05566000006401052;Löttkenstr.
05566000006401053;Marienstr.
05566000006401054;Meisengrund
05566000006401055;Mühlenweg
05566000006401056;Patres-Cohausz-Str.
05566000006401057;Paul-Gerhardt-Str.
05566000006401058;Pfarrer-Jansen-Str.
05566000006401059;Pröbstingstr.
05566000006401060;Rottstiege
05566000006401061;Sandstiege
05566000006401062;St.-Hedwig-Str.
05566000006401063;Schulgasse
05566000006401064;Sieverts Kamp
05566000006401065;Spindelstr.
05566000006401066;Steinstr.
05566000006401067;Theodor-Körner-Str.
05566000006401068;Tiggelstiege
05566000006401069;Uhlenhorst
05566000006401070;Wallgraben
05566000006401071;Weberstr.
05566000006401072;Wehrstr.
05566000006401073;Welle
05566000006401074;Wilhelmstr.
05566000006401075;Meerstiege
05566000006401076;Wichernstr.
05566000006401077;Woort
05566000006401079;Gildestr.
05566000006401080;Niederrott
05566000006401081;Am Hellbach
05566000006401082;Hermann-Löns-Weg
05566000006401083;Karl-Wagenfeld-Str.
05566000006401084;Natz-Thier-Str.
05566000006401085;Westring
05566000006401086;Heinrich-Scheele-Str.
05566000006401087;Van-Heyden-Str.
05566000006401088;Denkerstiege
05566000006401089;Ladestr.
05566000006401090;Gangolfstr.
05566000006401091;Fürstengrund
05566000006401092;Kohkamp
05566000006401093;Merschkamp
05566000006401094;Weidkamp
05566000006401096;Wattendorffweg
05566000006401097;Kleikamp
05566000006401098;Am Speicher
05566000006401100;Feldbauerschaft
05566000006401101;Kirchbauerschaft
05566000006401102;Scheddebrock
05566000006401103;Suttorf
05566000006401104;Westerode
05566000006401105;An der Bleiche
05566000006401106;Am Brink
05566000006401107;Max-Verspohl-Str.
05566000006401109;Camille-Leclaire-Str.
05566000006401110;Eggenkamp
05566000006401111;Ackerrain
05566000006401112;Wiesenaue
05566000006401113;Industriestr.
05566000006401114;Leugermannstr.
05566000006401116;An den Bahngleisen
05566000006401117;Ollenkamp
