strassenschluessel;bezeichnung
05558000003238301;Alter Kirchweg
05558000003238302;Ahornweg
05558000003238303;Alter Sportplatz
05558000003238304;Am Bagno
05558000003238305;Am Hagenbach
05558000003238306;Akazienweg
05558000003238307;Am Detterbach
05558000003238308;Altar Busch
05558000003238309;Alte Landstraße
05558000003238310;Am Hang
05558000003238315;Amselweg
05558000003238317;Am Zippenberg
05558000003238320;Am Schlagbaum
05558000003238325;Am Südhang
05558000003238327;Am Vogelbusch
05558000003238328;An den Bächen
05558000003238330;An der Vogelstange
05558000003238335;Antonistraße
05558000003238336;Antonius-Averkorn-Weg
05558000003238340;Appelhülsener Str.
05558000003238345;Auf dem Baumbus
05558000003238350;Auf dem Esch
05558000003238355;Auf der Alten Breide
05558000003238360;Auf der Burg
05558000003238365;Auf der Heide
05558000003238370;Bachstraße
05558000003238375;Bahnhofstraße
05558000003238380;Bakenstraße
05558000003238385;Baumberg
05558000003238390;Beethovenstraße
05558000003238391;Beisenbusch
05558000003238393;Bernhard-Letterhaus-Str.
05558000003238395;Billerbecker Straße
05558000003238397;Birkenweg
05558000003238400;Bodelschwinghstraße
05558000003238408;Bruder-Hermann-Frye-Straße
05558000003238410;Brulandstraße
05558000003238411;Buchenweg
05558000003238412;Buckenkamp
05558000003238413;Bürgermeister-Eberhardt-Weg
05558000003238415;Burgstraße
05558000003238420;Busenbaumstraße
05558000003238423;Bussardweg
05558000003238425;Buxtrup
05558000003238430;Carl-Diem-Ring
05558000003238433;Cilly-Aussem-Weg
05558000003238435;Coesfelder Straße
05558000003238437;Coubertin-Straße
05558000003238440;Daruper Straße
05558000003238442;Dechant-Deitmer-Weg
05558000003238443;Dechant-Vehoff-Weg
05558000003238445;Detterheide
05558000003238450;Detterhoek
05558000003238455;Diekhoff
05558000003238460;Dirksfeld
05558000003238462;Distelweg
05558000003238465;Domherrengasse
05558000003238467;Dorp-Kamp
05558000003238470;Draum
05558000003238475;Dülmener Straße
05558000003238480;Eckelskamp
05558000003238485;Eckenhovener Weg
05558000003238490;Edisonstraße
05558000003238491;Elisabeth-Schwarzhaupt-Weg
05558000003238492;Feldstiege
05558000003238493;Eichenweg
05558000003238494;Elisabeth-Selbert-Straße
05558000003238495;Erlenstraße
05558000003238496;Eschkamp
05558000003238497;Fasanenfeld
05558000003238498;Falkenstraße
05558000003238500;Finkenweg
05558000003238505;Flurstraße
05558000003238508;Franz-Ballhorn-Weg
05558000003238509;Franz-Hitze-Straße
05558000003238510;Frenkings-Allee
05558000003238512;Frieda-Nadig-Straße
05558000003238515;Friedensstraße
05558000003238520;Friedhofstraße
05558000003238525;Friedr.-Castelle-Str
05558000003238530;Fuldastraße
05558000003238535;Gartenstraße
05558000003238540;Gladbeck
05558000003238541;Gottfried-Könzgen-Straße
05558000003238542;Grauten Ihl
05558000003238545;Groenwold
05558000003238550;Grüner Weg
05558000003238553;Habichtweg
05558000003238555;Hagenstraße
05558000003238560;Hahnsweg
05558000003238565;Hamkamp
05558000003238570;Händelstraße
05558000003238575;Hangenau
05558000003238577;Hanhoff
05558000003238578;Hanns-Martin-Schleyer-Str
05558000003238580;Hanrorup
05558000003238585;Harfelder Weg
05558000003238590;Hastehausen
05558000003238595;Havixbecker Straße
05558000003238600;Haydnstraße
05558000003238605;Heitbrink
05558000003238607;Helene-Weber-Straße
05558000003238608;Helene-Wessel-Platz
05558000003238610;Heller
05558000003238615;Hellerstraße
05558000003238618;Heriburgstraße
05558000003238620;Hochfeldstraße
05558000003238625;Horst
05558000003238630;Hövel
05558000003238635;Hovestadt
05558000003238640;Humboldtweg
05558000003238641;Hummelbachtal
05558000003238645;Im Nott
05558000003238650;Im Wiesengrund
05558000003238655;Industriestraße
05558000003238657;Jahnstraße
05558000003238658;Josef-Gerlach-Pättken
05558000003238659;Jesse-Owens-Straße
05558000003238660;Kalbhenstraße
05558000003238661;Josef-Uhlenbrock-Weg
05558000003238662;Junkers-Straße
05558000003238663;Joseph-Moehlen-Platz
05558000003238665;Kampstraße
05558000003238667;Kapellenweg
05558000003238670;Kastanienplatz
05558000003238675;Kettelerstraße
05558000003238680;Kirchplatz
05558000003238685;Kirchstraße
05558000003238686;Kirschbaumweg
05558000003238688;Kleeweg
05558000003238690;Kley
05558000003238695;Kolpingstraße
05558000003238700;Königstraße
05558000003238703;Kreulich-Straße
05558000003238705;Koettling
05558000003238710;Kücklingsweg
05558000003238715;Kurze Straße
05558000003238720;Laerbrockweg
05558000003238722;Leopoldshöhe
05558000003238723;Lerchenhain
05558000003238725;Liebigstraße
05558000003238727;Lilienthal-Straße
05558000003238730;Limbergen
05558000003238735;Lindenstraße
05558000003238737;Lise-Meitner-Straße
05558000003238740;Lönsstraße
05558000003238743;Lotte-Bach-Weg
05558000003238745;Ludgeruspaettken
05558000003238750;Marienplatz
05558000003238753;Martin-Luther-Str.
05558000003238755;Martinistraße
05558000003238760;Mauritzstraße
05558000003238761;Milanweg
05558000003238762;Mohnweg
05558000003238765;Mozartstraße
05558000003238770;Mühlenstraße
05558000003238771;Mühlenweg
05558000003238775;Mühlsdorfer Straße
05558000003238780;Münsterstraße
05558000003238785;Nachtigallengrund
05558000003238790;Neuer Weg
05558000003238795;Niederstockumer Weg
05558000003238800;Nieresch
05558000003238801;Nikolaus-Groß-Straße
05558000003238803;Nonnenbachtal
05558000003238804;Nurmi-Straße
05558000003238805;Oberstockumer Weg
05558000003238808;Olympiastraße
05558000003238810;Ostlandstraße
05558000003238815;Oststraße
05558000003238817;Otto-Hahn-Straße
05558000003238818;Pastor-Hoffmann-Str.
05558000003238820;Pakenstraße
05558000003238823;Pastorskamp
05558000003238824;Pfarrer-Wesselinck-Str.
05558000003238825;Potthof
05558000003238826;Pf.-Kroos-Straße
05558000003238827;Platanenweg
05558000003238830;Prozessionsweg
05558000003238835;Quellenweg
05558000003238837;Rebhuhnweg
05558000003238840;Regerstraße
05558000003238845;Reimodisstraße
05558000003238850;Rohlmannsweg
05558000003238855;Roibartstraße
05558000003238860;Roruper Straße
05558000003238862;Rosenweg
05558000003238864;Rotdornweg
05558000003238865;Roxeler Straße
05558000003238870;Rudolf-Harbig-Str.
05558000003238873;Salmpättken
05558000003238875;Sebastianplatz
05558000003238880;Sendener Straße
05558000003238883;Sepp-Herberger-Str.
05558000003238885;Siemensstraße
05558000003238886;Sonnenstiege
05558000003238887;Suedfeldweg
05558000003238890;Südstraße
05558000003238895;Schapdettener Str.
05558000003238900;Schenkingstraße
05558000003238905;Schlaunstraße
05558000003238907;Schlehbiek
