strassenschluessel;bezeichnung
05562000002800020;Adam-Stegerwald-Straße
05562000002800030;Adolph-Kolping-Weg
05562000002800040;Agnesstraße
05562000002800060;Ahornstraße
05562000002800080;Ahsener Straße
05562000002800120;Albertstraße
05562000002800140;Albrechtstraße
05562000002800150;Am Ehrenmal
05562000002800155;Am Förderturm
05562000002800160;Amselweg
05562000002800165;Am Hain
05562000002800167;Am Hilgenbach
05562000002800169;Am Eichenhof
05562000002800170;Am Kippgarten
05562000002800172;Am Malters
05562000002800175;Am Schillerpark
05562000002800180;Am Stimbergpark
05562000002800190;Am Tellkamp
05562000002800200;Am Weidenbaum
05562000002800210;Am Ziegeleitor
05562000002800220;An der Aue
05562000002800240;An der Bredde
05562000002800260;An der Dillenburg
05562000002800270;An der Feuerwache
05562000002800275;An der Stimbergschule
05562000002800280;An der Zechenbahn
05562000002800300;Auf dem Kolven
05562000002800320;Auf'm Heidacker
05562000002800338;August-Schmidt-Straße
05562000002800340;Auguststraße
05562000002800360;Bachstraße
05562000002800380;Bahnstraße
05562000002800400;Barbarastraße
05562000002800420;Beethovenstraße
05562000002800440;Bergstraße
05562000002800460;Berliner Platz
05562000002800465;Bernhardstraße
05562000002800480;Birkenweg
05562000002800500;Blumenstraße
05562000002800520;Börster Grenzweg
05562000002800540;Börster Weg
05562000002800560;Bossbrauck
05562000002800580;Brahmsstraße
05562000002800600;Brandstraße
05562000002800610;Brandenburger Straße
05562000002800620;Brauckweg
05562000002800640;Brechtstraße
05562000002800650;Breslauer Straße
05562000002800660;Brinkmannstraße
05562000002800680;Buchenstraße
05562000002800700;Buhrort
05562000002800720;Buschstraße
05562000002800740;Christoph-Stöver-Straße
05562000002800760;Clemensstraße
05562000002800780;Dahlbredde
05562000002800800;Dahlienweg
05562000002800810;Danziger Straße
05562000002800830;Denningsgraben
05562000002800840;Devensstraße
05562000002800860;Donaustraße
05562000002800880;Dreischenkamp
05562000002800900;Dresdener Straße
05562000002800910;Drosselweg
05562000002800920;Eichendorffstraße
05562000002800940;Elbestraße
05562000002800960;Elisabethstraße
05562000002800970;Elsa-Brandström Straße
05562000002800980;Emscherstraße
05562000002801000;Engelbertstraße
05562000002801010;Engelskamp
05562000002801020;Erlenweg
05562000002801025;Ernststraße
05562000002801040;Esseler Bruch
05562000002801060;Esseler Straße
05562000002801080;Ewaldstraße
05562000002801100;Feldstraße
05562000002801120;Fichtestraße
05562000002801140;Finkenweg
05562000002801160;Flaesheimer Straße
05562000002801165;Fliederweg
05562000002801180;Föhrenweg
05562000002801200;Freiheitstraße
05562000002801220;Freiligrathstraße
05562000002801240;Friedhofstraße
05562000002801260;Friedrichstraße
05562000002801280;Fritz-Husemann-Straße
05562000002801300;Fritz-Reuter-Straße
05562000002801320;Gartenstraße
05562000002801340;Geistfeldweg
05562000002801341;Geranienweg
05562000002801342;Ginsterweg
05562000002801360;Glück-Auf-Straße
05562000002801380;Goethestraße
05562000002801400;Gregorstraße
05562000002801420;Grevelstraße
05562000002801440;Grimmweg
05562000002801460;Groß-Erkenschw.-Straße
05562000002801480;Grüner Weg
05562000002801500;Haardgrenzweg
05562000002801520;Haardstraße
05562000002801530;Hagedornstraße
05562000002801540;Händelweg
