strassenschluessel;bezeichnung
05766000005605001;Ahornweg
05766000005605002;Albrecht-Ober-Platz
05766000005605003;Am Iberg
05766000005605004;Am Kopphof
05766000005605005;Am Mühlenteich
05766000005605006;Am Sportplatz
05766000005605007;Am Walde
05766000005605008;Apfelstraße
05766000005605009;Auf der Brede
05766000005605010;Auf der Neustadt
05766000005605011;Bahnhofstraße
05766000005605012;Bergstraße
05766000005605013;Bielefelder Straße
05766000005605014;Birkenweg
05766000005605015;Blumenstraße
05766000005605016;Buchenweg
05766000005605017;Dresdner Straße
05766000005605018;Eichenstraße
05766000005605019;Ellernstraße
05766000005605020;Feldstraße
05766000005605021;Flurstraße
05766000005605022;Friedhofsweg
05766000005605023;Gartenstraße
05766000005605024;Goldstraße
05766000005605025;Grabbestraße
05766000005605026;Grüne Wiese
05766000005605027;Hambusch
05766000005605028;Im Felde
05766000005605029;Im Gehren
05766000005605030;Im Graskamp
05766000005605031;Im Lappenbusch
05766000005605032;Im Mackenbruch
05766000005605033;Im Sandkamp
05766000005605034;Im Stillen Winkel
05766000005605035;Jahnstraße
05766000005605036;Lärchenweg
05766000005605037;Lagesche Straße
05766000005605038;Leipziger Straße
05766000005605039;Lindenweg
05766000005605040;Lortzingstraße
05766000005605041;Mackenbrucher Straße
05766000005605042;Magdeburger Straße
05766000005605043;Mühlenstraße
05766000005605044;Obere Straße
05766000005605045;Oetenhauser Straße
05766000005605046;Oststraße
05766000005605047;Rosenstraße
05766000005605048;Südhang
05766000005605049;Schillerweg
05766000005605050;Steinweg
05766000005605051;Stettiner Straße
05766000005605052;Tannenweg
05766000005605053;Ulmenstraße
05766000005605054;Uphofweg
05766000005605055;Währentruper Straße
05766000005605056;Weißer Weg
05766000005605057;Wellentruper Straße
05766000005605058;Wistinghauser Straße
05766000005605059;Zum Havergo
05766000005605060;Danziger Straße
05766000005605061;Detmolder Straße
05766000005605062;Viehstraße
05766000005605063;Vorm Obernberge
05766000005605064;Kachtenhauser Straße
05766000005605065;Kleistweg
05766000005605066;Am Räkerhof
05766000005605067;Im Storm
05766000005605068;Im Elkenkamp
05766000005605069;Osterheide
05766000005605070;Ackerweg
05766000005605071;Am Kuffenbach
05766000005605072;Im Heidsiek
05766000005605073;Am Holzkamp
05766000005605074;Eschenweg
05766000005605075;Kurze Straße
05766000005605076;Fliederweg
05766000005605077;Meierfeld
05766000005605078;Im Gartenland
05766000005605101;Alter Mühlenweg
05766000005605102;Am Brinkhof
05766000005605103;Robert-Kronfeld-Straße
05766000005605104;Am Schwarzen Teich
05766000005605105;Amselweg
05766000005605106;Bachstraße
05766000005605107;Baumheide
05766000005605108;Bokelfenner Straße
05766000005605109;Bokelweg
05766000005605110;Brandsheide
05766000005605111;Brandsmühle
05766000005605112;Brückenweg
05766000005605113;Dalbker Straße
05766000005605113;Dalbker Straße
05766000005605113;Dalbker Straße
05766000005605114;Erikaweg
05766000005605115;Finkenweg
05766000005605116;Forellenweg
05766000005605117;Glatzer Straße
05766000005605118;Glockenheide
05766000005605119;Hasenheide
05766000005605120;Heideweg
05766000005605121;Hellweg
05766000005605122;Karpfenweg
05766000005605123;Kiefernweg
05766000005605124;Lämershagener Straße
05766000005605125;Menkhauser Weg
05766000005605126;Mittelweg
05766000005605127;Obere Reihe
05766000005605128;Pollmannsweg
05766000005605129;Schleienweg
05766000005605130;Schulstraße
05766000005605131;Stapelager Weg
05766000005605131;Stapelager Weg
05766000005605132;Stieglitzweg
05766000005605133;Stukenbrocker Weg
05766000005605134;Teichstraße
05766000005605135;Untere Reihe
05766000005605136;Wellbachstraße
05766000005605137;Westerholter Straße
05766000005605138;Winkelweg
05766000005605139;Wistinghauser Senne
05766000005605140;Zum Forsthaus
05766000005605141;Zum Rosenteich
05766000005605142;Zur Schmiede
05766000005605143;Holter Straße
05766000005605144;Hudeweg
05766000005605145;Landerweg
05766000005605146;Rudolf-Diesel-Straße
05766000005605147;Drosselweg
05766000005605148;Schopke
05766000005605149;Im Hermstoffel
05766000005605150;Buchweizenweg
05766000005605151;Starenweg
05766000005605152;Flachsweg
05766000005605155;Sperlingsweg
05766000005605156;Bussardweg
05766000005605157;Robert-Hanning-Straße
05766000005605158;Paul-Stecker-Weg
05766000005605159;August-Prante-Weg
05766000005605160;Schwalbenweg
05766000005605161;Ammernweg
05766000005605201;Adolf-Sültemeier-Straße
05766000005605202;Akazienkamp
05766000005605203;Albert-Schweitzer-Straße
05766000005605204;Am Buchenbrink
05766000005605205;Am Kalderberg
05766000005605206;Am Lehmstich
05766000005605207;Am Widfeld
05766000005605208;An der Bleiche
05766000005605209;Auf dem Berge
05766000005605210;Auf dem Röden
05766000005605211;Auf dem Sande
05766000005605212;Auf der Helle
05766000005605213;Auf der Wasserfurche
05766000005605214;Barkhauser Weg
05766000005605215;Berliner Straße
05766000005605216;Blumenbrink
05766000005605217;Brachtshof
05766000005605218;Breitegrund
05766000005605219;Breiter Esch
05766000005605220;Breslauer Straße
05766000005605221;Bruchweg
