strassenschluessel;bezeichnung
05558000003639120;Ackerrain
05558000003639125;Ächterheide
05558000003639126;Asternweg
05558000003639128;Alfred-Krupp-Straße
05558000003639129;Alexander-Fleming-Straße
05558000003639130;Ahornweg
05558000003639131;Anne-Frank-Straße
05558000003639132;Alleeweg
05558000003639133;Albert-Einstein-Weg
05558000003639134;Alter Postweg
05558000003639135;Am Hohen Ufer
05558000003639136;Albert-Schweitzer-Straße
05558000003639137;Alfred-Nobel-Straße
05558000003639138;Am Landesteg
05558000003639139;Am Lambertgraben
05558000003639140;Am Recheder Weg
05558000003639141;An der Alten Fahrt
05558000003639142;Auf der Heide
05558000003639143;Am Sandforter Bach
05558000003639144;Am Wall
05558000003639145;Am Stadtpark
05558000003639146;Am Uland
05558000003639147;Am Westendorp
05558000003639148;An den Eichen
05558000003639149;Benthof
05558000003639150;Bernhard-Holtmann-Straße
05558000003639151;Beethovenweg
05558000003639155;Bilholtstraße
05558000003639160;Birkenallee
05558000003639161;Blomesaat
05558000003639162;Bockholter Balwe
05558000003639163;Bodelschwinghstraße
05558000003639165;Borker Landweg
05558000003639170;Borker Straße
05558000003639170;Borker Straße
05558000003639172;Brinkplatz
05558000003639173;Brunswicker Straße
05558000003639175;Buchenweg
05558000003639178;Carl-Benz-Straße
05558000003639179;Conrad-Röntgen-Straße
05558000003639180;Dammweg
05558000003639182;Dachsgrund
05558000003639183;Dahlienweg
05558000003639185;Dattelner Straße
05558000003639186;Dietrich-Bonhoeffer-Straße
05558000003639187;Dortland
05558000003639188;Drosseleck
05558000003639190;Eckernkamp
05558000003639192;Edith-Stein-Straße
05558000003639195;Eichenstraße
05558000003639199;Euleneck
05558000003639200;Erlenstraße
05558000003639202;Eversumer Straße
05558000003639203;Fasanenhügel
05558000003639204;Fehlgang
05558000003639205;Feldmark
05558000003639210;Feldstraße
05558000003639211;Finkenbusch
05558000003639212;Finkenweg
05558000003639213;Fliederweg
05558000003639214;Föhrenbrink
05558000003639215;Freiherr-vom-Stein-Straße
05558000003639217;Fröbelstraße
05558000003639218;Fuchsloch
05558000003639220;Funnenkampstraße
05558000003639225;Gartenstraße
05558000003639227;Goetheweg
05558000003639228;Gerhart-Hauptmann-Weg
05558000003639229;Gottlieb-Daimler-Straße
05558000003639230;Grüner Weg
05558000003639232;Gühlers Busch
05558000003639233;Habichthorst
05558000003639234;Gustav-Heinemann-Weg
05558000003639235;Hafenstraße
05558000003639237;Hahnenberg
05558000003639238;Hasenbrink
05558000003639239;Hasenplatte
05558000003639240;Hauptstraße
05558000003639241;Haus Sandfort
05558000003639242;Heckenweg
05558000003639243;Haydnweg
05558000003639244;Haus Füchteln
05558000003639245;Heideweg
05558000003639250;Heidkamp
05558000003639252;Heinrich-Bergmann-Weg
05558000003639254;Heinz-Erhardt-Weg
05558000003639255;Hengstelbrook
05558000003639256;Herderweg
05558000003639257;Herrenburg
05558000003639258;Hermann-Hesse-Weg
05558000003639260;Himmelmannstraße
05558000003639262;Hoddenstraße
05558000003639263;Hohe Lüchte
05558000003639264;Hullerner Straße
05558000003639265;Im Berg
05558000003639270;Im Hagen
05558000003639275;Im Holoh
05558000003639280;Im Hüningholz
05558000003639285;Im Rott
05558000003639290;Im Selken
05558000003639295;Im Tigg
05558000003639300;Im Winkel
05558000003639305;Im Worth
05558000003639310;In den Gärten
05558000003639315;Josef-Horstmann-Weg
05558000003639320;Kampstraße
05558000003639322;Kapellenweg
05558000003639325;Kanalstraße
05558000003639328;Kardinal-von-Galen-Straße
05558000003639330;Kastanienweg
05558000003639335;Kiebitzheide
05558000003639340;Kiefernweg
05558000003639345;Kirchstraße
05558000003639347;Kleiner Rübenkamp
05558000003639350;Kökelsum
05558000003639355;Kökelsumer Straße
05558000003639357;Kolpingweg
05558000003639358;Konrad-Lorenz-Straße
05558000003639360;Kreuzstraße
05558000003639362;Kuckuckshöhe
05558000003639363;Kurbaum
05558000003639365;Lärchenstraße
05558000003639369;Lehmhegge
05558000003639370;Lehmkamp
