05770000002808002;Auf dem Huhne
05770000002808003;Auf der Bult
05770000002808004;Bierderloh
05770000002808005;Borstel
05770000002808006;Bultkamp
05770000002808007;Büntering
05770000002808008;Hespeweg
05770000002808009;Ilsebäumen
05770000002808010;Im Dicken
05770000002808011;Im Dorf
05770000002808012;Kleibergkamp
05770000002808013;Kleibergstraße
05770000002808014;Landriehe
05770000002808015;Meierend
05770000002808016;Osterend
05770000002808017;Osterkamp
05770000002808018;Rahenweg
05770000002808019;Riehegrund
05770000002808020;Schnetbrink
05770000002808021;Stehbrink
05770000002808022;Zum Heidloh
05770000002808023;Bierder Mühle
05770000002808032;Buchholzer Eck
05770000002808033;Buchholzer Esch
05770000002808034;Buchholzer Klei
05770000002808035;Buchholzer Mark
05770000002808036;Buchholzer Straße
05770000002808037;Buchholzer Ufer
05770000002808038;Buchholzer Wall
05770000002808039;Buchholzer Wisch
05770000002808047;Am Graben
05770000002808048;Am Hügel
05770000002808049;Bickbeeren
05770000002808050;Döhrener Straße
05770000002808051;Elmenhorst
05770000002808052;Fiskerring
05770000002808053;Ginsterweg
05770000002808054;Hahnenberg
05770000002808055;Heuken
05770000002808056;Heidberg
05770000002808057;Jammerbeeke
05770000002808058;Loccumer Straße
05770000002808059;Meerstraße
05770000002808060;Meierdiek
05770000002808061;Moorbusch
05770000002808062;Rombachstraße
05770000002808063;Sandgraben
05770000002808064;Seelenfelder Straße
05770000002808065;Sonnenberg
05770000002808066;Steinallern
05770000002808067;Steinkamp
05770000002808068;Tipperberg
05770000002808069;Ützenburg
05770000002808070;Wittenbeeke
05770000002808071;Zur Borg
05770000002808072;Zum Heidkamp
05770000002808073;Sumpfstraße
05770000002808074;Auf dem Brink
05770000002808075;Auf dem Brame
05770000002808077;Am Hundesteg
05770000002808078;Am Schulbusch
05770000002808079;Böcheringweg
05770000002808081;Brunsdamm
05770000002808082;Düpestraße
05770000002808083;Eldagser Bruchweg
05770000002808084;Eldagser Dorfstraße
05770000002808085;Eldagser Postweg
05770000002808086;Eldagser Wilhelmsweg
05770000002808087;Engelingsbruchweg
05770000002808088;Feuerschicht
05770000002808089;Gruhlandweg
05770000002808090;Haller Heideweg
05770000002808091;Heerderstraße
05770000002808092;Kerkweg
05770000002808093;Klockenbrink
05770000002808094;Maaslinger Grenzweg
05770000002808095;Mühlenweg
05770000002808096;Ösperweg
05770000002808097;Osterhop
05770000002808098;Ruhhorn
05770000002808099;Schünenkamp
05770000002808100;Speckenweg
05770000002808101;Steinhorn
05770000002808102;Stoffersweg
05770000002808103;Thüneweg
05770000002808104;Rippenwall
05770000002808105;Blenkenkamp
05770000002808107;Am Alten Friedhof
05770000002808108;Am Denkmal
05770000002808109;Am Mindener Wald
05770000002808110;Am Tonloch
05770000002808112;Auf den Höfen
05770000002808113;Bahndamm
05770000002808114;Binsengrund
05770000002808115;Bohnhorster Weg
05770000002808116;Brandheide
05770000002808117;Brandheider Weg
05770000002808118;Braukamp
05770000002808119;Diekhoff
05770000002808120;Diekweg
05770000002808121;Förthofstraße
05770000002808122;Friedewalder Straße
05770000002808123;Galgenfeld
05770000002808124;Galgenheider Straße
05770000002808125;Hallbruch
05770000002808126;Hasenheide
05770000002808127;Hinterm Felde
05770000002808128;Holzhauser Straße
05770000002808129;Im Piewitzfeld
05770000002808130;In den Dannen
05770000002808131;In den Wiesen
05770000002808132;In der Galgenheide
05770000002808133;In der Tucht
05770000002808134;Kämpenweg
05770000002808135;Kiefernweg
05770000002808136;Kleiriehe
05770000002808137;Kocks Diek
05770000002808138;Küntkenhof
05770000002808139;Lavelsloher Straße
05770000002808140;Lindheide
05770000002808141;Möllers Kamp
05770000002808142;Ossenweider Weg
05770000002808143;Pastorenfeld
05770000002808144;Raiffeisenweg
05770000002808145;Rieheweg
05770000002808146;Sandkuhle
05770000002808147;Schierenbeuken
05770000002808148;Schloort
05770000002808149;Schlüts Kamp
05770000002808150;Schwefeld
05770000002808151;Südfelder Straße
05770000002808152;Süntkebrink
05770000002808153;Tuchtweg
05770000002808154;Unter den Eichen
05770000002808155;Wegholmer Kämpe
05770000002808156;Wegholmer Mühle
05770000002808157;Wegholmer Straße
05770000002808158;Zum Rhien
05770000002808159;Zum Strang
05770000002808160;Zur Düpe
05770000002808161;Zur Kloppenburg
05770000002808162;Großer Kamp
05770000002808163;Zur Alten Mühle
05770000002808164;Brunsfeld
05770000002808165;Rudolf-Hergt-Weg
05770000002808176;Am Bahnhof
05770000002808177;Am Brink
05770000002808178;Am Bruch
05770000002808179;Aueweg
05770000002808180;Auf der Lehmkuhle
05770000002808181;Bodendorfer Weg
05770000002808182;Brakfeld
05770000002808183;Breede
05770000002808184;Brunnenweg
05770000002808185;Erstes Dorf
05770000002808186;Eschtor
05770000002808187;Freithof
05770000002808188;Gartenstraße
05770000002808189;Hackshorst
05770000002808190;Heckenweg
05770000002808191;Holzstraße
05770000002808192;Klappenburg
05770000002808193;Lahder Straße
05770000002808194;Lichtenberg
05770000002808195;Lüttge Straße
05770000002808196;Mitteldorf
05770000002808197;Rothehof
05770000002808198;Salkamp
05770000002808199;Schaumburger Straße
05770000002808200;Schlagenfeld
05770000002808201;Schwarzer Weg
05770000002808202;Tinnenweg
05770000002808203;Weserdamm
05770000002808204;Wietersheimer Straße
05770000002808205;Vahrenfeld
05770000002808206;Barnau
05770000002808207;Grundfeld
05770000002808208;Über den Wiesen
05770000002808209;Schellerhauer Straße
05770000002808210;Meierwisk
05770000002808211;Osterbruch
05770000002808212;Friller Wiesen
05770000002808213;Grotjahnsweg
