05158000002812002;Adalbert-Stifter-Straße
05158000002812004;Adlerstraße
05158000002812005;Altdorferstraße
05158000002812007;Am Gardumshof
05158000002812008;Agnesstraße
05158000002812009;Am Altenhof
05158000002812010;Ahornstraße
05158000002812011;Akazienweg
05158000002812012;Alter Kirchweg
05158000002812013;Allscheidt
05158000002812014;Altenbrachtweg
05158000002812015;Ambrosiusring
05158000002812016;Altenkamp
05158000002812017;Alte Kölner Straße
05158000002812018;Am Adels
05158000002812019;Birkhahnweg
05158000002812020;Rotkehlchenweg
05158000002812021;Schwalbenweg
05158000002812022;Amselweg
05158000002812023;Am Alten Steinhaus
05158000002812024;Am Benderskothen
05158000002812025;Am Est
05158000002812027;Am Biermannskothen
05158000002812029;Am Brand
05158000002812030;Am Bremenfeld
05158000002812031;Am Eulenberg
05158000002812032;Am Bruch
05158000002812033;Am Butterbusch
05158000002812034;Am Feldkothen
05158000002812035;Am Dickelsbach
05158000002812036;Am Dickhaus
05158000002812037;Am Ehrkamper Bruch
05158000002812038;Am Gehren
05158000002812039;Am Eichförstchen
05158000002812040;Am Engsberg
05158000002812041;Am Feld
05158000002812042;Am Gratenpoet
05158000002812043;Laupendahlweg
05158000002812044;Am Fliegelskamp
05158000002812045;Am Heienbruch
05158000002812046;Am Hang
05158000002812048;Am Fußbein
05158000002812049;Am Geist
05158000002812050;Am Heiderhof
05158000002812051;Am Gierath
05158000002812052;Wedenhof
05158000002812053;Am Heidkamp
05158000002812054;Am Hohen Schoppen
05158000002812055;Am Graben
05158000002812056;Am Häuschen
05158000002812057;Annastraße
05158000002812058;Am Heck
05158000002812059;Am Heintges
05158000002812060;Am Höfel
05158000002812061;Am Kleinen Rahm
05158000002812062;Am Kämpchen
05158000002812063;Am Kessel
05158000002812064;Am Kiefernhain
05158000002812065;Am Krumbachskothen
05158000002812066;Am Kockshof
05158000002812067;Am Kohlendey
05158000002812068;Am Krummenweg
05158000002812069;Am Lindchen
05158000002812070;Am Löken
05158000002812071;Lintorfer Markt
05158000002812072;Am Obersthof
05158000002812073;Am Ostbahnhof
05158000002812074;Am Pannschoppen
05158000002812075;Am Pferdskamp
05158000002812076;Am Pfingsberg
05158000002812077;Am Pöstchen
05158000002812078;Am Pohlacker
05158000002812079;Am Potekamp
05158000002812080;Am Rosenkothen
05158000002812081;Am Rennbaum
05158000002812082;Am Ringofen
05158000002812083;Am Ritterskamp
05158000002812084;Am Roland
05158000002812085;Am Diepebrock
05158000002812086;Am Rosenbaum
05158000002812087;Am Brüll
05158000002812088;Am Sandbach
05158000002812089;Scheivenkothen
05158000002812090;Am Brennofen
05158000002812091;Am Schlagbaum
05158000002812092;Am Söttgen
05158000002812093;Am Schließkothen
05158000002812094;Am Lehmberg
05158000002812095;Am Schimmershof
05158000002812096;Am Seeufer
05158000002812097;Am Senken
05158000002812098;Am Freistein
05158000002812099;Am Schüttensdiek
05158000002812100;Am Grünewald
05158000002812101;Am Weinhaus
05158000002812102;Am Haarbach
05158000002812103;Am Schützenbruch
05158000002812104;Am Schwarzbach
05158000002812105;Am Södrath
05158000002812106;Am Sonnenhang
05158000002812107;Am Stadion
05158000002812108;Am Sonnenschein
05158000002812109;Am Speckamp
05158000002812110;Am Sportplatz
05158000002812111;Am Waldfriedhof
05158000002812112;Am Steinhaus
05158000002812113;Am Tannenbaum
05158000002812114;Am Waldrand
05158000002812115;Am Teckenberg
05158000002812116;Am Timpen
05158000002812117;Am Vogelsang
05158000002812118;Am Westbahnhof
05158000002812119;Am Wäldchen
05158000002812120;Am Weiher
05158000002812121;Am Wetzelshaus
05158000002812122;Am Wiedekamp
05158000002812123;An den Banden
05158000002812124;An den Dieken
05158000002812125;An den Dörnen
05158000002812126;An den Bleichen
05158000002812127;An den Hanten
05158000002812128;An den Schlothen
05158000002812129;An der Dellen
05158000002812130;An der Fest
05158000002812131;An der Hasper
05158000002812132;An der Hoffnung
05158000002812133;An der Lilie
05158000002812134;An der Horst
05158000002812135;An der Pönt
05158000002812136;An der Renn
05158000002812137;An der Loh
05158000002812138;Am Kornsturm
05158000002812139;An der Deckersweide
05158000002812140;Am Trinsenturm
05158000002812141;An der Schlepp
05158000002812142;An der Schmeilt
05158000002812143;Kalkumer Straße
05158000002812144;Anemonenweg
05158000002812145;Angermunder Weg
05158000002812146;An der Feuerwehr
05158000002812147;Am Göfet
05158000002812148;Am Schimmersfeld
05158000002812149;Angerstraße
05158000002812150;Angerhof
05158000002812151;Asternweg
05158000002812152;Artzbergweg
05158000002812154;Arnold-Dresen-Weg
05158000002812155;Am Roten Kreuz
05158000002812156;Auenhof
05158000002812157;Am Kremershof
05158000002812158;Annette-Kolb-Straße
05158000002812159;Am Wilbert
05158000002812160;Auenweg
05158000002812161;An der Kemm
05158000002812162;Auermühle
05158000002812163;Auf dem Brinkel
05158000002812164;Auf der Aue
05158000002812165;Auf dem Sandfeld
05158000002812166;August-Prell-Straße
05158000002812167;August-Wendel-Straße
05158000002812168;Bachstraße
05158000002812169;Backeskamp
05158000002812170;An der Schinnenburg
05158000002812171;Backhausfeld
05158000002812172;Anna-Schlinkheider-Straße
05158000002812173;Am Eschenhof
05158000002812174;Badenstraße
05158000002812175;Baddenberg
05158000002812176;Bahnhofstraße
05158000002812177;Wedauer Straße
05158000002812178;Bahnhofsvorplatz
05158000002812179;Bahnstraße
05158000002812180;Am Sägewerk
05158000002812181;An der Burg
05158000002812182;Am Grünen See
05158000002812183;Barbarastraße
05158000002812184;Baulof
05158000002812185;Bayernstraße
05158000002812186;Baumschulenweg
05158000002812187;Beamtengäßchen
05158000002812188;Am Lyzeum
05158000002812189;Am Finkenhimmel
05158000002812190;Bechemer Straße
05158000002812191;Beeker Hof
05158000002812192;Bellscheider Weg
05158000002812193;Breckhauser Weg
05158000002812194;Beerenheide
05158000002812195;Bergerschule
05158000002812196;Beelitzer Straße
05158000002812197;August-Bagel-Straße
05158000002812198;Beerenkothen
05158000002812200;Bendenkamp
05158000002812201;Bennenbruch
05158000002812202;Beethovenstraße
05158000002812203;Behringstraße
05158000002812204;Benzstraße
05158000002812205;Bergiusstraße
05158000002812206;Bergstraße
05158000002812207;Mozartstraße
05158000002812208;Berliner Platz
05158000002812209;Berliner Straße
05158000002812210;Balcke-Dürr-Allee
05158000002812211;Anna-Fohrn-Straße
05158000002812212;An den alten Dieken
05158000002812213;Bertramsweg
05158000002812214;Birkenstraße
05158000002812215;Bismarckstraße
05158000002812216;Bleibergweg
05158000002812217;Bleicherhof
05158000002812219;Fritz-Bauer-Straße
05158000002812221;Bleichstraße
05158000002812222;Blomericher Weg
05158000002812223;Blücherstraße
05158000002812224;Blumenstraße
05158000002812225;Bodelschwinghstraße
05158000002812226;Bocksweg
05158000002812227;Boltenburgweg
05158000002812228;Borsigstraße
05158000002812229;Borner Weg
05158000002812230;Beuthener Straße
05158000002812231;Boxmaul
05158000002812232;Boschstraße
05158000002812233;Brachter Straße
05158000002812234;Brandenburger Straße
05158000002812235;Brandsheide
05158000002812236;Breslauer Straße
05158000002812237;Gustav-Mahler-Straße
05158000002812238;Brieger Straße
05158000002812239;Breitscheider Hof
05158000002812240;Broichhofstraße
05158000002812241;Langenkamp
05158000002812242;Broekmanstraße
05158000002812243;Breitscheider Weg
05158000002812244;Bruchstraße
05158000002812245;Anton-Klein-Weg
05158000002812246;Bruchhauser Straße
05158000002812247;Brückstraße
05158000002812251;Brücker Mühle
05158000002812255;Brügelmannweg
05158000002812259;Brunostraße
05158000002812260;Buchenhain
05158000002812262;Hartriegelstraße
05158000002812264;Bunsenstraße
05158000002812265;Carl-Zöllig-Straße
05158000002812266;Christinenstraße
05158000002812267;Christophorusweg
05158000002812268;Conesweg
05158000002812270;Cranachstraße
05158000002812271;Clarenbachweg
05158000002812272;Calor-Emag-Straße
05158000002812274;Cromforder Allee
05158000002812276;Grevenhauser Weg
05158000002812278;Cüppersweg
05158000002812279;Dachsring
05158000002812280;Dachsweg
05158000002812281;Daimlerstraße
05158000002812282;Damaschkestraße
05158000002812283;Daag-Straße
05158000002812284;D2-Park
05158000002812285;Daniel-Goldbach-Straße
05158000002812287;Danziger Straße
05158000002812289;Dechenstraße
05158000002812290;Deckersweide
05158000002812291;Diepensieper Weg
05158000002812293;Dieselstraße
05158000002812294;Dörnenburgweg
05158000002812295;Constructa-Straße
05158000002812297;Dietrichweg
05158000002812298;Doppenbergweg
05158000002812299;Dorfstraße
05158000002812301;Drengenburg
05158000002812304;Dresdener Straße
05158000002812307;Dr.-Redlich-Straße
05158000002812308;Dr.-Kessel-Straße
05158000002812309;Dümpelstraße
05158000002812312;Kiebitzweg
05158000002812313;Drosselweg
05158000002812314;Bussardweg
05158000002812315;Düngersbusch
05158000002812316;Dürerring
05158000002812320;Dürrstraße
05158000002812323;Düsseldorfer Platz
05158000002812327;Düsseldorfer Straße
05158000002812329;Duisburger Straße
05158000002812330;Else-Rouge-Weg
05158000002812331;Eckampstraße
05158000002812332;Efeuweg
05158000002812333;Eibenweg
05158000002812334;Eggerscheidter Straße
05158000002812335;Einsteinstraße
05158000002812336;Eichenstraße
05158000002812337;Edmund-Wellenstein-Straße
05158000002812338;Eickelscheidt
05158000002812339;Eisenhüttenstraße
05158000002812340;Eichendorffstraße
05158000002812341;Esprit-Allee
05158000002812342;Elisabethstraße
05158000002812343;Elsa-Brandström-Straße
05158000002812344;Ernst-Dietrich-Platz
05158000002812345;Eutelis-Platz
05158000002812346;Engelbertstraße
05158000002812347;Erich-Elsner-Weg
05158000002812348;Erfurter Straße
05158000002812349;Erlenbruch
05158000002812350;Ernst-Tacke-Weg
05158000002812351;Erlenweg
05158000002812352;Ernst-Baier-Weg
05158000002812353;Ernst-Stinshoff-Straße
05158000002812354;Eschbachstraße
05158000002812356;Ebereschenweg
05158000002812357;Eschenweg
05158000002812358;Eulerstraße
05158000002812359;Essener Straße
05158000002812360;Europaring
05158000002812361;Feldblick
05158000002812362;Everskamp
05158000002812363;Fahrenkothen
05158000002812364;Falkenstraße
05158000002812365;Felderhof
05158000002812366;Fasanenring
05158000002812367;Taubenweg
05158000002812368;Fängerskamp
05158000002812369;Feldstraße
05158000002812370;Wagnerstraße
05158000002812371;Fernholz
05158000002812373;Fester Straße
05158000002812375;Feuerdornweg
05158000002812376;Fichtenhain
05158000002812377;Fichtestraße
05158000002812380;Elsternweg
05158000002812381;Zeisigweg
05158000002812382;Finkenweg
05158000002812383;Goldammerweg
05158000002812384;Flexstraße
05158000002812388;Fliednerstraße
05158000002812389;Flurstraße
05158000002812390;Föhrenweg
05158000002812391;Franz-Rath-Platz
05158000002812392;Fontaneweg
05158000002812393;Forsthaus
05158000002812395;Franz-Schubert-Straße
05158000002812396;Freiligrathring
05158000002812397;Dr.-Gemmert-Straße
05158000002812399;Friedhofstraße
05158000002812403;Friedrichstraße
05158000002812404;Friedrichs Glück
05158000002812407;Friedrich-List-Straße
05158000002812411;Friedrich-Mohn-Straße
05158000002812412;Friedrich-Wagner-Straße
05158000002812415;Friesenstraße
05158000002812417;Fritz-Windisch-Straße
05158000002812418;Fröbelweg
05158000002812419;Am Alten Burghof
05158000002812422;Frommeskothen
05158000002812423;Biberweg
05158000002812424;Fuchsweg
05158000002812425;Füstingweg
05158000002812426;Gartenstraße
05158000002812427;Brahmsweg
05158000002812430;Gerhardstraße
05158000002812434;Gerhart-Hauptmann-Straße
05158000002812435;Georgsweg
05158000002812436;Ginsterweg
05158000002812437;Gießerstraße
05158000002812438;Glatzer Weg
05158000002812439;Gleiwitzer Straße
05158000002812440;Annabergstraße
05158000002812441;Goethestraße
05158000002812442;Rilkestraße
05158000002812443;Görlitzer Weg
05158000002812444;Gneisenaustraße
05158000002812445;Görsenkothen
05158000002812449;Götschenbeck
05158000002812450;Götzenberg
05158000002812451;Goldregenweg
05158000002812453;Gorch-Fock-Straße
05158000002812454;Gottfried-Keller-Straße
05158000002812455;Gothaer Straße
05158000002812456;Grabenstraße
05158000002812458;Gräfgenstein
05158000002812460;Graf-Adolf-Straße
05158000002812461;Graf-Recke-Weg
