05154000004451001;Ackerstraße
05154000004451002;Alte Dorfstraße
05154000004451003;Alte Driesch
05154000004451004;Alte Heerstraße
05154000004451005;Alte Poststraße
05154000004451006;Alte Molkereistraße
05154000004451007;Alte Schulstraße
05154000004451008;Alte Siedlung
05154000004451009;Alter Deichweg
05154000004451010;Am Alten Kirchhof
05154000004451011;Am Bär
05154000004451012;Am Bahndamm
05154000004451013;Am Bahnhof
05154000004451014;Am Bogen
05154000004451015;Am Damm
05154000004451016;Am Eickelboom
05154000004451017;Am Eiermarkt
05154000004451018;Am Fischteich
05154000004451019;Am Hurler Meer
05154000004451020;Am Kreuzbaum
05154000004451021;Am Mühlenturm
05154000004451022;Am Schlagbaum
05154000004451023;Amselweg
05154000004451024;Am Stadtgarten
05154000004451025;Alte Bislicher Straße
05154000004451027;Am Weißen Turm
05154000004451028;An der Friedburg
05154000004451029;An der Kirche
05154000004451030;An der Kirchenrenne
05154000004451031;An der Landwehr
05154000004451032;An der Langen Renne
05154000004451033;Androper Bruch
05154000004451034;Andropscher Kirchweg
05154000004451035;Andropsche Siedlung
05154000004451036;Anholter Straße
05154000004451037;Aspel
05154000004451039;Auf dem Moshövel
05154000004451040;Am Stevert
05154000004451041;Adlerstraße
05154000004451042;Auenweg
05154000004451043;Am Bach
05154000004451044;Aspeler Bruch
05154000004451045;Aspeler Weg
05154000004451046;Antonieweg
05154000004451047;Am Busch
05154000004451048;Alte Bundesstraße
05154000004451049;Alt Luisendorf
05154000004451050;Am Wolfstrang
05154000004451051;Alt Sonsfeld
05154000004451053;Am Horst
05154000004451054;Albert-Einstein-Straße
05154000004451055;Am Gänseweiher
05154000004451056;Am Streuffenhof
05154000004451057;Ahornweg
05154000004451058;Am Neybenhof
05154000004451060;Apfeldornweg
05154000004451061;Am Halderner Bach
05154000004451062;Am alten Bongert
05154000004451063;Am See
05154000004451064;Anne-Frank-Straße
05154000004451071;Bachstraße
05154000004451072;Bahnhofstraße
05154000004451073;Bahnstraße
05154000004451074;Bartener Straße
05154000004451075;Beendscher Weg
05154000004451076;Beethovenstraße
05154000004451077;Bellinghovener Straße
05154000004451079;Bergswick
05154000004451080;Bergswicker Straße
05154000004451083;Birkenweg
05154000004451084;Bislicher Straße
05154000004451085;Blankenburgstraße
05154000004451086;Bleichstraße
05154000004451087;Blumenstraße
05154000004451088;Bonekampstraße
05154000004451089;Bongersweg
05154000004451090;Bovenkampsweg
05154000004451092;Brauhof
05154000004451093;Bruchstraße
05154000004451094;Bruckdaelweg
05154000004451095;Brucknerstraße
05154000004451096;Burgweg
05154000004451097;Bussardstraße
05154000004451098;Bellingskath
05154000004451099;Buschheide
05154000004451100;Bennemakerweg
05154000004451101;Buchenweg
05154000004451128;Cobrinkstraße
05154000004451129;Capitelhof
05154000004451135;Dahlienweg
05154000004451136;Dammweg
05154000004451137;Deichstraße
05154000004451138;Dellstraße
05154000004451139;Depotstraße
05154000004451140;Doelenweg
05154000004451141;Dornerwardtweg
05154000004451142;Dores-Albrecht-Straße
05154000004451143;Dorotheenweg
05154000004451144;Drieversfeld
05154000004451145;Drosselweg
05154000004451146;Drostendick
05154000004451147;Dornenweg
05154000004451160;Ebentalstraße
05154000004451161;Ebertstraße
05154000004451162;Eibenweg
05154000004451163;Eichenweg
05154000004451164;Elsa-Brandström-Straße
05154000004451165;Emmericher Straße
05154000004451166;Empeler Straße
05154000004451167;Empfängerstraße
05154000004451168;Erlenweg
05154000004451169;Esserdener Straße
05154000004451170;Eulenweg
05154000004451171;Evangelistenweg
05154000004451172;Endsweg
05154000004451174;Emmericher Landstraße
05154000004451175;Emmericher Landstraße
05154000004451191;Falkenstraße
05154000004451192;Fallstraße
05154000004451193;Fasanenweg
05154000004451194;Feldstraße
05154000004451195;Feuerwehrstraße
05154000004451196;Finkenschlagweg
05154000004451197;Finkenweg
05154000004451198;Fischerstraße
05154000004451199;Fliederweg
05154000004451200;Florastraße
05154000004451201;Forellenstraße
05154000004451202;Freystraße
05154000004451203;Fuhlensteg
05154000004451204;Feuerdornweg
05154000004451205;Fährmannsweg
05154000004451206;Hurler Straße
05154000004451208;Friedrich-Arendsen-Weg
05154000004451221;Galaystraße
05154000004451222;Gartenstraße
05154000004451223;Geeststraße
05154000004451224;Geldernsche Kay
05154000004451225;Georgsweg
05154000004451226;Gerhard-Storm-Straße
05154000004451227;Glockenkamp
05154000004451228;Glockenstraße
05154000004451229;Goerdelerstraße
05154000004451230;Goethestraße
05154000004451231;Gouverneurstraße
05154000004451232;Grabenstraße
05154000004451233;Graf-von-Galen-Straße
05154000004451234;Greisstraße
05154000004451235;Grenzweg
05154000004451236;Grietherbusch
05154000004451237;Grietherbuscher Straße
05154000004451238;Grietherort
05154000004451239;Groiner Kirchweg
05154000004451241;Grüner Weg
05154000004451242;Gruenewaldsweg
05154000004451243;Grüttweg
05154000004451245;Groiner Allee
05154000004451246;Ginsterweg
05154000004451247;Galenusgasse
05154000004451259;Habichtstraße
05154000004451260;Hagewick
05154000004451261;Händelstraße
05154000004451264;Haffener Straße
05154000004451265;Hagebuttenweg
05154000004451266;Hahnenstraße
05154000004451267;Halderner Feld
05154000004451268;Halderner Straße
05154000004451269;Halderner Straße
05154000004451270;Hanenkroitstraße
05154000004451271;Hauptstraße
05154000004451272;Heckenweg
05154000004451273;Heresbachstraße
05154000004451274;Heresbachstraße
05154000004451275;Heimische Straße
05154000004451276;Hermann-Terlinden-Weg
05154000004451277;Hofacker
05154000004451278;Hohe Rheinstraße
05154000004451279;Holländerdeich
05154000004451280;Hospitalstraße
05154000004451281;Hueth'sche Straße
05154000004451282;Hüttenstraße
05154000004451283;Hurler Straße
05154000004451284;Hoher Weg
05154000004451285;Hollandsweg
05154000004451286;Holdschlagweg
05154000004451287;Heerener Weg
05154000004451288;Herkener Weg
05154000004451289;Heideweg
05154000004451290;Horstkampstraße
05154000004451291;Helderloher Straße
05154000004451292;Hülkenberg
05154000004451293;Hufschmiedweg
05154000004451294;Helmut-Liesegang-Straße
05154000004451295;Hein-Scholten-Straße
05154000004451296;Holunderweg
05154000004451297;Heinrich-Kremer-Straße
05154000004451298;Hueth'sche Straße
05154000004451299;Hüttenstraße
05154000004451300;Im Bruchfeld
05154000004451301;Im Haffener Bruch
05154000004451302;Im Höfchen
05154000004451303;Im Sandacker
05154000004451304;Im Westerfeld
05154000004451305;In der Luv
05154000004451306;In der Oy
05154000004451307;Ingenlaeckstraße
05154000004451308;Irmgardisweg
05154000004451309;Isselburger Straße
05154000004451310;Im Winkel
05154000004451311;Im Grünkamp
05154000004451312;Im Eichenwinkel
05154000004451313;Ilexweg
05154000004451314;Im Büchel
05154000004451315;In der Selig
05154000004451316;Im Blumert
05154000004451317;Im Hollerfeld
05154000004451320;Johann-Meisters-Straße
05154000004451321;Jungblutstraße
05154000004451322;Jülkesweg
05154000004451323;Jan-Quinkhard-Straße
05154000004451330;Kaiserstraße
05154000004451331;Kapitelstraße
05154000004451332;Karl-Arnold-Straße
05154000004451333;Karl-Leisner-Straße
05154000004451334;Kassmöllstraße
05154000004451335;Kathenweg
05154000004451336;Kemnadenstraße
05154000004451337;Kemperweg
05154000004451338;Kettelerstraße
05154000004451339;Kiefernweg
05154000004451340;Kirchplatz
05154000004451341;Kirchstraße
05154000004451342;Klappheckstraße
05154000004451343;Klosterstraße
05154000004451344;Klückenhofstraße
05154000004451345;Knollenkampsweg
05154000004451346;Kolpingstraße
05154000004451347;Kopernikusstraße
05154000004451348;Krantor
05154000004451349;Kreuzbaumstraße
05154000004451350;Kruisdicksweg
05154000004451351;Künnekestraße
05154000004451352;Kreuzstraße
05154000004451353;Kirchweg
05154000004451354;Kornblumenweg
05154000004451355;Kneippstraße
05154000004451356;Karpfenweg
05154000004451357;Kleiststraße
05154000004451358;Kurze Gasse
05154000004451359;Klompenmakerstraße
05154000004451360;Kämperdick
05154000004451361;Kalfhovenweg
05154000004451362;Kapellenweg
05154000004451363;Kattenbruch
05154000004451364;Koepenweg
05154000004451365;Kiepenkerlstraße
05154000004451370;Laakstraße
05154000004451371;Leharstraße
05154000004451372;Leppersweg
05154000004451373;Lerchenweg
05154000004451374;Letterhausstraße
05154000004451375;Lessingweg
05154000004451376;Lindenallee
05154000004451377;Lindenstraße
05154000004451378;Lindtackerweg
05154000004451379;Loeweg
05154000004451380;Lohrwardtstraße
05154000004451381;Lohstraße
05154000004451382;Loirstraße
05154000004451383;Lortzingstraße
05154000004451384;Luciaweg
05154000004451385;Luisendorf
05154000004451386;Luisenstraße
05154000004451387;Ligusterweg
05154000004451388;Lilienweg
05154000004451389;Laakweide
05154000004451390;Louise-Wildt-Weg
05154000004451400;Markt
05154000004451401;Masthoffstraße
05154000004451402;Meerstraße
05154000004451403;Mehrbruchstraße
05154000004451404;Meisenweg
05154000004451405;Melatenweg
05154000004451406;Millinger Straße
05154000004451407;Millöckerstraße
05154000004451408;Mittelweg
05154000004451409;Motenhof
05154000004451410;Mozartstraße
05154000004451411;Mühlenweg
05154000004451412;Mühlensteg
05154000004451413;Millinger Straße
05154000004451414;Maria-Susanna-Straße
05154000004451415;Marienweg
05154000004451416;Mühlenkath
05154000004451417;Moorweg
05154000004451418;Mölderweg
05154000004451419;Milanweg
05154000004451420;Max-Planck-Straße
05154000004451421;Maifeld
05154000004451422;Marie-Curie-Straße
05154000004451423;Merlinweg
05154000004451424;Miststräßchen
05154000004451430;Nachtigallenweg
05154000004451431;Nelkenstraße
05154000004451432;Neue Siedlung
05154000004451433;Neustraße
05154000004451434;Niederstraße
05154000004451450;Oberstadt
05154000004451451;Offenbachstraße
05154000004451452;Oldenkottstraße
05154000004451453;Op de Baerbet
05154000004451454;Op de Schapdick
05154000004451455;Orffstraße
05154000004451456;Ostlandstraße
05154000004451457;Overkampstraße
05154000004451458;Op de Geest
05154000004451470;Pappelweg
05154000004451471;Parkweg
05154000004451472;Pastor-Esser-Straße
05154000004451473;Pastor-Liesen-Straße
05154000004451474;Plentenhof
05154000004451475;Pockenkathweg
05154000004451476;Pollweg
05154000004451477;Poststraße
05154000004451478;Prinzenweg
05154000004451479;Pastor-Meckel-Straße
05154000004451480;Panneschöpperstraße
05154000004451481;Pfeifendrechslerstraße
05154000004451482;Piet-Leysing-Straße
05154000004451483;Pfarrer-Rennings-Weg
05154000004451485;Quirinusweg
05154000004451486;Queckvoor
05154000004451490;Raiffeisenstraße
05154000004451491;Rauhe Straße
05154000004451492;Reedaelweg
05154000004451493;Reeser Feld
05154000004451494;Reeser Straße
05154000004451495;Reeserward
05154000004451496;Riedweg
05154000004451497;Rheinstraße
05154000004451498;Rudolf-Diesel-Straße
05154000004451499;Rosenweg
05154000004451500;Rotdornweg
05154000004451501;Rünkelstraße
05154000004451502;Ruhborgweg
05154000004451503;Röntgenstraße
05154000004451504;Robert-Koch-Straße
05154000004451505;Rotaugenweg
05154000004451506;Rohrweihenweg
05154000004451507;Reeser Landstraße
05154000004451508;Reeser Landstraße
05154000004451509;Rükenbuschfeld
05154000004451520;Schaffeld
05154000004451521;Schillerstraße
05154000004451522;Schledenhorst
05154000004451523;Schloßstraße
05154000004451524;Schubertstraße
05154000004451525;Schützenstraße
05154000004451526;Schulstraße
05154000004451527;Schultkampstraße
05154000004451528;Schwalbenweg
05154000004451529;Schwarze Furth
05154000004451530;Schwarzer Weg
05154000004451531;Schwarzer Weg
05154000004451532;Sahlerstraße
05154000004451533;Sandackerweg
05154000004451534;Sebastianstraße
05154000004451535;Simkesweg
05154000004451536;Sommerskathweg
05154000004451537;Sonsfeld
05154000004451538;Speldrop
05154000004451539;Speldroper Straße
05154000004451540;Spyckweg
05154000004451541;Sauerbruchstraße
05154000004451542;Schweizerstraße
05154000004451543;Sperberweg
05154000004451544;Schlehenweg
05154000004451546;Streufswiese
05154000004451547;Sommers Berg
05154000004451555;Staelweg
05154000004451556;Starenstraße
05154000004451557;Stauffenbergstraße
05154000004451558;Steinweg
05154000004451559;Streufsweg
05154000004451560;Steinofenweg
05154000004451562;Stuvenbergsweg
05154000004451563;Sanddornweg
05154000004451564;Steinfeld
05154000004451570;Tannenweg
05154000004451571;Tulpenstraße
05154000004451572;Turmallee
05154000004451580;Uhlandstraße
05154000004451581;Ulmenweg
05154000004451582;Uferweg
05154000004451591;Van Thiels Gängske
05154000004451592;Veilchenstraße
05154000004451593;Velthuysenstraße
05154000004451594;Verbindungsstraße
05154000004451595;Verdistraße
05154000004451596;Viemannsweg
05154000004451597;Vincentiusplatz
05154000004451598;Vinzenzstraße
05154000004451599;Vor dem Delltor
05154000004451600;Vor dem Falltor
05154000004451601;Vor dem Rheintor
05154000004451602;Vrenzel
05154000004451608;Weseler Landstraße
05154000004451609;Weseler Landstraße
