strassenschluessel;bezeichnung
05766000006009401;Am Anger
05766000006009402;Am Bohlen
05766000006009403;Am Neuen Weg
05766000006009404;Am Plaß
05766000006009405;Am Zollstock
05766000006009406;Bachstraße
05766000006009407;Bennerberg
05766000006009408;Kurze Straße
05766000006009409;Eggersberg
05766000006009410;Feldstraße
05766000006009411;Mörthstraße
05766000006009412;Mauerstraße
05766000006009413;Mühlenstraße
05766000006009414;Obere Straße
05766000006009415;Ringstraße
05766000006009416;Wienkestraße
05766000006009417;Schurenweg
05766000006009418;Weserstraße
05766000006009419;Sehlbergstraße
05766000006009420;Lange Straße
05766000006009421;Triftstraße
05766000006009422;Untere Straße
05766000006009423;Sportweg
05766000006009425;Plaßweg
05766000006009426;Freverts Berg
05766000006009440;Bergstraße
05766000006009441;Braunenkampsweg
05766000006009442;Im Grund
05766000006009443;Schiederstraße
05766000006009444;Brunnenstraße
05766000006009445;Siedlungsweg
05766000006009446;Waldweg
05766000006009447;Winterbergweg
05766000006009448;Am Staudamm
05766000006009460;Blumenstraße
05766000006009461;Am Köllerberg
05766000006009462;Bombergstraße
05766000006009463;Brenkerfeldstraße
05766000006009464;Jagdweg
05766000006009467;Kuhstraße
05766000006009468;Langengrundstraße
05766000006009469;Niesetalstraße
05766000006009470;Riesenberg
05766000006009471;Auf dem Rott
05766000006009472;Im Busch
05766000006009473;Steinheimer Straße
05766000006009474;Wiesenweg
05766000006009475;Holterbergweg
05766000006009476;Stübbeweg
05766000006009477;Taubenweg
05766000006009478;Ginsterweg
05766000006009479;Fichtenweg
05766000006009480;Töllenberg
05766000006009481;Ahornweg
05766000006009482;Heckenweg
05766000006009483;Germanenweg
05766000006009484;Am Sonnenhang
05766000006009485;Maiweg
05766000006009486;Grasweg
05766000006009487;Am Kellerskamp
05766000006009488;Am Wasserhäuschen
05766000006009489;Mittlerer Bomberg
05766000006009490;Oberer Bomberg
05766000006009491;Hessenfeld
05766000006009492;Speckangerweg
05766000006009498;Ruensiek
05766000006009499;Kreienberg
05766000006009500;Amselweg
05766000006009501;Auf der Mühlenbreite
05766000006009503;Bahnhofstraße
05766000006009504;Wilhelm-Beckmeier-Straße
05766000006009505;Korl-Biegemann-Straße
05766000006009506;Burgweg
05766000006009507;Detmolder Straße
05766000006009508;Domäne
05766000006009509;Drosselweg
05766000006009510;Finkenweg
05766000006009511;Fischanger
05766000006009512;Fischerbergstraße
05766000006009513;Bennerbergstraße
05766000006009514;Gartenstraße
05766000006009515;Gripshof
05766000006009516;Hainbergstraße
05766000006009517;Im Ellern
05766000006009518;Im Emmertal
05766000006009519;Im Niesetal
05766000006009520;Kahlenbergweg
05766000006009521;Keßlerstraße
05766000006009522;Kirchstraße
05766000006009523;Kronenbruch
05766000006009524;Luisenstraße
05766000006009525;Mittelstraße
05766000006009526;Nelkenweg
05766000006009527;Noltehof
05766000006009528;Oelbergstraße
05766000006009529;Ostpreußenstraße
05766000006009530;Pommernstraße
05766000006009531;Pyrmonter Straße
05766000006009532;Heideweg
05766000006009533;Schlesierstraße
05766000006009534;Im Kurpark
05766000006009535;Schloßstraße
05766000006009536;Schulstraße
05766000006009537;Schwalenberger Straße
05766000006009538;Am Schweibusch
05766000006009539;Siekfeld
05766000006009540;Parkallee
05766000006009541;Unter den Eichen
