05382000006033002;Adalbert-Stifter-Straße
05382000006033003;Adolf-Kolping-Platz
05382000006033004;Aggerstraße
05382000006033005;Albert-Schweitzer-Straße
05382000006033006;Albertstraße
05382000006033007;Alfred-Keller-Straße
05382000006033008;Alleestraße
05382000006033009;Alte Lohmarer Straße
05382000006033010;Alte Poststraße
05382000006033011;Alter Dammweg
05382000006033012;Am Bildstock
05382000006033013;Am Broichshäuschen
05382000006033014;Am Brungshof
05382000006033015;Am Grafenkreuz
05382000006033016;Am Heckershof
05382000006033017;Am Hügel
05382000006033018;Am Hülsenhof
05382000006033019;Am Klinkenberger Hof
05382000006033020;Am Pfahlweiher
05382000006033021;Am Rosenhügel
05382000006033022;Amselsteg
05382000006033023;Am Stadtwald
05382000006033024;Am Stallberg
05382000006033025;Am Tannenhof
05382000006033026;Am Trerichsweiher
05382000006033027;Am Uhlenhorst
05382000006033028;An den Eichen
05382000006033029;An den Höfen
05382000006033031;An den 6 Bäumchen
05382000006033032;An den Seeswacholdern
05382000006033033;An der Aggerbrücke
05382000006033034;An der Herrenwiese
05382000006033035;An der Schlade
05382000006033036;An der Stadtmauer
05382000006033038;Annostraße
05382000006033039;Arndtstraße
05382000006033040;Auf dem Steinacker
05382000006033041;Auf der Kälke
05382000006033042;Auf der Papagei
05382000006033043;Augustastraße
05382000006033044;Aulgasse
05382000006033045;Bachstraße
05382000006033046;Bahnhofstraße
05382000006033048;Bambergstraße
05382000006033049;Barbarastraße
05382000006033050;Barbarossastraße
05382000006033051;Beethovenstraße
05382000006033052;Bergstraße
05382000006033054;Bernhardstraße
05382000006033055;Bertramstraße
05382000006033056;Bismarckstraße
05382000006033057;Blücherstraße
05382000006033058;Bonner Straße
05382000006033059;Brandstraße
05382000006033060;Breite Straße
05382000006033061;Breslauer Straße
05382000006033062;Brückbergstraße
05382000006033063;Bunzlauer Straße
05382000006033064;Burggasse
05382000006033065;Carlstraße
05382000006033066;Carl-Schurz-Straße
05382000006033067;Cecilienstraße
05382000006033068;Chemie-Faser-Allee
05382000006033069;Dammstraße
05382000006033070;Deichhaus
05382000006033071;Deutzer-Hof-Straße
05382000006033072;Dohkaule
05382000006033073;Drieschgasse
05382000006033074;Carl-Friedrich-Peters-Straße
05382000006033075;Ehrenstraße
05382000006033076;Elisabethstraße
05382000006033077;Elsternsteg
05382000006033078;Ernststraße
05382000006033079;Farnweg
05382000006033080;Fasanenfeld
05382000006033081;Feldzeugmeisterweg
05382000006033082;Fichtenweg
05382000006033083;Finkenweg
05382000006033084;Flögerstraße
05382000006033085;Frankfurter Straße
05382000006033086;Franz-Trac-Weg
05382000006033087;Freiheit
05382000006033088;Friedensplatz
05382000006033089;Friedrich-Ebert-Straße
05382000006033090;Gartenstraße
05382000006033091;Georgstraße
05382000006033092;Gerhart-Hauptmann-Weg
05382000006033093;Gneisenaustraße
05382000006033094;Goethestraße
05382000006033095;Gottliebstraße
05382000006033096;Griesgasse
05382000006033097;Grimmelsgasse
05382000006033098;Grüner Weg
05382000006033099;Hansenstraße
05382000006033100;Haufeld
05382000006033101;Haydnstraße
05382000006033102;Heideweg
05382000006033103;Heinrichstraße
05382000006033104;Heppekausenstraße
05382000006033105;Hermann-Löns-Straße
05382000006033106;Herrengartenstraße
05382000006033107;Hochstraße
05382000006033108;Hohenzollernstraße
05382000006033109;Hohlweg
05382000006033110;Holzgasse
05382000006033111;Hopfengartenstraße
05382000006033112;Hubertusstraße
05382000006033113;Humperdinckstraße
05382000006033114;Im Mittelfeld
05382000006033116;Im Sommerfeld
05382000006033117;Im Springchen
05382000006033118;Im Urnenfeld
05382000006033119;In den Hecken
05382000006033120;In der Höhnerlaach
05382000006033121;In der Kehreswiese
05382000006033122;Industriestraße
05382000006033123;Jägerstraße
05382000006033124;Jahnstraße
05382000006033125;Jakobstraße
05382000006033126;Johannesstraße
05382000006033127;Josef-Mohr-Straße
05382000006033128;Josefstraße
05382000006033129;Junkersbusch
05382000006033130;Kaiserstraße
05382000006033131;Kaiser-Wilhelm-Platz
05382000006033132;Kaldauer Straße
05382000006033133;Kastanienstraße
05382000006033134;Katharinenstraße
05382000006033135;Kempstraße
05382000006033136;Kiefernweg
05382000006033137;Kirchplatz
05382000006033139;Kleiberg
05382000006033140;Knütgenstraße
05382000006033141;Königsberger Straße
05382000006033142;Kronprinzenstraße
05382000006033144;Lambertstraße
05382000006033145;Leinpfad
05382000006033146;Leonhardstraße
05382000006033147;Lerchenweg
05382000006033148;Lessingstraße
05382000006033149;Lindenstraße
05382000006033150;Litzmannstraße
05382000006033151;Ludwigstraße
05382000006033152;Luisenstraße
05382000006033153;Luisenstraße
05382000006033154;Mahlgasse
05382000006033155;Mahrstraße
05382000006033156;Marienhofstraße
05382000006033157;Markt
05382000006033158;Martin-Opitz-Straße
05382000006033159;Michaelstraße
05382000006033160;Minoritenstraße
05382000006033161;Mittelstraße
05382000006033162;Moltkestraße
05382000006033163;Mozartstraße
05382000006033164;Mühlengrabenstraße
05382000006033165;Mühlenhofweg
05382000006033166;Mühlenstraße
05382000006033167;Nachtigallenweg
05382000006033168;Neuenhof
05382000006033169;Neue Poststraße
05382000006033170;Nogenter-Platz
05382000006033171;Nordstraße
05382000006033172;Peterstraße
05382000006033173;Pilgrimsweg
05382000006033174;Pleiser Hecke
05382000006033175;Riembergstraße
05382000006033176;Rilkestraße
05382000006033177;Ringstraße
05382000006033178;Robert-Koch-Straße
05382000006033179;Roonstraße
05382000006033180;Rosenweg
05382000006033181;Rothenbacher Straße
05382000006033182;Sandweg
05382000006033183;Scharnhorststraße
05382000006033184;Scheerengasse
05382000006033185;Scherbenberg
05382000006033186;Schilfweg
05382000006033187;Schillerstraße
05382000006033188;Schubertstraße
05382000006033190;Schwalbensteg
05382000006033191;Schwarzer Weg
05382000006033192;Sebastiansgasse
05382000006033193;Seehofstraße
05382000006033194;Seidenbergstraße
05382000006033195;Seydlitzstraße
05382000006033196;Siegdamm
05382000006033197;Siegfeldstraße
05382000006033198;Siegstraße
05382000006033199;Sonnenstraße
05382000006033200;Steinbahn
05382000006033201;Von-Stephan-Straße
05382000006033203;Südstraße
05382000006033204;Taubenstraße
05382000006033205;Theodor-Körner-Straße
05382000006033206;Tierbungertstraße
05382000006033207;Tönnisbergstraße
05382000006033208;Töpferstraße
05382000006033209;Turmweg
05382000006033210;Uhlrather Straße
05382000006033211;Verbindungsweg
05382000006033212;Viehtrift
05382000006033213;Viktoriastraße
05382000006033214;Wahnbachtalstraße
05382000006033215;Waldstraße
05382000006033216;Weierstraße
05382000006033217;Wellenstraße
05382000006033218;Wilhelm-Ostwald-Straße
05382000006033219;Wilhelmstraße
05382000006033220;Winterberger Straße
05382000006033221;Wolsdorfer Straße
