05154000005258503;Albert-Steeger-Str.
05154000005258505;Altbroekstr.
05154000005258507;Alte Versteigerung
05154000005258508;Alter Venloer Weg
05154000005258511;Am Gieselberg
05154000005258514;Am Jugendheim
05154000005258515;Am Mühlentor
05154000005258517;Amselweg
05154000005258518;Gemüseplatz
05154000005258520;An der Bleiche
05154000005258521;van-Schayck-Str.
05154000005258522;An der Uhr
05154000005258523;An der Oelmühle
05154000005258524;An de Roos
05154000005258525;Am Hessepött
05154000005258526;Annastr.
05154000005258529;Antoniusstr.
05154000005258534;Küfergasse
05154000005258537;Backespad
05154000005258538;Picardie
05154000005258540;Barbaragasse
05154000005258541;Bahnstr.
05154000005258542;Bayonstr.
05154000005258545;Beethovenstr.
05154000005258549;Beginenpad
05154000005258553;Berghsweg
05154000005258555;Bertha-von-Suttner-Str.
05154000005258557;Bertenweg
05154000005258559;Blumenweg
05154000005258560;Boekholter Weg
05154000005258561;Bormiger Weg
05154000005258562;Bormig
05154000005258563;Brentanostr.
05154000005258565;Brucknerstr.
05154000005258567;Clara-Wieck-Str.
05154000005258569;Dahlienweg
05154000005258570;De-Cabanes-Str.
05154000005258571;Dietrich-Bonhoeffer-Str.
05154000005258572;Dinkelweg
05154000005258573;Drosselweg
05154000005258574;Droste-Hülshoff-Str.
05154000005258575;Edith-Stein-Str.
05154000005258576;Eichendorffstr.
05154000005258577;Anne-Frank-Str.
05154000005258578;Malzweg
05154000005258579;Finkenweg
05154000005258580;Flachsweg
05154000005258581;Franziskanerstr.
05154000005258582;Fliederweg
05154000005258583;Fontanestr.
05154000005258584;Freesienweg
05154000005258585;Friedrich-Brücker-Str.
05154000005258586;Händelstr.
05154000005258588;Gartenstr.
05154000005258590;Gelderner Str.
05154000005258593;Drei Höfe
05154000005258594;Im Nierfeld
05154000005258595;Nachtigall
05154000005258596;Paesmühlenweg
05154000005258597;Gerberastr.
05154000005258598;Glasweg
05154000005258599;Goethestr.
05154000005258600;Großmarktstr.
05154000005258601;Riether Str.
05154000005258602;Rochusweg
05154000005258603;Zu den Drei Höfen
05154000005258604;Grüner Weg
05154000005258605;Große Feld
05154000005258606;Gutenbergstr.
05154000005258607;Hallstattstr.
05154000005258608;Hans-Tenhaeff-Str.
05154000005258609;Hoyendonk
05154000005258610;Niersbroeker Weg
05154000005258611;Haus Eyll
05154000005258612;Haydnstr.
05154000005258613;Heinkelstr.
05154000005258614;Heinestr.
05154000005258615;Helene-Weber-Str.
05154000005258616;Heistersweg
05154000005258617;Hermann-van-den-Berg-Str.
05154000005258618;Heronger Str.
05154000005258619;Hetzerter Str.
05154000005258620;Hochstr.
05154000005258621;Klaesenweg
05154000005258622;Hölderlinstr.
05154000005258623;Hornweg
05154000005258624;Höttenpfad
05154000005258625;Hopfenweg
05154000005258626;Hubertusstr.
05154000005258627;Wachtendonker Str.
05154000005258628;Industriestr.
05154000005258629;Caen
05154000005258630;Irisweg
05154000005258631;Kleine Niers
05154000005258632;Jahnstr.
05154000005258633;Niersstr.
05154000005258634;Tomerixweg
