strassenschluessel;bezeichnung
05166000002813501;Ackerstraße
05166000002813502;Anton-Beusch-Straße
05166000002813503;Akazienallee
05166000002813504;Alter Graben
05166000002813505;Alter Markt
05166000002813507;Am Marienheim
05166000002813508;Antoniusstraße
05166000002813509;Am Wasserturm
05166000002813510;Auf dem Haspel
05166000002813511;Am Düngelshof
05166000002813512;Bahnstraße
05166000002813513;Am Schluff
05166000002813514;Benrader Straße
05166000002813517;Berliner Straße
05166000002813520;Birkenstraße
05166000002813522;Biwak
05166000002813523;Blaumeisenweg
05166000002813525;Blumenstraße
05166000002813527;Bogenstraße
05166000002813529;Bong
05166000002813531;Brauereistraße
05166000002813536;Bremmental
05166000002813538;Buchenplatz
05166000002813540;Buchenstraße
05166000002813543;Bückersdyk
05166000002813545;Burgstraße
05166000002813547;Corneliusplatz
05166000002813548;Corneliusweg
05166000002813549;Corneliusstraße
05166000002813550;Droste-Hülshoff-Straße
05166000002813551;Dammstraße
05166000002813552;Drosselweg
05166000002813553;Dresdener Straße
05166000002813554;Elsternweg
05166000002813555;Düsseldorfer Straße
05166000002813556;Fasanenstraße
05166000002813557;En de Bongert
05166000002813558;Feldburgweg
05166000002813560;Feldstraße
05166000002813563;Finkenweg
05166000002813564;Fliethgraben
05166000002813565;Florastraße
05166000002813567;Friedensstraße
05166000002813569;Friedrichstraße
05166000002813572;Garnstraße
05166000002813574;Gartenstraße
05166000002813576;Gelderner Straße
05166000002813577;Gerhart-Hauptmann-Straße
05166000002813578;Grenzstraße
05166000002813581;Haferkamp
05166000002813584;Hasenheide
05166000002813585;Heinrich-Böll-Straße
05166000002813586;Heideweg
05166000002813587;Hermann-Hesse-Straße
05166000002813588;Hochstraße
05166000002813589;Höhenhöfe
05166000002813591;Hospitalstraße
05166000002813592;Hoteser Weg
05166000002813593;Hülser Straße
05166000002813595;Im Neuen Roth
05166000002813596;Im Westend
05166000002813597;Industriestraße
05166000002813598;Ingerstraße
05166000002813600;Jägerstraße
05166000002813601;Josef-Schultes-Straße
05166000002813602;Kaiserstraße
05166000002813603;Kardinal-Cardijn-Straße
05166000002813604;Kastanienallee
05166000002813605;Kehner Heide
05166000002813606;Kehner Weg
05166000002813609;Kirchenfeld
05166000002813611;Kirchplatz
05166000002813613;Kirchstraße
05166000002813615;Kirschenallee
05166000002813618;Kolpingstraße
05166000002813620;Kopernikusstraße
05166000002813622;Kornstraße
05166000002813624;Krähenfeld
05166000002813625;Krefelder Weg
05166000002813627;Krefelder Straße
05166000002813628;Kriene-Jätzke
05166000002813629;Kurze Straße
05166000002813631;Laschenhütte
05166000002813633;Leipziger Straße
05166000002813635;Lenenweg
05166000002813636;Lerchenstraße
05166000002813638;Ludwig-Jahn-Straße
05166000002813640;Marktstraße
05166000002813641;Martinstraße
05166000002813642;Maysweg
05166000002813644;Mörterfeld
05166000002813645;Mühlenstraße
05166000002813647;Neustraße
05166000002813648;Niedertorstraße
05166000002813649;Nordring
05166000002813652;Nüss Drenk
05166000002813652;Nüss Drenk
05166000002813653;Ortmannsweg
05166000002813654;Ostring
05166000002813655;Osterheide
05166000002813656;Oststraße
05166000002813657;Oberbenrader Straße
05166000002813658;Pappelallee
05166000002813660;Pastorswall
05166000002813661;Pastorsbusch
05166000002813662;Platanenallee
05166000002813663;Prinzenburg
05166000002813665;Rathausplatz
05166000002813666;Rebhuhnweg
05166000002813667;Ringstraße
05166000002813670;Rosenstraße
05166000002813672;Rosental
05166000002813674;Roßstraße
05166000002813675;Rue de Sees
05166000002813677;Seidenstraße
05166000002813679;Selder
05166000002813680;Seulenhof
05166000002813681;Siedlerweg
05166000002813684;Sonnenweg
05166000002813686;Sperberstraße
05166000002813687;Südring
05166000002813688;Südstraße
05166000002813690;Schäferstraße
05166000002813691;Schelthofer Straße
05166000002813694;Schulstraße
05166000002813695;Stalpers-Jätzke
05166000002813696;Steinheide
05166000002813697;Spatzenwinkel
05166000002813699;Sternstraße
05166000002813702;Stock
05166000002813705;Stockweg
05166000002813707;Tannenstraße
05166000002813710;Tack
05166000002813712;Tackweg
05166000002813714;Tempelsweg
05166000002813715;Theo-Mülders-Straße
05166000002813717;Ulmenstraße
05166000002813719;Unterschelthof
05166000002813721;Unterweiden
05166000002813723;Verbindungsstraße
05166000002813725;Viersener Straße
05166000002813726;Von-Sahr-Straße
05166000002813727;Vorster Straße
05166000002813730;Weberstraße
05166000002813733;Westring
05166000002813735;Wiesengrund
05166000002813738;Wilhelmplatz
05166000002813739;Wirichs-Jätzke
05166000002813740;Willicher Straße
05166000002813741;Wolfgang-Borchert-Straße
05166000002813742;Zur Alten Weberei
05166000002813761;Ahornweg
05166000002813763;Alter Weg
05166000002813765;Altes Pastorat
05166000002813768;Am Försterhof
05166000002813769;Am Kuhlenhof
05166000002813770;Am Neuenhaushof
05166000002813772;Amselweg
05166000002813775;Am Sportplatz
05166000002813777;An der Feuerwache
05166000002813779;Anrather Straße
05166000002813782;Auffeld
05166000002813784;Auf Pastorsfeld
05166000002813786;Auf Rothenfeld
05166000002813788;Bachstraße
05166000002813791;Beethovenstraße
05166000002813792;Böntschespfad
05166000002813793;Brempter Weg
05166000002813795;Breslauer Straße
05166000002813798;Bruchstraße
05166000002813800;Brucknerstraße
05166000002813802;Butzenstraße
05166000002813803;Buyschstraße
05166000002813804;Clevenstraße
05166000002813807;Clörath
05166000002813809;Danziger Straße
05166000002813811;Darderhöfe
05166000002813814;Dellstraße
05166000002813816;Dommesweg
05166000002813818;Donkweg
05166000002813821;Dückershof
05166000002813823;Eduard-Heinkes-Platz
05166000002813825;Eichenstraße
05166000002813828;Erlenweg
05166000002813830;Falkenweg
05166000002813832;Fichtenweg
05166000002813833;Gelles Kirchweg
05166000002813835;Gerkeswiese
05166000002813836;Germanenstraße
05166000002813837;Giesenstraße
05166000002813839;Ginsterweg
05166000002813842;Gossenhof
05166000002813844;Gotthardusweg
05166000002813846;Graverdyk
05166000002813848;Grüner Weg
05166000002813849;Grundsmistweg
05166000002813850;Gustav-Steeg-Straße
05166000002813853;Hahnenweide
05166000002813855;Hasenwinkel
05166000002813857;Hauptstraße
05166000002813859;Haus Brempt
05166000002813862;Haus Donk
05166000002813864;Haus Neersdonk
05166000002813866;Haus Raedt
05166000002813868;Haydnstraße
05166000002813871;Hecke
05166000002813873;Heckerweg
05166000002813874;Hinkes Weißhof
05166000002813875;Hochbend
05166000002813876;Hohe Straße
05166000002813877;Hüserheide
05166000002813880;Huverheide
05166000002813883;Im Heimgarten
05166000002813885;Jakob-von-Danwitz-Platz
05166000002813886;Johannes-Stadtfeld-Straße
05166000002813887;Josefstraße
05166000002813889;Kanalstraße
05166000002813891;Kapellenstraße
05166000002813894;Kehn
05166000002813896;Kempener Straße
05166000002813898;Kiefernweg
05166000002813901;Kniebelerstraße
05166000002813903;Kokenstraße
05166000002813905;Königsberger Straße
05166000002813908;Kronenstraße
05166000002813910;Kuckucksweg
05166000002813911;Kuhstraße
05166000002813912;Lindenallee
05166000002813914;Lisztstraße
05166000002813917;Lutherstraße
05166000002813919;Markt
05166000002813922;Meisenweg
05166000002813924;Mozartstraße
05166000002813926;Nachtigallenweg
05166000002813928;Nelkengarten
05166000002813931;Neuhäuserstraße
05166000002813933;Oedter Straße
05166000002813935;Raedtstraße
05166000002813937;Reckenhöfe
05166000002813940;Seulenstraße
05166000002813942;Sperlingsweg
05166000002813945;Süchtelner Straße
05166000002813947;Schmitzheide
05166000002813950;Schubertstraße
05166000002813952;Schützenstraße
05166000002813953;Schuh Erv
05166000002813955;Schwalbenweg
05166000002813957;St.Töniser Straße
05166000002813960;Steinpfad
05166000002813962;Stettiner Straße
05166000002813965;Stiegerheide
05166000002813967;Stiller Winkel
05166000002813968;Teresaweg
05166000002813970;Vossenhütte
05166000002813972;Wagnerstraße
05166000002813973;Walter-Lehnen-Straße
05166000002813974;Wiemeshütte
05166000002813977;Wiemespfad
05166000002813980;Wollstraße
05166000002813983;Zeisigweg
05166000002813985;Zur Villa
05166000002813997;Radweg Schlufftrasse
051660000028=2520;Eisenbahn M.gladbach-Kr.-Oppum
051660000028=2610;Eisenbahn Köln-Kranenburg
