strassenschluessel;bezeichnung
05170000004436301;Akazienweg
05170000004436302;Alexanderstraße
05170000004436303;Allee
05170000004436304;Am Kindergarten
05170000004436305;Am Klosterhügel
05170000004436306;Am Leitgraben
05170000004436307;Am Mommbach
05170000004436308;Am Sportplatz
05170000004436309;Am Sternbusch
05170000004436310;Auf dem Hövel
05170000004436311;Auf dem Kiwitt
05170000004436312;Bachstraße
05170000004436313;Bahnhofstraße
05170000004436314;Barbarastraße
05170000004436315;Beginenstraße
05170000004436316;Breiter Deich
05170000004436317;Brunnenweg
05170000004436318;Buschacker
05170000004436319;Buschweg
05170000004436320;Bussardstraße
05170000004436321;Dinslakener Straße
05170000004436322;Falkenstraße
05170000004436323;Fasanenstraße
05170000004436324;Feldmannweg
05170000004436325;Feldweg
05170000004436326;Frankfurter Straße
05170000004436327;Friedhofstraße
05170000004436328;Friesenring
05170000004436329;Fürstenring
05170000004436330;Gärtnerstraße
05170000004436331;Grafenweg
05170000004436332;Grenzstraße
05170000004436333;Grünstraße
05170000004436334;Grutkamp
05170000004436335;Habichtweg
05170000004436336;Hammweg
05170000004436337;Heideweg
05170000004436338;Herzogring
05170000004436339;Hindenburgstraße
05170000004436340;Hinnemannsfeld
05170000004436341;Hövelmannskath
05170000004436342;Hühnerfeld
05170000004436343;Hülsdonkweg
05170000004436344;Im Hörsken
05170000004436345;Im Hundsbusch
05170000004436346;Im Osterfeld
05170000004436347;Im Rönskensfeld
05170000004436348;Im Waldwinkel
05170000004436349;In der Sandheide
05170000004436350;Jaegerstraße
05170000004436351;Jahnstraße
05170000004436352;Kalbecksweg
05170000004436353;Kempkensfeld
05170000004436354;Kempkenskath
05170000004436355;Kleine Heide
05170000004436356;Kleiner Kiwitt
05170000004436357;Klosterbusch
05170000004436358;Klosterkamp
05170000004436359;Krabbenstraße
05170000004436360;Kronprinzenstraße
05170000004436361;Langenhorster Weg
05170000004436362;Lerchenstraße
05170000004436363;Mühlenstraße
05170000004436364;Ostlandstraße
05170000004436365;Prinzenstraße
05170000004436366;Ringstraße
05170000004436367;Rittersteg
05170000004436368;Rönskenstraße
05170000004436369;Sandstege
05170000004436370;Schafstege
05170000004436371;Scholtenbusch
05170000004436372;Schwanenstraße
05170000004436373;Sperberweg
05170000004436374;Sportlerstraße
05170000004436375;Stegerweg
05170000004436376;Steinstraße
05170000004436377;Sternbuschweg
05170000004436378;Sternweg
05170000004436379;Taubenstraße
05170000004436380;Teichacker
05170000004436381;Tillmannsweg
05170000004436382;Tönningstraße
05170000004436383;Turnerweg
05170000004436384;Turnhallenweg
05170000004436385;Vorderbruchweg
05170000004436386;Voshalsfeld
05170000004436387;Waldheideweg
05170000004436388;Waymannskath
05170000004436389;Weseler Weg
05170000004436390;Eulenweg
05170000004436391;Finkenweg
05170000004436392;Seemannskath
05170000004436393;Schülerweg
05170000004436394;Bruckhausener Weg
05170000004436395;Kaiserstraße
05170000004436396;Königring
05170000004436398;Bruchweg
05170000004436399;Friedrichsfelder Straße
05170000004436400;Hans-Richter-Straße
05170000004436401;In den Eichen
05170000004436402;Kurfürstenring
05170000004436403;Talweg
05170000004436404;Över de Hölter
05170000004436405;Rathausplatz
05170000004436406;Drosselweg
05170000004436407;Laakmannshof
05170000004436408;Lohmannskath
05170000004436409;Pliesterskath
05170000004436410;Rühlskath
05170000004436411;Markgrafenweg
05170000004436412;Alte Prinzenstraße
05170000004436413;Alnwicker Ring
05170000004436414;Kleine Bahnstraße
05170000004436415;Gewerbestraße
05170000004436416;Gildeweg
05170000004436417;Innungsweg
05170000004436418;Zunftweg
05170000004436419;Krickerhauer Ring
05170000004436420;Meisenweg
05170000004436422;Waldacker
05170000004436423;Bahnacker
05170000004436424;Benninghoffsweg
05170000004436425;Baronessenweg
05170000004436426;Am Stadtpark
05170000004436427;Peterskath
05170000004436428;Am Steg
05170000004436429;Zum Hövel
05170000004436430;Dohlenweg
05170000004436431;Biltgensacker
05170000004436432;Alter Hammweg
05170000004436433;Krüsterhof
05170000004436500;Böschungsweg
05170000004436501;Dammstraße
05170000004436502;Görsickerfeld
05170000004436503;Himmbruchweg
05170000004436504;Kortenacker
05170000004436505;Löhnener Kirchweg
05170000004436506;Mosterstege
05170000004436507;Oberer Hilding
05170000004436508;Rheinpromenade
05170000004436509;Unterer Hilding
05170000004436510;Breiter Deich
05170000004436511;Eckernweg
05170000004436512;Hasenweg
05170000004436513;Hohe Straße
05170000004436514;Rietackerweg
05170000004436515;Schöringweg
05170000004436516;Wardenweg
05170000004436550;Am Schanzenberg
05170000004436551;Beeckackerweg
05170000004436552;Bonneviestraße
05170000004436553;Brandscheidstraße
05170000004436554;Hintere Dorfstraße
05170000004436555;Krummackerweg
05170000004436556;Küpperstraße
05170000004436557;Löhnener Kirchweg
05170000004436558;Lübdingstraße
05170000004436559;Mitteldorfstraße
05170000004436560;Moorweg
05170000004436561;Hükelenbrink
05170000004436562;Kalverpass
05170000004436563;Am Kirchacker
05170000004436564;Artacker
05170000004436565;Brinksweg
05170000004436566;Ettwigstraße
05170000004436567;Götterswicker Straße
05170000004436568;Hasenweg
05170000004436569;Heckackerstraße
05170000004436570;Hohe Straße
05170000004436571;Holzweg
05170000004436572;In den Schlägen
05170000004436573;In der Abtsmiers
05170000004436575;Pahlacker
05170000004436576;Payenbergsweg
05170000004436577;Rügerstraße
05170000004436578;Schöringweg
05170000004436579;Schrinnenbusch
05170000004436580;Störkuhle
05170000004436581;Strichelsweg
05170000004436582;Över de Hölter
05170000004436600;Am Rosengarten
05170000004436601;Dammstraße
05170000004436602;Deichweg
05170000004436603;Hofacker
05170000004436604;Hülskensweg
