057620000036G0010;Abt-Overgaer-Straße
057620000036G0015;Adolf-Kolping-Weg
057620000036G0020;Ahornweg
057620000036G0030;Albertus-Stephani-Straße
057620000036G0040;Alexanderstraße
057620000036G0050;Allernborn
057620000036G0060;Alte Kleinenberger Straße
057620000036G0070;Alter Bahnhofsweg
057620000036G0080;Alter Postweg
057620000036G0090;Alter Stadtweg
057620000036G0100;Alte Warburger Straße
057620000036G0110;Am Alpenkamp
057620000036G0120;Am Alten Friedhof
057620000036G0130;Am Alten Posthof
057620000036G0140;Am Angerberg
057620000036G0150;Am Bach
057620000036G0155;Am Bahndamm
057620000036G0160;Am Berge
057620000036G0170;Am Bittkreuz
057620000036G0175;Am Brunnen
057620000036G0180;Am Bügel
057620000036G0190;Am Dorfplatz
057620000036G0200;Am Dornbusch
057620000036G0210;Am Driborn
057620000036G0215;Am Falkenberg
057620000036G0220;Am Feuerwehrhaus
057620000036G0230;Am Finnenberg
057620000036G0240;Am Friedhof
057620000036G0245;Am Güterbahnhof
057620000036G0250;Am Hanekipperweg
057620000036G0260;Am Hang
057620000036G0265;Am Heidhügel
057620000036G0270;Am Heidweg
057620000036G0280;Am Heinberg
057620000036G0290;Am Hohlweg
057620000036G0300;Am Hoppenberg
057620000036G0320;Am Iberg
057620000036G0321;Am Iberger Feld
057620000036G0330;Am Johannisturm
057620000036G0340;Am Klusenberg
057620000036G0350;Am Krüsenberg
057620000036G0360;Am Lindenplatz
057620000036G0370;Am Markt
057620000036G0380;Am Mühlenberg
057620000036G0390;Am Mühlengraben
057620000036G0400;Am Mühlenhof
057620000036G0410;Am Osterberg
057620000036G0415;Am Pfarrheim
057620000036G0420;Am Rapin
057620000036G0430;Am Ratshof
057620000036G0440;Am Rosentor
057620000036G0450;Am Roten Graben
057620000036G0455;Am Runden Berg
057620000036G0460;Am Seegraben
057620000036G0470;Amselweg
057620000036G0480;Am Schützenhof
057620000036G0490;Am Sonnenhang
057620000036G0500;Am Spielplatz
057620000036G0510;Am Sportplatz
057620000036G0515;Am Stapelberg
057620000036G0520;Am Steinbruch
057620000036G0525;Am Stiepenwäldchen
057620000036G0530;Am Südhang
057620000036G0540;Am Tannenwäldchen
057620000036G0550;Am Ummehof
057620000036G0560;Am Waldwinkel
057620000036G0580;Am Westerberg
057620000036G0590;Am Wieherborn
057620000036G0600;Am Wiesenberg
057620000036G0610;Am Wrexener Bahnhof
057620000036G0620;An den Mahnhöfen
057620000036G0630;An den Siehen
057620000036G0640;An der Burg
057620000036G0650;An der Kirche
057620000036G0660;An der Mauer
057620000036G0670;Angertwete
057620000036G0680;A.-von-Droste-Hülshoff-Str.
057620000036G0690;Anton-Böhlen-Straße
057620000036G0700;Antoniusstraße
057620000036G0710;Arnoldigasse
057620000036G0720;Arnold-Junkmann-Straße
057620000036G0730;Asselerfeld
057620000036G0740;Auf dem Burghof
057620000036G0750;Auf'm Ersen
057620000036G0756;Auf dem Oberen Holz
057620000036G0760;Auf'm Hahn
057620000036G0770;Auf dem Piepenbrink
057620000036G0780;Auf den Hiddessenkämpen
057620000036G0790;Auf der Breite
057620000036G0800;Auf der Ecke
057620000036G0810;Auf der Haue
057620000036G0820;Auf der Heide
057620000036G0825;Auf der Hellbecke
057620000036G0830;Auf der Platte
057620000036G0840;Auf der Ricke
057620000036G0850;Auf der Ware
057620000036G0860;August-Dissen-Straße
057620000036G0865;August-Macke-Straße
057620000036G0870;Augustin-Wibbelt-Weg
057620000036G0880;Bachstraße
057620000036G0890;Bachweg
057620000036G0900;Bachwinkel
057620000036G0910;Bahnhofstraße
057620000036G0920;Bangertwete
057620000036G0930;Baumhof
057620000036G0940;Beethovenstraße
057620000036G0950;Bei der Kirche
057620000036G0960;Beim Steingrab
057620000036G0970;Bellinggradtstraße
057620000036G0980;Bergstraße
057620000036G0990;Berliner Straße
057620000036G1000;Bernhardistraße
057620000036G1010;Bernhardusstraße
057620000036G1020;Bessel
057620000036G1030;Beverunger Straße
057620000036G1040;Birkenweg
057620000036G1050;Blankenroder Straße
057620000036G1060;Blumenweg
057620000036G1070;Bördestraße
057620000036G1080;Bonenburger Straße
057620000036G1090;Borlinghauser Straße
057620000036G1100;Bornebrede
057620000036G1110;Bracken
057620000036G1120;Brahmsweg
057620000036G1130;Breslauer Straße
057620000036G1140;Briloner Straße
057620000036G1150;Bruchhof
057620000036G1160;Bruchring
057620000036G1170;Brüderkirchhof
057620000036G1180;Brunnenhof
057620000036G1190;Brunnenweg
057620000036G1200;Buchenpfad
057620000036G1210;Bühlkamp
057620000036G1220;Bühlstraße
057620000036G1230;Bunserweg
057620000036G1240;Bürgermeister-Fischer-Straße
057620000036G1250;Büssengasse
057620000036G1260;Burggraben
057620000036G1270;Burgtwete
057620000036G1275;Bussardweg
057620000036G1280;Bußdorfer Straße
057620000036G1290;Bußdorfer Tor
057620000036G1300;Calenberger Straße
057620000036G1305;Carl-Orff-Straße
057620000036G1310;Clasenberg
057620000036G1315;Clemens-Schäfer-Straße
057620000036G1320;Dalheimer Weg
057620000036G1330;Danielweg
057620000036G1340;Danziger Straße
057620000036G1350;Daseburger Straße
057620000036G1355;Dechant-Maas-Weg
057620000036G1360;Delbrückstraße
057620000036G1370;Dengelpatt
057620000036G1380;Desenbergstraße
057620000036G1390;Diemelweg
057620000036G1400;Dösseler Straße
057620000036G1410;Dominikanergäßchen
057620000036G1420;Dorfplatz
057620000036G1430;Dorfstraße
057620000036G1440;Dornhecke
057620000036G1450;Dreisch
057620000036G1460;Driburger Straße
057620000036G1470;Dürerstraße
057620000036G1480;Dunsterweg
057620000036G1490;Eggestraße
057620000036G1500;Eichendorffstraße
057620000036G1505;Eichenweg
057620000036G1510;Eichholz
057620000036G1520;Eisenhoitgasse
057620000036G1530;Elisabethstraße
057620000036G1540;Emanuel-Geibel-Weg
057620000036G1550;Emil-Nolde-Straße
057620000036G1560;Engarer Straße
057620000036G1570;Entenanger
057620000036G1580;Erbsenbreite
057620000036G1585;Erlenweg
057620000036G1590;Ernst-Barlach-Straße
057620000036G1600;Erser Straße
057620000036G1605;Eschenweg
057620000036G1610;Eulenwinkel
057620000036G1620;Fahrweg
057620000036G1628;Falkenbergstraße
057620000036G1630;Falkenweg
057620000036G1640;Feiningerstraße
057620000036G1650;Feldmark
057620000036G1660;Ferdinande-von-Brackel-Straße
057620000036G1665;Fichtenweg
057620000036G1670;Fillerkuhle
057620000036G1680;Finkenweg
057620000036G1690;Florianweg
057620000036G1700;Foulerweg
057620000036G1705;Frankengrund
057620000036G1710;Frankenstraße
057620000036G1720;Frankenturmgasse
057620000036G1730;Franziskus-Quellen-Weg
057620000036G1740;Friedensstraße
057620000036G1750;Friedrich-Böhlen-Straße
057620000036G1760;Friedrich-Wilhelm-Weber-Straße
057620000036G1770;Gänsebreite
057620000036G1780;Garamattiweg
057620000036G1790;Gartenweg
057620000036G1800;Gebrüder-Grimm-Weg
057620000036G1805;Gebrüder-Warburg-Platz
057620000036G1810;Geismargasse
057620000036G1820;Geisselpfad
057620000036G1830;Gelbe Brede
057620000036G1840;Gerhart-Hauptmann-Straße
057620000036G1850;Glockenbreite
057620000036G1860;Görings Graben
057620000036G1870;Goethestraße
057620000036G1880;Goldbergweg
057620000036G1890;Grabbeweg
057620000036G1900;Grabenstraße
057620000036G1910;Graf-Boyneburg-Straße
057620000036G1920;Graf-Dodiko-Weg
057620000036G1930;Grevenwiese
057620000036G1940;Griesegrund
057620000036G1950;Großenederer Weg
057620000036G1960;Grüner Weg
057620000036G1970;Gutsweg
057620000036G1980;Habichtstal
057620000036G1985;Habichtsweg
057620000036G1990;Händelstraße
057620000036G2000;Hagebrunnen
057620000036G2010;Hahnenbreite
057620000036G2020;Hainanger
057620000036G2030;Hammerweg
057620000036G2040;Hardehausener Straße
057620000036G2050;Haselbusch
