strassenschluessel;bezeichnung
05154000006459503;Adelholmstraße
05154000006459504;Albrecht-Dürer-Straße
05154000006459505;Albatross Way
05154000006459506;Alte Heerstraße
05154000006459509;Alte Jülicher Straße
05154000006459512;Alte Zollstraße
05154000006459513;Alter Markt
05154000006459514;Am Backhaus
05154000006459515;Am Bruch
05154000006459517;Am Grafschen Hof
05154000006459518;Am Geenenforst
05154000006459519;Am großen Graf
05154000006459520;Am kleinen Graf
05154000006459521;Am Heekeren
05154000006459524;Am Manist
05154000006459527;Am Nierspaß
05154000006459528;Fuchsweg
05154000006459529;Am Ottersgraben
05154000006459530;Amselstraße
05154000006459531;Am Theresienstift
05154000006459533;Am Tichelkamp
05154000006459536;An der Beek
05154000006459539;An der Horst
05154000006459542;An der Windmühle
05154000006459544;Anna Thielen-Straße
05154000006459545;Antoniusstraße
05154000006459548;Auf dem Freitag
05154000006459551;Auf der Schanz
05154000006459554;Ayenscherweg
05154000006459557;Baal
05154000006459558;Baaler Deich
05154000006459560;Bahnstraße
05154000006459563;Berliner Straße
05154000006459565;Biberweg
05154000006459566;Birkenweg
05154000006459567;bij Sent Jan
05154000006459569;Blumenstraße
05154000006459572;Bodelschwinghstraße
05154000006459573;Boyensteg
05154000006459575;Breslauer Straße
05154000006459578;Brückerhöfe
05154000006459581;Brunnenstraße
05154000006459582;Buchenweg
05154000006459584;Cyriakusplatz
05154000006459586;Dachsweg
05154000006459587;Deroystraße
05154000006459588;Dietrich-Bonhoeffer-Str.
05154000006459590;Drosselweg
05154000006459591;Eagle Way
05154000006459593;Eichenweg
05154000006459596;Elisabethstraße
05154000006459597;Europa-Ring
05154000006459598;Euregio-Park
05154000006459599;Erdgrabenweg
05154000006459600;Ervelensteg
05154000006459601;Eyll
05154000006459602;Fährsteg
05154000006459605;Falkenstraße
05154000006459608;Fasanenweg
05154000006459611;Feldstraße
05154000006459614;Fichtenweg
05154000006459617;Finkenweg
05154000006459618;Flughafen-Ring
05154000006459620;Franz-Hitze-Straße
05154000006459623;Franziskanerstraße
05154000006459626;Friedrich-Adolf-Lampe-Str.
05154000006459630;Gaesdonker Str.
05154000006459632;Gartenstraße
05154000006459635;Gassweg
05154000006459638;Geenenstraße
05154000006459641;Gehrstraße
05154000006459642;Gelderland-Ring
05154000006459644;Gerhardstraße
05154000006459646;Geschwister-Koopmann-Str.
05154000006459647;Gesseltweg
05154000006459650;Ginsterweg
05154000006459653;Gocher Straße
05154000006459656;Goethestraße
05154000006459659;Grafscherweg
05154000006459660;Grenzweg
05154000006459661;Greversweg
05154000006459662;Grootestraße
05154000006459663;Grote Laarweg
05154000006459665;Hamscherweg
05154000006459668;Hees
05154000006459671;Hegenerstraße
05154000006459674;Heideweg
05154000006459677;Herrlichkeit
05154000006459680;Hertefeld
05154000006459681;Hildegard von Bingen-Str.
05154000006459683;Höst-Vornicker-Weg
05154000006459686;Holtumsweg
05154000006459689;Hoogeweg
05154000006459692;Hoolmannsweg
