strassenschluessel;bezeichnung
05962000006005001;An der Falkenlei
05962000006005002;Kettenbecke
05962000006005003;Hohe Fuhr
05962000006005004;Am Ennest
05962000006005005;Kettling
05962000006005006;Grüner Schla
05962000006005007;Bauckloh
05962000006005008;Gewerbestraße
05962000006005009;Zunftstraße
05962000006005010;In der Lothmecke
05962000006005016;Plettenberger Straße
05962000006005017;Schmalefeld
05962000006005018;Friedhofstraße
05962000006005019;Gildestraße
05962000006005021;Albert-Schweitzer-Straße
05962000006005022;Mozartstraße
05962000006005023;Unterm Bausenberg
05962000006005024;Eichendorffstraße
05962000006005025;An der Hartmecke
05962000006005026;In der Hartmecke
05962000006005027;Neuenrader Straße
05962000006005028;Herbscheider Weg
05962000006005029;Herbscheid
05962000006005030;Am Wiesenhang
05962000006005036;Klosterweg
05962000006005037;Borgheller Straße
05962000006005038;Auf der Hardt
05962000006005039;Am Krähenacker
05962000006005040;Am Paulstück
05962000006005041;Bornstraße
05962000006005042;Haselweg
05962000006005043;Im Roeland
05962000006005044;Rader Weg
05962000006005045;Wilhelmshöhe
05962000006005046;Ginsterweg
05962000006005047;Wacholderweg
05962000006005054;Friedenstraße
05962000006005055;Hardtstraße
05962000006005056;Am Wiemen
05962000006005057;Bredderweg
05962000006005058;Gartenstraße
05962000006005059;Wilhelmstraße
05962000006005060;Nordstraße
05962000006005061;Brüderstraße
05962000006005062;Hohe Straße
05962000006005063;Eggestraße
05962000006005064;Neustadtstraße
05962000006005065;Am Köstersberg
05962000006005066;Rudolfstraße
05962000006005067;Saarlandstraße
05962000006005068;Derwentsider Straße
05962000006005073;Schulstraße
05962000006005074;Mittelstraße
05962000006005075;Kirchenpfad
05962000006005076;Jahnstraße
05962000006005077;Eggenpfad
05962000006005081;Freiheitstraße
05962000006005082;Grasacker
05962000006005083;Bogenstraße
05962000006005084;Goethestraße
05962000006005085;Talstraße
05962000006005086;Altes Dorf
05962000006005087;Poststraße
05962000006005088;Lüdenscheider Straße
05962000006005090;Friedrich-Keßler-Platz
05962000006005092;Fritz-Thomee-Platz
05962000006005093;Altenaer Straße
05962000006005094;Bahnhofsplatz
05962000006005095;Heinrichstraße
05962000006005096;Vosslohstraße
05962000006005097;Karlstraße
05962000006005098;Gustavstraße
05962000006005099;Schlesingerstraße
05962000006005100;Bahnhofstraße
05962000006005102;Hasenhelle
05962000006005103;Ernststraße
05962000006005104;Lennestraße
05962000006005105;Lindenstraße
05962000006005106;Sandstraße
05962000006005107;Lennesteinstraße
05962000006005108;Nordheller Weg
05962000006005109;Versestraße
05962000006005110;Schnurrestraße
05962000006005111;Inselstraße
05962000006005115;Beul
05962000006005116;Höhenweg
05962000006005117;Buchenstraße
05962000006005118;Rodtstraße
05962000006005119;Fichtenstraße
05962000006005120;Erlenweg
05962000006005121;Birkenweg
05962000006005122;Eichenstraße
05962000006005123;Schützenstraße
05962000006005124;Friedrichstraße
05962000006005125;Dammstraße
05962000006005126;Schlacht
05962000006005133;Berliner Straße
05962000006005134;Erfurter Straße
05962000006005135;Leipziger Straße
05962000006005136;Am Scherl
05962000006005137;Danziger Straße
05962000006005146;Ütterlingser Straße
05962000006005147;Breslauer Straße
05962000006005148;Ruppenhahn
05962000006005149;Am Steinbrink
05962000006005157;Stettiner Straße
05962000006005158;Eduardstraße
05962000006005159;Höllmecke
05962000006005160;Lengelsen
05962000006005163;Auf der Mark
05962000006005164;Am Hang
05962000006005165;Am Junkernberg
05962000006005166;Bergfelder Weg
05962000006005167;Vor der Mark
05962000006005168;Kampstraße
05962000006005169;Elverlingsen
05962000006005174;Burhagen
