05954000003238001;Ahornstraße
05954000003238002;Albringhauser Straße
05954000003238003;Altarhof
05954000003238004;Altenhains Berg
05954000003238005;Altenhofer Weg
05954000003238006;Amselweg
05954000003238007;Am Beckmänning
05954000003238008;Am Berge
05954000003238009;Am Böllberg
05954000003238010;Am Bollwerk
05954000003238011;Am Bramenkamp
05954000003238012;Am Brasberg
05954000003238013;Am Brömken
05954000003238014;Am Bruch
05954000003238015;Am Brummstein
05954000003238016;Am Buschmannshof
05954000003238017;Am Eicken
05954000003238018;Am Eilper Hang
05954000003238019;Am Gymnasium
05954000003238020;Am Hang
05954000003238021;Am Hasenkamp
05954000003238022;Am Hensberg
05954000003238023;Am Hilligloh
05954000003238024;Am Hödey
05954000003238025;Am Hülsey
05954000003238026;Am Hüppop
05954000003238027;Am Ibing
05954000003238028;Am Jakob
05954000003238029;Am Kaltenborn
05954000003238030;Am Kapp
05954000003238031;Am Kirchberg
05954000003238032;Am Knapp
05954000003238033;Am Köhlberg
05954000003238034;Am Kronen
05954000003238035;Am Leiloh
05954000003238036;Am Leischet
05954000003238037;Am Loh
05954000003238038;Am Lurke
05954000003238039;Am Mesebüschken
05954000003238040;Am Mesewinkel
05954000003238041;Am Moselshaus
05954000003238042;Im Beile
05954000003238043;Am Obergraben
05954000003238044;Am Overbeck
05954000003238045;Am Pallast
05954000003238046;Am Prill
05954000003238047;Am Rohlande
05954000003238048;Am Scharloh
05954000003238049;Am Schlebusch
05954000003238050;Am Schlebuschberge
05954000003238051;Am Schleier
05954000003238052;Am Stoppenberg
05954000003238053;Am Storch
05954000003238054;Am Stork
05954000003238055;Am Südhang
05954000003238056;Am Vorberg
05954000003238057;Am Waldrand
05954000003238058;Am Wasserturm
05954000003238059;Am Winkel
05954000003238060;Am Wulfe
05954000003238061;An der Brille
05954000003238062;An der Flötpfeife
05954000003238063;An der Heile
05954000003238064;An der Kirche
05954000003238065;An der Kohlenbahn
05954000003238066;An der Lexhege
05954000003238067;An der Wacht
