057620000040P8706;Am Ziegenborn
057620000040P8707;Auf dem Kalkhofe
057620000040P8710;Auf den Holtkämpen
057620000040P8715;Auf der Worth
057620000040P8716;Auf Echternröhen
057620000040P8718;Der Himmelberg
057620000040P8720;Die Kohlhöfe
057620000040P8726;Heinholz
057620000040P8731;Im Kohlhofe
057620000040P8733;Im Rohe
057620000040P8734;In der Etsche
057620000040P8736;In der langen Wanne
057620000040P8740;Lange Acker
057620000040P8790;Am Burgwege
057620000040P8793;Böls Breite
057620000040P8799;Bunsen
057620000040P8805;Große Albaxer Feld
057620000040P8808;Große Mühlenfeld
057620000040P8811;Große Wiese
057620000040P8821;Köhlingswiesen
057620000040P8822;Kreuzling
057620000040P8829;Peckelsheimerholz
057620000040P8830;Pferdehude
057620000040P8837;Rüberg
057620000040P8840;Silberberg
057620000040P8844;Teutonia
057620000040P8889;Am Kuhlwege
057620000040P8892;Auf dem Bermeke
057620000040P8895;Auf den Dreiern
057620000040P8899;Brummelskuhle
057620000040P8902;Die Scherfer Höhe
057620000040P8912;Hellschenbreite
057620000040P8915;Im Loche
057620000040P8917;Im Obernfelde
057620000040P8922;Kesper Baum
057620000040P8926;Niedernfeld
057620000040P8938;Titsstücke
057620000040P8939;Über den kleinen Wiesen
057620000040P8940;Über den Sunderwiesen
057620000040P8951;Hinter d.Broffeltrupper Wiesen
057620000040P8968;Brockwiesen
057620000040P8978;Götterkamp
057620000040P8980;Hahnenberg
057620000040P8996;Samenwiese
057620000040P9000;Vorderer Engerberg
057620000040P9067;Bredenfeld
057620000040P9073;Giesenbergsfeld
057620000040P9077;Im Brüschkenloh
057620000040P9099;Vor'm Fölser Holz
057620000040P9158;Beim Brökeln
057620000040P9169;Helmerhagen
057620000040P9174;Himmlische Grund
057620000040P9176;Im Rosental
057620000040P9186;Papenhof
057620000040P9236;Kamp
057620000040P9244;Obere Wiesen
057620000040P9247;Teichwiesen
057620000040P9287;Alte Holz
057620000040P9291;Am Schiebenberge
057620000040P9294;An der Alfredshöherstraße
057620000040P9296;Auf den Blöhen
057620000040P9307;Große Breede
057620000040P9310;Holtkenacker
057620000040P9330;Ober dem Dorfe
057620000040P9335;Rothenbreede
057620000040P9336;Röscheracker
057620000040P9346;Walmenacker
057620000040P9350;Zwischen dem Holze
057620000040P9397;Auf dem Bochholzschen Felde
057620000040P9412;Donatus Kapelle
057620000040P9429;Kirchberg
057620000040P9435;Krähenbreite
057620000040P9436;Kuhkämpe
057620000040P9445;Mittelste Wanne
057620000040P9451;Okfeld
057620000040P9454;Peckelsheimer Feld
057620000040P9474;Wiebusch
057620000040P9475;Wiesenbühl
057620000040P9506;Alleßen
057620000040P9512;Am Grundwege
057620000040P9517;Am Löwener Bruch
057620000040P9526;An der Warburger Straße
057620000040P9529;Aserfeld
057620000040P9531;Auf dem Berge
057620000040P9535;Auf der Hochheit
057620000040P9537;Bauernberg
057620000040P9544;Bruchhöfe
057620000040P9546;Bühne Wiesen
057620000040P9547;Bünge
057620000040P9553;Ennerpohl
057620000040P9563;Hiddesser Feld
057620000040P9578;Kleine Feld
057620000040P9583;Kuhkämpe
057620000040P9595;Neuteichs Kämpe
057620000040P9618;Stadtfeld
057620000040P9624;Unter dem Peckelsh.Struckholz
057620000040P9626;Über den langen Kämpen
057620000040P9628;Über dem Eißerwege
057620000040P9633;Unter'm Eißerwege
