05970000004401500;Am Bahndamm
05970000004401501;Am Hönig
05970000004401502;Am Kröken
05970000004401503;An der Hager
05970000004401504;Antoniusstraße
05970000004401505;Anzhäuser Mühle
05970000004401506;Anzhausener Straße
05970000004401507;Bösselbach
05970000004401508;Bollenberg
05970000004401509;Concordiastraße
05970000004401510;Deuzer Straße
05970000004401511;Emilienhof
05970000004401512;Flocksdorfstraße
05970000004401513;Flurweg
05970000004401514;Haegerstraße
05970000004401515;Haubergweg
05970000004401516;Hofweg
05970000004401517;Reiterweg
05970000004401518;Schürscheid
05970000004401519;Wahbach
05970000004401520;Am Obstgarten
05970000004401521;Stahlstraße
05970000004401530;Am Bahndamm
05970000004401531;Am Stein
05970000004401532;Auf dem Bühl
05970000004401533;Bodelschwinghstraße
05970000004401534;Brechtstraße
05970000004401535;Falkenstraße
05970000004401536;Feldstraße
05970000004401537;Feuersbacher Straße
05970000004401538;Flammersbacher Straße
05970000004401539;Heiersche Straße
05970000004401540;Im Borngarten
05970000004401541;In der Mehrenbach
05970000004401542;Jung-Stilling-Straße
05970000004401543;Kaan-Marienborner Straße
05970000004401544;Kunzestraße
05970000004401545;Netphener Straße
05970000004401546;Ostlandstraße
05970000004401547;Schillerstraße
05970000004401548;Stöckerstraße
05970000004401549;Stahlstraße
05970000004401550;Am Sonnenhang
05970000004401551;Herderstraße
05970000004401552;Am Jakobsweg
05970000004401560;Am Sportplatz
05970000004401561;Drei-Eichen-Straße
05970000004401562;Eibachstraße
05970000004401563;Gernsdorfer Straße
05970000004401564;Halmbergstraße
05970000004401565;Hangstraße
05970000004401566;Hasenbergstraße
05970000004401567;Hochwaldstraße
05970000004401568;Höfenstraße
05970000004401569;Im Grund
05970000004401570;Leiweg
05970000004401571;Marburger Straße
05970000004401572;Marienkamer Straße
05970000004401573;Nordstraße
05970000004401574;Pfarrstraße
05970000004401575;Seilbachstraße
05970000004401576;Seitenkopfstraße
05970000004401578;Südweg
05970000004401579;Schillbergstraße
05970000004401580;Schlagmühlstraße
05970000004401581;Steilstraße
05970000004401582;Sankt-Johann-Straße
05970000004401583;Weidestraße
05970000004401584;Weststraße
05970000004401585;Kornstraße
05970000004401600;Ackerstraße
05970000004401601;Adolf-Saenger-Weg
05970000004401602;Ahornstraße
05970000004401603;Am Bösenberg
05970000004401604;Am Buchen
05970000004401605;Am Grimberg
05970000004401606;Am Rain
05970000004401607;Am Röschen
05970000004401608;Auf dem Eckert
05970000004401609;Birkenweg
05970000004401610;Dielfestraße
05970000004401611;Eremitage
05970000004401612;Gartenstraße
05970000004401613;Gläserstraße
05970000004401614;Grimbergstraße
05970000004401615;Habornweg
05970000004401616;In der Humbach
05970000004401617;In der Ziegelei
05970000004401618;Industriestraße
05970000004401619;Kurze Straße
05970000004401620;Lerchenweg
05970000004401621;Limbachstraße
05970000004401622;Marienweg
05970000004401623;Mittelstraße
05970000004401624;Querstraße
05970000004401625;Siegener Straße
05970000004401626;Schalweg
05970000004401627;Talstraße
05970000004401628;Torwiesenweg
05970000004401629;Weißtalstraße
05970000004401630;Zum Jugendheim
05970000004401631;Zum Mühlenweiher
05970000004401632;Zum Rödgen
05970000004401633;Cäcilienstraße
05970000004401634;Tannenweide
05970000004401635;Pfarrfeld
05970000004401636;Pfarrwiese
05970000004401637;Klosterstraße
05970000004401638;Braache
05970000004401639;Am Steinblick
05970000004401640;Lindenplatz
05970000004401641;Augraben
05970000004401643;Am Sonnenberg
05970000004401644;Zur Dicken Buche
05970000004401645;Glockenwiese
05970000004401660;Am Dillberg
05970000004401661;Am Kirchweg
05970000004401662;Am Sammelshain
05970000004401663;An der Hainbuche
05970000004401664;An der Hecke
05970000004401665;An der Trift
05970000004401666;Auf dem Hundsborn
05970000004401667;Birkenweg
05970000004401668;Erlenstraße
05970000004401669;Fränzersgarten
05970000004401670;Helenenhof
05970000004401671;Hombergstraße
05970000004401672;Im Elzgarten
05970000004401673;Im Seifen
05970000004401674;Kohlenweg
05970000004401675;Marienburg
05970000004401676;Oberdielfener Straße
05970000004401677;Oranienstraße
05970000004401678;Scheidweg
05970000004401679;Steinacker
05970000004401680;Theisgarten
05970000004401681;Tretenbach
05970000004401682;Urbanstraße
05970000004401683;Wielandsweg
05970000004401684;Auf den Höfen
05970000004401700;Am Brennerfeld
05970000004401701;Am Marienhain
05970000004401702;Am Mathildenhof
05970000004401703;Am Oberen Johannes
05970000004401704;Am Rex
05970000004401705;Am Rosenwald
05970000004401706;Am Stoß
05970000004401707;Am Struthwald
05970000004401708;Am Weiher
05970000004401709;An der Bilze
05970000004401710;Auf der Nerr
05970000004401711;Bogenstraße
05970000004401712;Breitenbachsfeld
05970000004401713;Gewannweg
05970000004401714;Glück-Auf-Straße
05970000004401715;Heidenbachswald
05970000004401716;Höhenweg
05970000004401717;Hofwiese
05970000004401718;In der Hohl
05970000004401719;Inselweg
05970000004401720;Jung-Dörfler-Straße
05970000004401721;Kellergarten
05970000004401722;Meilerweg
05970000004401723;Pfarrwaldstraße
05970000004401724;Rödgener Straße
05970000004401725;Sonnenweg
05970000004401726;Wiesenrainsgarten
05970000004401727;Silberquelle
05970000004401728;Waldenburger Straße
05970000004401729;Auf der Hühnerbalz
05970000004401730;Breslauer Straße
05970000004401731;Am Gorn
05970000004401732;Am Gräbenwald
05970000004401733;Marienkircher Feld
05970000004401734;In der Lehmkaute
05970000004401735;Pastor-Stenger-Straße
05970000004401736;Unterer Johannes
05970000004401737;Hedwig-Danielewicz-Platz
05970000004401740;Alte Dorfstraße
05970000004401741;Am Anschenkel
05970000004401742;An der Holler
05970000004401743;Auf der Heipel
05970000004401744;Eiserfelder Straße
05970000004401745;Im Altenbach
05970000004401746;Im Baumhof
05970000004401747;Im Dudenbach
05970000004401748;Im Gießenbach
05970000004401749;Im Rälsbach
05970000004401750;Am Aelkerswald
05970000004401751;Unterm Rödchen
05970000004401752;Vor der Brobirke
05970000004401753;Zum Weiherchen
05970000004401754;Vogelsang
