05958000004804001;Winterberg
05958000004804002;Kirchstraße
05958000004804003;Marktstraße
05958000004804004;Hauptstraße
05958000004804005;Hagenstraße
05958000004804006;Schulstraße
05958000004804007;Franziskusstraße
05958000004804008;Am Rad
05958000004804009;Kreuzbergweg
05958000004804010;Wernsdorfer Straße
05958000004804011;Am Stuten
05958000004804012;Am Herrensköpfchen
05958000004804013;Landweg
05958000004804014;Hellenstraße
05958000004804015;Hohe Straße
05958000004804016;Hackeschladenweg
05958000004804017;Am Postteich
05958000004804018;Schmantelrundweg
05958000004804019;Am Ring
05958000004804042;Kapellenstraße
05958000004804043;Gartenstraße
05958000004804044;Am Mittelsberg
05958000004804045;Auf der Wallme
05958000004804046;Am Leissen Köpfchen
05958000004804071;Molbeckeweg
05958000004804072;Ursulinenstraße
05958000004804073;Bergstraße
05958000004804074;Baumschulenweg
05958000004804075;Im Mühlengrund
05958000004804076;Poststraße
05958000004804077;Nuhnestraße
05958000004804078;Drosselweg
05958000004804079;Günninghauser Straße
05958000004804080;Am Waltenberg
05958000004804081;Im Hohlen Seifen
05958000004804082;Feldstraße
05958000004804083;Prozessionsweg
05958000004804084;Heidestraße
05958000004804085;Schanzenstraße
05958000004804121;An der Aschenhütte
05958000004804123;Am Südhang
05958000004804124;Am alten Garten
05958000004804125;Untere Pforte
05958000004804137;Neue Mitte
05958000004804138;Lamfert
05958000004804139;Weißdornweg
05958000004804140;Remmeswiese
05958000004804141;Haarfelder Straße
05958000004804143;Am Hagenblech
05958000004804144;Bahnhofstraße
05958000004804145;Forsthausweg
05958000004804146;Orkestraße
05958000004804147;Unterm Dumel
05958000004804148;Jakobusstraße
05958000004804149;Le-Touquet-Straße
05958000004804150;Rixensart-Straße
05958000004804151;Oppelner Weg
05958000004804152;Breslauer Straße
05958000004804153;Holtener Weg
05958000004804154;Oberhofer Weg
05958000004804155;Danziger Weg
05958000004804156;Leipziger Straße
05958000004804161;Am Kurpark
05958000004804202;Herrlohweg
05958000004804203;Schneilstraße
05958000004804204;Fichtenweg
05958000004804205;Birkenweg
05958000004804206;Kiefernweg
05958000004804207;Buchenweg
05958000004804208;Erlenweg
05958000004804209;Kapperundweg
05958000004804210;Weltring-Park
05958000004804211;Dr.-Suren-Straße
05958000004804251;Kappe
05958000004804261;In der Renau
05958000004804271;Astenturm
05958000004804272;Am Sahnehang
05958000004804291;Ehrenscheidermühle
05958000004804301;Daubermühle
05958000004804311;Denzerhammer
05958000004804321;In der Büre
05958000004804331;Am Kuhlenberg
05958000004804341;In der Laubecke
05958000004804389;Winterberg
05958000004804390;Altastenberg
05958000004804401;Am Dorfgarten
05958000004804402;Am Kamp
05958000004804403;Am Lichtenscheid
05958000004804404;Am Platz
05958000004804405;Am Poot
05958000004804407;Astenstraße
05958000004804408;Bildchenweg
05958000004804409;Grunwaldweg
05958000004804410;Historischer Pfad
05958000004804411;Hüttenpfad
05958000004804413;Ober dem Dorf
05958000004804414;Renauweg
05958000004804415;Zum Heidegarten
05958000004804416;Zum Nordhang
05958000004804417;Auf der Weide
05958000004804418;Lenneblick
05958000004804420;Elkeringhausen
05958000004804421;Am Grimmen
05958000004804422;Am Knittenberg
05958000004804423;Am Langen Acker
05958000004804424;Am See
05958000004804425;Auf der Platte
05958000004804426;Bonifatiusweg
05958000004804427;Im Orketal
05958000004804428;Liemeckeweg
