strassenschluessel;bezeichnung
05334000003605000;Aachener Straße
05334000003605002;Adamsmühle
05334000003605004;Ahornstraße
05334000003605006;Akazienstraße
05334000003605007;Magnolienweg
05334000003605008;Am Alten Kaninsberg
05334000003605009;Am Güterbahnhof
05334000003605010;Am Haushof
05334000003605011;Am Johanniterhof
05334000003605012;Am Luftschacht
05334000003605013;An St. Sebastian
05334000003605014;Am Wisselsbach
05334000003605015;An den Quellen
05334000003605016;An der Königsgrube
05334000003605017;An der Glocke
05334000003605018;Ankerstraße
05334000003605019;An den Kreuzgärten
05334000003605020;Annastraße
05334000003605021;Elchenrather Weide
05334000003605022;Auf dem Troppenbruch
05334000003605023;Kasinoplatz
05334000003605024;Bahnhofstraße
05334000003605025;Am Veilchen
05334000003605026;Balbinastraße
05334000003605028;Barbarastraße
05334000003605029;Bardenberger Gäßchen
05334000003605030;Bardenberger Straße
05334000003605032;Bert-Brecht-Straße
05334000003605033;Bertha-von-Suttner-Straße
05334000003605034;Birkenstraße
05334000003605035;Birker Weg
05334000003605036;Bissener Straße
05334000003605037;Nadlerweg
05334000003605038;Bossekuhler Weg
05334000003605039;Am Alten Bahnhof
05334000003605040;Brückweg
05334000003605042;Brunnenstraße
05334000003605044;Buchenstraße
05334000003605046;Burgstraße
05334000003605047;Campagnaticoplatz
05334000003605048;Dobacher Straße
05334000003605050;Drischfeld
05334000003605052;Drischer Straße
05334000003605054;Eibenstraße
05334000003605056;Eichendorffstraße
05334000003605058;Eichenstraße
05334000003605059;Else-Wirtz-Straße
05334000003605060;Elchenrather Straße
05334000003605061;Elisabeth-Englerth-Straße
05334000003605062;Elisastraße
05334000003605063;Elly-Heuss-Knapp-Straße
05334000003605064;Erlenstraße
05334000003605065;Elsa-Brändström-Straße
05334000003605066;Fichtenstraße
05334000003605067;Fastradaallee
05334000003605068;Fliederweg
05334000003605070;Franzstraße
05334000003605072;Friedrichstraße
05334000003605074;Gerhart-Hauptmann-Straße
05334000003605075;Geschwister-Scholl-Straße
05334000003605076;Glück-Auf-Straße
05334000003605078;von-Goerschen-Straße
05334000003605079;Am Förderturm
05334000003605080;Gouleystraße
05334000003605082;Gracht
05334000003605084;Grevenberger Straße
05334000003605086;Grünplatz
05334000003605087;Haaler Dreieck
05334000003605088;Haaler Straße
05334000003605089;Heinrich-Böll-Weg
05334000003605090;Heinrichstraße
05334000003605092;Hermann-Sudermann-Straße
05334000003605093;Honigmannstraße
05334000003605094;Im Hühnerwinkel
05334000003605095;Hildburghäuser Straße
05334000003605096;Im Winkel
05334000003605098;In den Pützbenden
05334000003605099;Ingeborg-Bachmann-Straße
05334000003605100;In der Herg
05334000003605101;Starenweg
05334000003605102;Industriestraße
05334000003605103;Johnens-Gäßchen
05334000003605104;Kaisersruher Straße
05334000003605105;Zaunkönigweg
05334000003605106;Kaiserstraße
05334000003605107;Alte Gärtnerei
05334000003605108;Karlstraße
05334000003605109;Jupp-Derwall-Straße
05334000003605110;Kasinostraße
05334000003605112;Kastanienstraße
05334000003605114;Kerzeleyweg
05334000003605115;Kesselsgracht
05334000003605116;Kiefernstraße
05334000003605118;Kleine Straße
05334000003605120;Klosterstraße
05334000003605122;Kneippstraße
05334000003605123;Alte Feuerwehr
05334000003605124;Knopp
05334000003605126;Krefelder Straße
05334000003605128;Kreuzplatz
05334000003605130;Kreuzstraße
05334000003605132;Krottstraße
05334000003605134;Kurt-Tucholsky-Straße
05334000003605136;Landgraben
05334000003605138;Lärchenweg
05334000003605140;Lehnstraße
05334000003605142;Lindenplatz
05334000003605144;Lindenstraße
05334000003605146;Ludwigstraße
05334000003605148;Lümeth
05334000003605150;Maarstraße
05334000003605151;Maischlackhof
05334000003605152;Markt
05334000003605154;Marienstraße
05334000003605155;Marie-Curie-Straße
05334000003605156;Mauerfeldchen
05334000003605158;Mauergäßchen
05334000003605160;Meisberg
05334000003605161;Mildred-Scheel-Straße
05334000003605162;Martin-Luther-King-Straße
05334000003605164;Mittelstraße
05334000003605165;Morlaixplatz
05334000003605166;Morsbacher Straße
05334000003605168;Neuhauser Straße
05334000003605170;Neustraße
05334000003605172;Nordstraße
05334000003605174;Oppener Straße
05334000003605176;Ottostraße
05334000003605178;Paulinenstraße
05334000003605179;Pfarrer-Thomé-Straße
05334000003605180;Poststraße
05334000003605182;Pricker Straße
05334000003605183;Rudi-Berks-Straße
05334000003605184;Pumpermühle
05334000003605185;Rathausstraße
05334000003605186;Ravelsberger Straße
05334000003605187;Réo-Straße
05334000003605188;Ringstraße
05334000003605189;Ravelsberger Allee
05334000003605190;Robert-Koch-Straße
05334000003605192;Röntgenweg
05334000003605193;Welsplatz
05334000003605194;Rotdornweg
05334000003605195;Schingsweg
05334000003605196;Rudolfstraße
05334000003605197;Talblick
05334000003605198;Salmanusplatz
05334000003605199;Schloßgasse
05334000003605200;Salmanusstraße
05334000003605201;Zeisigweg
05334000003605202;Sauerbruchstraße
05334000003605203;Amselweg
05334000003605204;Scherberger Feld
05334000003605205;Auf der Weide
05334000003605206;Scherberger Straße
05334000003605207;Finkenweg
05334000003605208;Schloßstraße
05334000003605209;Drosselweg
05334000003605210;Schweilbacher Straße
05334000003605211;Maria-Merian-Weg
05334000003605212;Sebastianusstraße
05334000003605214;Semmelweisstraße
05334000003605216;Solvaystraße
05334000003605218;Steinacker
05334000003605219;Steingasse
05334000003605220;Südstraße
05334000003605222;Tellebenden
05334000003605224;Teuterhof
05334000003605226;Teutstraße
05334000003605228;Theodor-Storm-Straße
05334000003605230;Tittelsstraße
05334000003605232;Thomas-Mann-Straße
05334000003605234;Ulmenstraße
05334000003605236;Virchowstraße
05334000003605238;Waldstraße
05334000003605240;Weißdornstraße
05334000003605242;Willy-Brandt-Ring
05334000003605243;Am Weiweg
05334000003605244;Wiesenhof
05334000003605245;Wilhelm-Bock-Straße
05334000003605246;Wilhelmstraße
05334000003605247;Wilhelm-Gülpen-Straße
05334000003605248;Wolfgang-Borchert-Straße
05334000003605250;Wolfsfurth
05334000003605252;Zedernstraße
05334000003605400;Ackerstraße
05334000003605401;An der Dobachquelle
05334000003605402;Adenauerstraße
05334000003605403;Monnetstraße
05334000003605404;Anselm-Feuerbach-Straße
05334000003605405;Am Düstergäßchen
05334000003605406;Am Berg
05334000003605407;Am Sägewerk
05334000003605408;Auf der Wersch
05334000003605409;An der Marienhöhe
05334000003605410;Bachstraße
05334000003605411;Batzkuhler Weg
05334000003605412;Beethovenstraße
05334000003605413;Adolf-Lengersdorf-Straße
05334000003605414;Bendenweg
05334000003605415;von-Plettenberg-Straße
05334000003605416;Brahmsstraße
05334000003605417;Blumenrather Straße
05334000003605418;Braunfelder Hof
05334000003605419;An der Landebahn
05334000003605420;Broicher Straße
05334000003605422;Broicher Mühle
05334000003605423;Buschweide
05334000003605424;Buschstraße
05334000003605425;Carlo-Schmid-Straße
05334000003605426;Carlshof
05334000003605428;De-Gasperi-Straße
05334000003605430;Dommerswinkel
05334000003605431;Droste-Hülshoff-Straße
05334000003605432;Dürerstraße
05334000003605433;Eifelblick
05334000003605434;Endstraße
05334000003605435;Emil-Nolde-Straße
05334000003605436;Eschenstraße
05334000003605438;Eschweilerstraße
